evodex_type,id,hit_count,smirks,sources,hash
B,EVODEX.2-B220,1,[#8:27]-[#1]>>[#8:27]-[#6](-[#6](-[#6](-[#6](-[#1])(-[#1])-[#1])(-[#1])-[#1])(-[#1])-[#1])=[#8],"EVODEX.2-P1621,EVODEX.2-P1822,EVODEX.2-P1823,EVODEX.2-P1824,EVODEX.2-P3602",113243507794037004555044226551960735349451748011262735767830828949320834095999
B,EVODEX.2-B243,1,[#6:53]-[#1]>>[#6](-[#6](=[#8])-[#6:53])(-[#1])(-[#1])-[#1],EVODEX.2-P1810,91762836503029121596712352531040836667586090156839444761036204098681796196196
B,EVODEX.2-B771,1,[#6:5]-[#1]>>[#6:5]-[#6](-[#8]-[#1])=[#8],"EVODEX.2-P5765,EVODEX.2-P5767,EVODEX.2-P5770,EVODEX.2-P5773,EVODEX.2-P5777",67877580280004674943474553182093018775447625872460975857549774487910047688206
C,EVODEX.2-C304,1,[#6:26]-[#8:27]-[#1]>>[#6:26]-[#8:27]-[#6](-[#6](-[#6](-[#6](-[#1])(-[#1])-[#1])(-[#1])-[#1])(-[#1])-[#1])=[#8],"EVODEX.2-P1621,EVODEX.2-P1822,EVODEX.2-P1823,EVODEX.2-P1824,EVODEX.2-P3602",46031665843794259554964012879549940717148020769809900356233076452746201734016
D,EVODEX.2-D371,1,[#6:26]-[#8:27]-[#1]>>[#6:26]-[#8:27]-[#6](-[#6](-[#6](-[#6](-[#1])(-[#1])-[#1])(-[#1])-[#1])(-[#1])-[#1])=[#8],"EVODEX.2-P1621,EVODEX.2-P1822,EVODEX.2-P1823,EVODEX.2-P1824,EVODEX.2-P3602",46031665843794259554964012879549940717148020769809900356233076452746201734016
E,EVODEX.2-E377,1,[#6:26]-[#8:27]-[#1]>>[#6:26]-[#8:27]-[#6](-[#6](-[#6](-[#6](-[#1])(-[#1])-[#1])(-[#1])-[#1])(-[#1])-[#1])=[#8],"EVODEX.2-P1621,EVODEX.2-P1822,EVODEX.2-P1823,EVODEX.2-P1824,EVODEX.2-P3602",46031665843794259554964012879549940717148020769809900356233076452746201734016
Bm,EVODEX.2-Bm156,16,[#6:4]-[#1]>>[#6:4]-[#6],"EVODEX.2-P1377,EVODEX.2-P1810,EVODEX.2-P2193,EVODEX.2-P2197,EVODEX.2-P2199,EVODEX.2-P2201,EVODEX.2-P2204,EVODEX.2-P2207,EVODEX.2-P2214,EVODEX.2-P2219,EVODEX.2-P2248,EVODEX.2-P2254,EVODEX.2-P2255,EVODEX.2-P2257,EVODEX.2-P2259,EVODEX.2-P2371,EVODEX.2-P2373,EVODEX.2-P2375,EVODEX.2-P2376,EVODEX.2-P2378,EVODEX.2-P2379,EVODEX.2-P2382,EVODEX.2-P2593,EVODEX.2-P2601,EVODEX.2-P2603,EVODEX.2-P2610,EVODEX.2-P2617,EVODEX.2-P5765,EVODEX.2-P5767,EVODEX.2-P5770,EVODEX.2-P5773,EVODEX.2-P5777",18664202483522984161287313510481399082578365546108754035562762256885992061475
Bm,EVODEX.2-Bm147,5,[#8:27]-[#1]>>[#8:27]-[#6],"EVODEX.2-P1325,EVODEX.2-P1329,EVODEX.2-P1332,EVODEX.2-P1333,EVODEX.2-P1342,EVODEX.2-P1346,EVODEX.2-P1348,EVODEX.2-P1350,EVODEX.2-P1371,EVODEX.2-P1405,EVODEX.2-P1426,EVODEX.2-P1427,EVODEX.2-P1511,EVODEX.2-P1512,EVODEX.2-P1527,EVODEX.2-P1528,EVODEX.2-P1549,EVODEX.2-P1553,EVODEX.2-P1556,EVODEX.2-P1570,EVODEX.2-P1572,EVODEX.2-P1574,EVODEX.2-P1584,EVODEX.2-P1598,EVODEX.2-P1609,EVODEX.2-P1610,EVODEX.2-P1615,EVODEX.2-P1618,EVODEX.2-P1621,EVODEX.2-P1628,EVODEX.2-P1633,EVODEX.2-P1634,EVODEX.2-P1638,EVODEX.2-P1639,EVODEX.2-P1642,EVODEX.2-P1665,EVODEX.2-P1667,EVODEX.2-P1669,EVODEX.2-P1671,EVODEX.2-P1675,EVODEX.2-P1676,EVODEX.2-P1677,EVODEX.2-P1679,EVODEX.2-P1681,EVODEX.2-P1683,EVODEX.2-P1685,EVODEX.2-P1686,EVODEX.2-P1687,EVODEX.2-P1693,EVODEX.2-P1698,EVODEX.2-P1699,EVODEX.2-P1704,EVODEX.2-P1705,EVODEX.2-P1724,EVODEX.2-P1725,EVODEX.2-P1749,EVODEX.2-P1750,EVODEX.2-P1752,EVODEX.2-P1753,EVODEX.2-P1755,EVODEX.2-P1780,EVODEX.2-P1781,EVODEX.2-P1783,EVODEX.2-P1784,EVODEX.2-P1785,EVODEX.2-P1787,EVODEX.2-P1789,EVODEX.2-P1790,EVODEX.2-P1792,EVODEX.2-P1794,EVODEX.2-P1795,EVODEX.2-P1796,EVODEX.2-P1797,EVODEX.2-P1799,EVODEX.2-P1800,EVODEX.2-P1801,EVODEX.2-P1802,EVODEX.2-P1804,EVODEX.2-P1805,EVODEX.2-P1806,EVODEX.2-P1807,EVODEX.2-P1808,EVODEX.2-P1822,EVODEX.2-P1823,EVODEX.2-P1824,EVODEX.2-P1840,EVODEX.2-P1841,EVODEX.2-P1847,EVODEX.2-P1964,EVODEX.2-P1981,EVODEX.2-P1992,EVODEX.2-P1994,EVODEX.2-P1997,EVODEX.2-P1998,EVODEX.2-P2002,EVODEX.2-P2007,EVODEX.2-P2009,EVODEX.2-P2011,EVODEX.2-P2015,EVODEX.2-P2018,EVODEX.2-P2019,EVODEX.2-P2023,EVODEX.2-P2024,EVODEX.2-P2027,EVODEX.2-P2028,EVODEX.2-P2029,EVODEX.2-P2030,EVODEX.2-P2039,EVODEX.2-P2041,EVODEX.2-P2042,EVODEX.2-P2043,EVODEX.2-P2045,EVODEX.2-P2048,EVODEX.2-P2061,EVODEX.2-P2072,EVODEX.2-P2076,EVODEX.2-P2085,EVODEX.2-P2093,EVODEX.2-P2094,EVODEX.2-P2105,EVODEX.2-P2107,EVODEX.2-P2109,EVODEX.2-P2111,EVODEX.2-P2115,EVODEX.2-P2117,EVODEX.2-P2121,EVODEX.2-P2124,EVODEX.2-P2125,EVODEX.2-P2130,EVODEX.2-P2131,EVODEX.2-P2133,EVODEX.2-P2160,EVODEX.2-P2162,EVODEX.2-P2163,EVODEX.2-P2170,EVODEX.2-P2176,EVODEX.2-P2177,EVODEX.2-P2178,EVODEX.2-P2179,EVODEX.2-P3385,EVODEX.2-P3520,EVODEX.2-P3550,EVODEX.2-P3579,EVODEX.2-P3593,EVODEX.2-P3594,EVODEX.2-P3595,EVODEX.2-P3597,EVODEX.2-P3602,EVODEX.2-P3603,EVODEX.2-P3974,EVODEX.2-P3975,EVODEX.2-P3977,EVODEX.2-P3978,EVODEX.2-P3981",112642082691867978273872611391449182462117819515944910976832570413757309150620
Cm,EVODEX.2-Cm263,5,[#6:65]-[#8:66]-[#1]>>[#6]-[#6](=[#8])-[#8:66]-[#6:65],"EVODEX.2-P1511,EVODEX.2-P1512,EVODEX.2-P1527,EVODEX.2-P1528,EVODEX.2-P1549,EVODEX.2-P1553,EVODEX.2-P1556,EVODEX.2-P1570,EVODEX.2-P1572,EVODEX.2-P1574,EVODEX.2-P1584,EVODEX.2-P1598,EVODEX.2-P1609,EVODEX.2-P1610,EVODEX.2-P1615,EVODEX.2-P1618,EVODEX.2-P1621,EVODEX.2-P1628,EVODEX.2-P1633,EVODEX.2-P1634,EVODEX.2-P1638,EVODEX.2-P1639,EVODEX.2-P1642,EVODEX.2-P1665,EVODEX.2-P1667,EVODEX.2-P1669,EVODEX.2-P1671,EVODEX.2-P1675,EVODEX.2-P1676,EVODEX.2-P1677,EVODEX.2-P1679,EVODEX.2-P1681,EVODEX.2-P1683,EVODEX.2-P1685,EVODEX.2-P1686,EVODEX.2-P1687,EVODEX.2-P1693,EVODEX.2-P1698,EVODEX.2-P1699,EVODEX.2-P1704,EVODEX.2-P1705,EVODEX.2-P1724,EVODEX.2-P1725,EVODEX.2-P1749,EVODEX.2-P1750,EVODEX.2-P1752,EVODEX.2-P1753,EVODEX.2-P1755,EVODEX.2-P1780,EVODEX.2-P1781,EVODEX.2-P1783,EVODEX.2-P1784,EVODEX.2-P1785,EVODEX.2-P1787,EVODEX.2-P1789,EVODEX.2-P1790,EVODEX.2-P1792,EVODEX.2-P1794,EVODEX.2-P1795,EVODEX.2-P1796,EVODEX.2-P1797,EVODEX.2-P1799,EVODEX.2-P1800,EVODEX.2-P1801,EVODEX.2-P1802,EVODEX.2-P1804,EVODEX.2-P1805,EVODEX.2-P1806,EVODEX.2-P1807,EVODEX.2-P1808,EVODEX.2-P1822,EVODEX.2-P1823,EVODEX.2-P1824,EVODEX.2-P1840,EVODEX.2-P1841,EVODEX.2-P1847,EVODEX.2-P1992,EVODEX.2-P1994,EVODEX.2-P1997,EVODEX.2-P1998,EVODEX.2-P2002,EVODEX.2-P2018,EVODEX.2-P2019,EVODEX.2-P2023,EVODEX.2-P2024,EVODEX.2-P2027,EVODEX.2-P2028,EVODEX.2-P2029,EVODEX.2-P2030,EVODEX.2-P2039,EVODEX.2-P2041,EVODEX.2-P2042,EVODEX.2-P2043,EVODEX.2-P2045,EVODEX.2-P2048,EVODEX.2-P2061,EVODEX.2-P2072,EVODEX.2-P2076,EVODEX.2-P2085,EVODEX.2-P2093,EVODEX.2-P2094,EVODEX.2-P2105,EVODEX.2-P2107,EVODEX.2-P2109,EVODEX.2-P2115,EVODEX.2-P2117,EVODEX.2-P2121,EVODEX.2-P2160,EVODEX.2-P2162,EVODEX.2-P2163,EVODEX.2-P3385,EVODEX.2-P3520,EVODEX.2-P3579,EVODEX.2-P3593,EVODEX.2-P3594,EVODEX.2-P3595,EVODEX.2-P3597,EVODEX.2-P3602,EVODEX.2-P3603,EVODEX.2-P3974,EVODEX.2-P3975,EVODEX.2-P3977,EVODEX.2-P3978,EVODEX.2-P3981",31215936292187085935354989550792638892655628222918569713998180219061139030201
Dm,EVODEX.2-Dm329,5,[#6:87]-[#8:88]-[#1]>>[#6](=[#8])(-[#6])-[#8:88]-[#6:87],"EVODEX.2-P1527,EVODEX.2-P1528,EVODEX.2-P1574,EVODEX.2-P1598,EVODEX.2-P1609,EVODEX.2-P1610,EVODEX.2-P1615,EVODEX.2-P1618,EVODEX.2-P1621,EVODEX.2-P1675,EVODEX.2-P1676,EVODEX.2-P1677,EVODEX.2-P1679,EVODEX.2-P1686,EVODEX.2-P1687,EVODEX.2-P1693,EVODEX.2-P1698,EVODEX.2-P1699,EVODEX.2-P1704,EVODEX.2-P1705,EVODEX.2-P1724,EVODEX.2-P1725,EVODEX.2-P1749,EVODEX.2-P1750,EVODEX.2-P1752,EVODEX.2-P1753,EVODEX.2-P1755,EVODEX.2-P1780,EVODEX.2-P1781,EVODEX.2-P1783,EVODEX.2-P1784,EVODEX.2-P1785,EVODEX.2-P1787,EVODEX.2-P1789,EVODEX.2-P1790,EVODEX.2-P1792,EVODEX.2-P1794,EVODEX.2-P1795,EVODEX.2-P1796,EVODEX.2-P1797,EVODEX.2-P1799,EVODEX.2-P1800,EVODEX.2-P1801,EVODEX.2-P1802,EVODEX.2-P1804,EVODEX.2-P1805,EVODEX.2-P1806,EVODEX.2-P1807,EVODEX.2-P1808,EVODEX.2-P1822,EVODEX.2-P1823,EVODEX.2-P1824,EVODEX.2-P1997,EVODEX.2-P1998,EVODEX.2-P2002,EVODEX.2-P2023,EVODEX.2-P2024,EVODEX.2-P2030,EVODEX.2-P2042,EVODEX.2-P2043,EVODEX.2-P2045,EVODEX.2-P2048,EVODEX.2-P2061,EVODEX.2-P2072,EVODEX.2-P2076,EVODEX.2-P2085,EVODEX.2-P2093,EVODEX.2-P2094,EVODEX.2-P2105,EVODEX.2-P2107,EVODEX.2-P2109,EVODEX.2-P2115,EVODEX.2-P2117,EVODEX.2-P2121,EVODEX.2-P2160,EVODEX.2-P2162,EVODEX.2-P2163,EVODEX.2-P3385,EVODEX.2-P3520,EVODEX.2-P3579,EVODEX.2-P3602,EVODEX.2-P3603,EVODEX.2-P3974,EVODEX.2-P3975,EVODEX.2-P3977,EVODEX.2-P3978,EVODEX.2-P3981",31215936292187085935354989550792638892655628222918569713998180219061139030201
