substrate_name,substrate_smiles,rank,model_score,predicted_product,Bm_match_id,Bm_mapped_product,Cm_match_id,Cm_mapped_product,Dm_match_id,Dm_mapped_product,Em_match_id,Em_mapped_product,B_match,C_match,D_match,E_match,mapped_product_for_panel
propanol,CCCO,1,-0.03442879021167755,CCCOC(=O)CCC,EVODEX.2-Bm147,[H]C([H])([H])C([H])([H])C([H])([H])C(=O)[O:27]C([H])([H])C([H])([H])C([H])([H])[H],EVODEX.2-Cm263,[H]C([H])([H])C([H])([H])C([H])([H])C(=O)[O:66][C:65]([H])([H])C([H])([H])C([H])([H])[H],EVODEX.2-Dm329,[H]C([H])([H])C([H])([H])C([H])([H])C(=O)[O:88][C:87]([H])([H])C([H])([H])C([H])([H])[H],EVODEX.2-Em329,[H]C([H])([H])C([H])([H])C([H])([H])C(=O)[O:88][C:87]([H])([H])C([H])([H])C([H])([H])[H],EVODEX.2-B220,EVODEX.2-C304,EVODEX.2-D371,EVODEX.2-E377,[H]C([H])([H])C([H])([H])C([H])([H])C(=O)[O:88][C:87]([H])([H])C([H])([H])C([H])([H])[H]
propanol,CCCO,2,-0.12040542811155319,CCCOC(=O)Cc1ccccc1,EVODEX.2-Bm147,[H]c1c([H])c([H])c(C([H])([H])C(=O)[O:27]C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H],EVODEX.2-Cm263,[H]c1c([H])c([H])c(C([H])([H])C(=O)[O:66][C:65]([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H],EVODEX.2-Dm329,[H]c1c([H])c([H])c(C([H])([H])C(=O)[O:88][C:87]([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H],EVODEX.2-Em329,[H]c1c([H])c([H])c(C([H])([H])C(=O)[O:88][C:87]([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H],no_match,no_match,no_match,no_match,[H]c1c([H])c([H])c(C([H])([H])C(=O)[O:88][C:87]([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H]
propanol,CCCO,3,-0.3136456608772278,CCCOC(=O)[C@@H]1CCC[C@@H]1C(=O)OCCC,EVODEX.2-Bm147,[H]C([H])([H])C([H])([H])C([H])([H])OC(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)[O:27]C([H])([H])C([H])([H])C([H])([H])[H],EVODEX.2-Cm263,[H]C([H])([H])C([H])([H])C([H])([H])OC(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)[O:66][C:65]([H])([H])C([H])([H])C([H])([H])[H],EVODEX.2-Dm329,[H]C([H])([H])C([H])([H])C([H])([H])OC(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)[O:88][C:87]([H])([H])C([H])([H])C([H])([H])[H],EVODEX.2-Em329,[H]C([H])([H])C([H])([H])C([H])([H])OC(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)[O:88][C:87]([H])([H])C([H])([H])C([H])([H])[H],no_match,no_match,no_match,no_match,[H]C([H])([H])C([H])([H])C([H])([H])OC(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)[O:88][C:87]([H])([H])C([H])([H])C([H])([H])[H]
propanol,CCCO,4,-0.3208719789981842,OC[C@@H]1CC[C@H]2CN3CCC4CC5CC(=O)CC[C@]5(C)[C@H]4[C@H]3CC[C@]12C,EVODEX.2-Bm156,[H]OC([H])([H])[C@:4]1([H])C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])N3C([H])([H])C([H])([H])C4([H])C([H])([H])C5([H])C([H])([H])C(=O)C([H])([H])C([H])([H])[C@]5(C([H])([H])[H])[C@@]4([H])[C@@]3([H])C([H])([H])C([H])([H])[C@@]21C([H])([H])[H],no_match,,no_match,,no_match,,no_match,no_match,no_match,no_match,[H]OC([H])([H])[C@:4]1([H])C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])N3C([H])([H])C([H])([H])C4([H])C([H])([H])C5([H])C([H])([H])C(=O)C([H])([H])C([H])([H])[C@]5(C([H])([H])[H])[C@@]4([H])[C@@]3([H])C([H])([H])C([H])([H])[C@@]21C([H])([H])[H]
propanol,CCCO,5,-0.3369069993495941,OC[C@@H]1CC[C@H]2CN3CCC4CC5CC(=O)CC[C@]5(C)[C@H]4[C@H]3CC[C@]21C.[CH2-]C(C)=O,invalid_smiles,,invalid_smiles,,invalid_smiles,,invalid_smiles,,no_match,no_match,no_match,no_match,
propanol,CCCO,6,-0.3465142548084259,OC[C@@H]1CC[C@H]2CN3CCC4CC5CC(=O)CC[C@]5(C)[C@H]4[C@H]3CC[C@]21C,EVODEX.2-Bm156,[H]OC([H])([H])[C@:4]1([H])C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])N3C([H])([H])C([H])([H])C4([H])C([H])([H])C5([H])C([H])([H])C(=O)C([H])([H])C([H])([H])[C@]5(C([H])([H])[H])[C@@]4([H])[C@@]3([H])C([H])([H])C([H])([H])[C@]21C([H])([H])[H],no_match,,no_match,,no_match,,no_match,no_match,no_match,no_match,[H]OC([H])([H])[C@:4]1([H])C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])N3C([H])([H])C([H])([H])C4([H])C([H])([H])C5([H])C([H])([H])C(=O)C([H])([H])C([H])([H])[C@]5(C([H])([H])[H])[C@@]4([H])[C@@]3([H])C([H])([H])C([H])([H])[C@]21C([H])([H])[H]
propanol,CCCO,7,-0.3563646674156189,OC[C@@H]1CC[C@H]2CN3CCC4CC5CC(=O)CC[C@]5(C)[C@H]4[C@H]3CC[C@]12C.[CH2-]C(C)=O,invalid_smiles,,invalid_smiles,,invalid_smiles,,invalid_smiles,,no_match,no_match,no_match,no_match,
propanol,CCCO,8,-0.35641294717788696,OC[C@@H]1CC[C@H]2CN3CCC4CC5CC(=O)CC[C@]5(C)[C@H]4[C@H]3CC[C@]21CO,no_match,,no_match,,no_match,,no_match,,no_match,no_match,no_match,no_match,
propanol,CCCO,9,-0.3611084520816803,CCCOC(=O)CC1=CC(=O)OC12CC3CC(CC(C3)C1)C2,invalid_smiles,,invalid_smiles,,invalid_smiles,,invalid_smiles,,invalid_smiles,invalid_smiles,invalid_smiles,invalid_smiles,
propanol,CCCO,10,-0.37454524636268616,OC[C@@H]1CC[C@H]2CN3CCC4CC5CC(=O)CC[C@]5(C)[C@H]4[C@H]3CC[C@]12C)[C@@H]3CCC[C@@H](C3)[C@H]2CC[C@@H]12,invalid_smiles,,invalid_smiles,,invalid_smiles,,invalid_smiles,,invalid_smiles,invalid_smiles,invalid_smiles,invalid_smiles,
