EVODEX ID,Predicted Products,,curation
EVODEX.2-D53,[H]OC([H])([H])C([H])(O[H])C([H])([H])[H],,FALSE
EVODEX.2-D19,[H]C(=O)C([H])([H])C([H])([H])[H],,TRUE
EVODEX.2-D272,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OC([H])([H])C([H])([H])C([H])([H])[H],,TRUE
EVODEX.2-D298,[H]C([H])([H])OC([H])([H])C([H])([H])C([H])([H])[H],,TRUE
EVODEX.2-D326,[H]Oc1c([H])c([H])c(/C([H])=C(\[H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H])c([H])c1OC([H])([H])[H],,TRUE
EVODEX.2-D327,[H]Oc1c([H])c([H])c(/C([H])=C(\[H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H])c([H])c1O[H],,TRUE
EVODEX.2-D334,[H]OC(=O)C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H],,TRUE
EVODEX.2-D344,[H]Oc1c(OC([H])([H])[H])c([H])c(/C([H])=C(\[H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H])c([H])c1OC([H])([H])[H],,TRUE
EVODEX.2-D345,[H]Oc1c([H])c([H])c(/C([H])=C(\[H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H],,TRUE
EVODEX.2-D348,[H]C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,TRUE
EVODEX.2-D357,[H]/C(=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H],,TRUE
EVODEX.2-D366,[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H],,TRUE
EVODEX.2-D369,[H]C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],,TRUE
EVODEX.2-D371,[H]C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])[H],,TRUE
EVODEX.2-D378,[H]c1c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H],,TRUE
EVODEX.2-D379,[H]O[C@@]([H])(C([H])([H])/C([H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,TRUE
EVODEX.2-D380,[H]/C(=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,TRUE
EVODEX.2-D384,[H]C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,TRUE
EVODEX.2-D396,[H]C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,TRUE
EVODEX.2-D397,[H]/C(=C(\[H])C([H])([H])/C([H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])/C([H])=C(/[H])C([H])([H])/C([H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,TRUE
EVODEX.2-D400,[H]C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,TRUE
EVODEX.2-D41,[H]OC(=O)C([H])([H])C([H])([H])[H],,TRUE
EVODEX.2-D42,[H]OC([H])([H])C([H])([H])C([H])=O,,FALSE
EVODEX.2-D433,[H]OC([H])([H])[C@]1(OC([H])([H])C([H])([H])C([H])([H])[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],,TRUE
EVODEX.2-D446,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(OC([H])([H])C([H])([H])C([H])([H])[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],,TRUE
EVODEX.2-D447,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(OC([H])([H])C([H])([H])C([H])([H])[H])[C@]([H])(N([H])C(=O)C([H])([H])[H])[C@@]([H])(O[H])[C@]1([H])O[H],,TRUE
EVODEX.2-D455,[H]OC(=O)[C@@]1([H])O[C@@]([H])(OC([H])([H])C([H])([H])C([H])([H])[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],,TRUE
