p_id,family,smirks,error_type,error_message
EVODEX.2-P1506,Bm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P1506,Cm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P1506,Dm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P1506,Em,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3180,Bm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3180,Cm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3180,Dm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3180,Em,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3181,Bm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3181,Cm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3181,Dm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3181,Em,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3216,Bm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3216,Cm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3216,Dm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3216,Em,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3218,Bm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3218,Cm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3218,Dm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3218,Em,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3220,Bm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3220,Cm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3220,Dm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3220,Em,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3314,Bm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3314,Cm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3314,Dm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3314,Em,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3350,Bm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3350,Cm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3350,Dm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3350,Em,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3376,Bm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3376,Cm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3376,Dm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3376,Em,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3378,Bm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3378,Cm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3378,Dm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3378,Em,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3439,Bm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3439,Cm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3439,Dm,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3439,Em,>>,malformed_operator,Empty or one-sided operator
EVODEX.2-P3470,Bm,>>,malformed_operator,Empty or one-sided operator
