row,label,substrate_smiles,product_index,product_smiles,product_smiles_explicit_h,image
0,"2,2,2-trichloroethanol",OCC(Cl)(Cl)Cl,0,[O-]CC(Cl)(Cl)Cl,[H][C]([H])([O-])[C]([Cl])([Cl])[Cl],alcohol_pka/000_222-trichloroethanol_p00.png
1,"2,2,2-trifluoroethanol",OCC(F)(F)F,0,[O-]CC(F)(F)F,[H][C]([H])([O-])[C]([F])([F])[F],alcohol_pka/001_222-trifluoroethanol_p00.png
2,"2,2-dichloroethanol",OCC(Cl)Cl,0,[O-]CC(Cl)Cl,[H][C]([H])([O-])[C]([H])([Cl])[Cl],alcohol_pka/002_22-dichloroethanol_p00.png
3,propargyl alcohol,C#CCO,0,C#CC[O-],[H][C]#[C][C]([H])([H])[O-],alcohol_pka/003_propargyl_alcohol_p00.png
4,2-chloroethanol,OCCCl,0,[O-]CCCl,[H][C]([H])([O-])[C]([H])([H])[Cl],alcohol_pka/004_2-chloroethanol_p00.png
5,2-methoxyethanol,COCCO,0,COCC[O-],[H][C]([H])([H])[O][C]([H])([H])[C]([H])([H])[O-],alcohol_pka/005_2-methoxyethanol_p00.png
6,ethylene glycol,OCCO,0,[O-]CCO,[H][O][C]([H])([H])[C]([H])([H])[O-],alcohol_pka/006_ethylene_glycol_p00.png
7,methanol,CO,0,C[O-],[H][C]([H])([H])[O-],alcohol_pka/007_methanol_p00.png
8,allyl alcohol,C=CCO,0,C=CC[O-],[H][C]([H])=[C]([H])[C]([H])([H])[O-],alcohol_pka/008_allyl_alcohol_p00.png
9,ethanol,CCO,0,CC[O-],[H][C]([H])([H])[C]([H])([H])[O-],alcohol_pka/009_ethanol_p00.png
