row,label,substrate_smiles,product_index,product_smiles,product_smiles_explicit_h,image
0,ethylene,C=C,0,CCO,[H][O][C]([H])([H])[C]([H])([H])[H],alkene_hydration/000_ethylene_p00.png
1,propene,C=CC,0,CC(C)O,[H][O][C]([H])([C]([H])([H])[H])[C]([H])([H])[H],alkene_hydration/001_propene_p00.png
1,propene,C=CC,1,CCCO,[H][O][C]([H])([H])[C]([H])([H])[C]([H])([H])[H],alkene_hydration/001_propene_p01.png
2,1-hexene,C=CCCCC,0,CCCCC(C)O,[H][O][C]([H])([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],alkene_hydration/002_1-hexene_p00.png
2,1-hexene,C=CCCCC,1,CCCCCCO,[H][O][C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],alkene_hydration/002_1-hexene_p01.png
3,styrene,C=Cc1ccccc1,0,CC(O)c1ccccc1,[H][O][C]([H])([c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H])[C]([H])([H])[H],alkene_hydration/003_styrene_p00.png
3,styrene,C=Cc1ccccc1,1,OCCc1ccccc1,[H][O][C]([H])([H])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],alkene_hydration/003_styrene_p01.png
4,2-methylbut-2-ene,CC=C(C)C,0,CCC(C)(C)O,[H][O][C]([C]([H])([H])[H])([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H],alkene_hydration/004_2-methylbut-2-ene_p00.png
4,2-methylbut-2-ene,CC=C(C)C,1,CC(C)C(C)O,[H][O][C]([H])([C]([H])([H])[H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H],alkene_hydration/004_2-methylbut-2-ene_p01.png
5,isobutene,C=C(C)C,0,CC(C)(C)O,[H][O][C]([C]([H])([H])[H])([C]([H])([H])[H])[C]([H])([H])[H],alkene_hydration/005_isobutene_p00.png
5,isobutene,C=C(C)C,1,CC(C)CO,[H][O][C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H],alkene_hydration/005_isobutene_p01.png
