row,label,substrate_smiles,product_index,product_smiles,product_smiles_explicit_h,image
0,tetramethylethylene,CC(C)=[9C](C)C,0,CC(C)C(C)(C)OO,[H][O][O][C]([C]([H])([H])[H])([C]([H])([H])[H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H],peroxide_radical_abstraction/000_tetramethylethylene_p00.png
0,tetramethylethylene,CC(C)=[9C](C)C,1,C[C](C)C(C)(C)OO,[H][O][O][C]([C]([C]([H])([H])[H])[C]([H])([H])[H])([C]([H])([H])[H])[C]([H])([H])[H],peroxide_radical_abstraction/000_tetramethylethylene_p01.png
1,methyl oleate,CCCCCCCC/[9C]=C\CCCCCCCC(=O)OC,0,CCCCCCCC[C]C(CCCCCCCC(=O)OC)OO,[H][O][O][C]([H])([C][C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C](=[O])[O][C]([H])([H])[H],peroxide_radical_abstraction/001_methyl_oleate_p00.png
1,methyl oleate,CCCCCCCC/[9C]=C\CCCCCCCC(=O)OC,1,CCCCCCCCC(CCCCCCCCC(=O)OC)OO,[H][O][O][C]([H])([C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C](=[O])[O][C]([H])([H])[H],peroxide_radical_abstraction/001_methyl_oleate_p01.png
2,hept-3-ene,CCC/C=[9C]/CC,0,CC[C]C(CCC)OO,[H][O][O][C]([H])([C][C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],peroxide_radical_abstraction/002_hept-3-ene_p00.png
2,hept-3-ene,CCC/C=[9C]/CC,1,CCCCC(CC)OO,[H][O][O][C]([H])([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],peroxide_radical_abstraction/002_hept-3-ene_p01.png
3,1-octene,CCCCCCC=[9C],0,[C]C(CCCCCC)OO,[H][O][O][C]([H])([C])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],peroxide_radical_abstraction/003_1-octene_p00.png
3,1-octene,CCCCCCC=[9C],1,CCCCCCCCOO,[H][O][O][C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],peroxide_radical_abstraction/003_1-octene_p01.png
4,cyclopentene,C1=[9C]CCC1,0,OOC1[C]CCC1,[H][O][O][C]1([H])[C][C]([H])([H])[C]([H])([H])[C]1([H])[H],peroxide_radical_abstraction/004_cyclopentene_p00.png
4,cyclopentene,C1=[9C]CCC1,1,OOC1CCCC1,[H][O][O][C]1([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]1([H])[H],peroxide_radical_abstraction/004_cyclopentene_p01.png
5,cyclohexene,C1=[9C]CCCC1,0,OOC1[C]CCCC1,[H][O][O][C]1([H])[C][C]([H])([H])[C]([H])([H])[C]([H])([H])[C]1([H])[H],peroxide_radical_abstraction/005_cyclohexene_p00.png
5,cyclohexene,C1=[9C]CCCC1,1,OOC1CCCCC1,[H][O][O][C]1([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]1([H])[H],peroxide_radical_abstraction/005_cyclohexene_p01.png
6,1_3-cyclohexadiene,C1=C[9C]=CCC1,0,OOC1[C]C=CCC1,[H][O][O][C]1([H])[C][C]([H])=[C]([H])[C]([H])([H])[C]1([H])[H],peroxide_radical_abstraction/006_1_3-cyclohexadiene_p00.png
6,1_3-cyclohexadiene,C1=C[9C]=CCC1,1,OOC1C=CCCC1,[H][O][O][C]1([H])[C]([H])=[C]([H])[C]([H])([H])[C]([H])([H])[C]1([H])[H],peroxide_radical_abstraction/006_1_3-cyclohexadiene_p01.png
6,1_3-cyclohexadiene,C1=C[9C]=CCC1,2,OOC1[C]=CCCC1,[H][O][O][C]1([H])[C]=[C]([H])[C]([H])([H])[C]([H])([H])[C]1([H])[H],peroxide_radical_abstraction/006_1_3-cyclohexadiene_p02.png
6,1_3-cyclohexadiene,C1=C[9C]=CCC1,3,OOC1C[C]=CCC1,[H][O][O][C]1([H])[C]([H])([H])[C]=[C]([H])[C]([H])([H])[C]1([H])[H],peroxide_radical_abstraction/006_1_3-cyclohexadiene_p03.png
7,1_4-pentadiene,C=CCC=[9C],0,[C]C(CC=C)OO,[H][O][O][C]([H])([C])[C]([H])([H])[C]([H])=[C]([H])[H],peroxide_radical_abstraction/007_1_4-pentadiene_p00.png
7,1_4-pentadiene,C=CCC=[9C],1,C=CCCCOO,[H][O][O][C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])=[C]([H])[H],peroxide_radical_abstraction/007_1_4-pentadiene_p01.png
7,1_4-pentadiene,C=CCC=[9C],2,[C]=CCCCOO,[H][O][O][C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])=[C],peroxide_radical_abstraction/007_1_4-pentadiene_p02.png
