row,label,substrate_smiles,product_index,product_smiles,product_smiles_explicit_h,image
0,p-methoxy,C=Cc1ccc(OC)cc1,0,COc1ccc(C(C)O)cc1,[H][O][C]([H])([c]1[c]([H])[c]([H])[c]([O][C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],styrene_hydration/000_p-methoxy_p00.png
0,p-methoxy,C=Cc1ccc(OC)cc1,1,COc1ccc(CCO)cc1,[H][O][C]([H])([H])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([O][C]([H])([H])[H])[c]([H])[c]1[H],styrene_hydration/000_p-methoxy_p01.png
1,p-methyl,C=Cc1ccc(C)cc1,0,Cc1ccc(C(C)O)cc1,[H][O][C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],styrene_hydration/001_p-methyl_p00.png
1,p-methyl,C=Cc1ccc(C)cc1,1,Cc1ccc(CCO)cc1,[H][O][C]([H])([H])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([C]([H])([H])[H])[c]([H])[c]1[H],styrene_hydration/001_p-methyl_p01.png
2,styrene,[H]c1ccc(C=C)cc1,0,[H]c1ccc(C(C)O)cc1,[H][O][C]([H])([c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H])[C]([H])([H])[H],styrene_hydration/002_styrene_p00.png
2,styrene,[H]c1ccc(C=C)cc1,1,[H]c1ccc(CCO)cc1,[H][O][C]([H])([H])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],styrene_hydration/002_styrene_p01.png
3,p-chloro,C=Cc1ccc(Cl)cc1,0,CC(O)c1ccc(Cl)cc1,[H][O][C]([H])([c]1[c]([H])[c]([H])[c]([Cl])[c]([H])[c]1[H])[C]([H])([H])[H],styrene_hydration/003_p-chloro_p00.png
3,p-chloro,C=Cc1ccc(Cl)cc1,1,OCCc1ccc(Cl)cc1,[H][O][C]([H])([H])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([Cl])[c]([H])[c]1[H],styrene_hydration/003_p-chloro_p01.png
4,p-nitro,C=Cc1ccc([N+](=O)[O-])cc1,0,O=[N+]([O-])c1ccc(CCO)cc1,[H][O][C]([H])([H])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([N+](=[O])[O-])[c]([H])[c]1[H],styrene_hydration/004_p-nitro_p00.png
4,p-nitro,C=Cc1ccc([N+](=O)[O-])cc1,1,CC(O)c1ccc([N+](=O)[O-])cc1,[H][O][C]([H])([c]1[c]([H])[c]([H])[c]([N+](=[O])[O-])[c]([H])[c]1[H])[C]([H])([H])[H],styrene_hydration/004_p-nitro_p01.png
