evodex_type,id,hit_count,smirks,sources,hash
Bm,EVODEX.2-Bm178,16,[#1]-[#6@:63]>>[#6]-[#6@@:63],"EVODEX.2-P1634,EVODEX.2-P1644,EVODEX.2-P1661,EVODEX.2-P1676,EVODEX.2-P1698,EVODEX.2-P1709,EVODEX.2-P1931,EVODEX.2-P2038,EVODEX.2-P2043,EVODEX.2-P2045,EVODEX.2-P2070,EVODEX.2-P2071,EVODEX.2-P2432,EVODEX.2-P2457,EVODEX.2-P2477,EVODEX.2-P2850,EVODEX.2-P2860,EVODEX.2-P2868,EVODEX.2-P2871,EVODEX.2-P2874,EVODEX.2-P2888,EVODEX.2-P2977,EVODEX.2-P2981,EVODEX.2-P2983,EVODEX.2-P2993,EVODEX.2-P3002,EVODEX.2-P3005,EVODEX.2-P3008,EVODEX.2-P3020,EVODEX.2-P3021,EVODEX.2-P3071,EVODEX.2-P5459,EVODEX.2-P5460,EVODEX.2-P5465,EVODEX.2-P5470,EVODEX.2-P5474,EVODEX.2-P5509,EVODEX.2-P5516,EVODEX.2-P5518,EVODEX.2-P5529,EVODEX.2-P5537,EVODEX.2-P5544,EVODEX.2-P5546,EVODEX.2-P5567,EVODEX.2-P5570,EVODEX.2-P5571,EVODEX.2-P5572,EVODEX.2-P5576,EVODEX.2-P5578,EVODEX.2-P5582,EVODEX.2-P5583,EVODEX.2-P5584,EVODEX.2-P5588,EVODEX.2-P5599,EVODEX.2-P5606,EVODEX.2-P5610,EVODEX.2-P5619,EVODEX.2-P5623,EVODEX.2-P5630,EVODEX.2-P5634,EVODEX.2-P5637,EVODEX.2-P5647,EVODEX.2-P5658,EVODEX.2-P5663",95721230069827283158839214431644165948009439990924761971297020849295982050799
Bm,EVODEX.2-Bm94,5,[#8:60]-[#1]>>[#6]-[#8:60],"EVODEX.2-P1367,EVODEX.2-P1370,EVODEX.2-P1382,EVODEX.2-P1386,EVODEX.2-P1397,EVODEX.2-P1399,EVODEX.2-P1401,EVODEX.2-P1404,EVODEX.2-P1407,EVODEX.2-P1417,EVODEX.2-P1418,EVODEX.2-P1435,EVODEX.2-P1444,EVODEX.2-P1499,EVODEX.2-P1519,EVODEX.2-P1573,EVODEX.2-P1576,EVODEX.2-P1580,EVODEX.2-P1721,EVODEX.2-P1735,EVODEX.2-P1738,EVODEX.2-P1739,EVODEX.2-P1742,EVODEX.2-P1749,EVODEX.2-P1778,EVODEX.2-P1782,EVODEX.2-P1788,EVODEX.2-P1817,EVODEX.2-P1852,EVODEX.2-P1942,EVODEX.2-P1957,EVODEX.2-P1958,EVODEX.2-P1961,EVODEX.2-P1971,EVODEX.2-P1974,EVODEX.2-P1980,EVODEX.2-P1990,EVODEX.2-P1998,EVODEX.2-P2001,EVODEX.2-P2003,EVODEX.2-P2224,EVODEX.2-P2233,EVODEX.2-P2242,EVODEX.2-P2244,EVODEX.2-P2246,EVODEX.2-P2260,EVODEX.2-P2268,EVODEX.2-P2270,EVODEX.2-P2279,EVODEX.2-P2282,EVODEX.2-P2291,EVODEX.2-P2295,EVODEX.2-P2301,EVODEX.2-P2308,EVODEX.2-P2309,EVODEX.2-P2312,EVODEX.2-P2322,EVODEX.2-P2348,EVODEX.2-P2349,EVODEX.2-P2394,EVODEX.2-P2403,EVODEX.2-P2413,EVODEX.2-P2444,EVODEX.2-P2462,EVODEX.2-P2463,EVODEX.2-P2496,EVODEX.2-P2499,EVODEX.2-P2509,EVODEX.2-P2511,EVODEX.2-P2512,EVODEX.2-P2518,EVODEX.2-P2524,EVODEX.2-P2631,EVODEX.2-P2633,EVODEX.2-P2670,EVODEX.2-P3338,EVODEX.2-P3411,EVODEX.2-P3461,EVODEX.2-P3643,EVODEX.2-P3767,EVODEX.2-P3773,EVODEX.2-P3777,EVODEX.2-P3787,EVODEX.2-P3811,EVODEX.2-P3836,EVODEX.2-P3882,EVODEX.2-P3885,EVODEX.2-P3917,EVODEX.2-P3948,EVODEX.2-P3978,EVODEX.2-P4030,EVODEX.2-P4048,EVODEX.2-P4060,EVODEX.2-P4118,EVODEX.2-P4274,EVODEX.2-P4299,EVODEX.2-P4307,EVODEX.2-P4318,EVODEX.2-P4331,EVODEX.2-P4332,EVODEX.2-P4667,EVODEX.2-P4684,EVODEX.2-P4685,EVODEX.2-P4689,EVODEX.2-P4763,EVODEX.2-P4764,EVODEX.2-P4765,EVODEX.2-P4890,EVODEX.2-P4933,EVODEX.2-P4934,EVODEX.2-P5204,EVODEX.2-P5435,EVODEX.2-P5672,EVODEX.2-P5673,EVODEX.2-P5681,EVODEX.2-P5744,EVODEX.2-P5745,EVODEX.2-P5759,EVODEX.2-P5760,EVODEX.2-P5771,EVODEX.2-P6164,EVODEX.2-P6197,EVODEX.2-P777,EVODEX.2-P778,EVODEX.2-P779",9056836375910106651849524092346340331280237551285193412211471320576435846632
Cm,EVODEX.2-Cm276,5,[#8:23](-[#6@:22])-[#1]>>[#8:23](-[#6@:22])-[#6](=[#8])-[#6],"EVODEX.2-P1573,EVODEX.2-P1576,EVODEX.2-P1580,EVODEX.2-P1721,EVODEX.2-P1735,EVODEX.2-P1738,EVODEX.2-P1739,EVODEX.2-P1778,EVODEX.2-P1782,EVODEX.2-P1788,EVODEX.2-P1817,EVODEX.2-P1852,EVODEX.2-P1942,EVODEX.2-P1957,EVODEX.2-P1958,EVODEX.2-P1961,EVODEX.2-P1971,EVODEX.2-P1974,EVODEX.2-P1980,EVODEX.2-P1990,EVODEX.2-P1998,EVODEX.2-P2001,EVODEX.2-P2003,EVODEX.2-P3787,EVODEX.2-P3836,EVODEX.2-P4667,EVODEX.2-P6164,EVODEX.2-P6197",60834357553513004676128554437900215562327730082401996911685141850098872113
Cm,EVODEX.2-Cm940,5,[#6:1](-[#6:2])(-[#1:14])(-[#1:15])-[#1]>>[#6:1](-[#6:2])(-[#6@@](-[#8])(-[#6])-[#1])(-[#1:14])-[#1:15],"EVODEX.2-P5582,EVODEX.2-P5583,EVODEX.2-P5588,EVODEX.2-P5647,EVODEX.2-P5658,EVODEX.2-P5663",32621595937275229695187036193828790183600299499165670048736205760545026367766
Cm,EVODEX.2-Cm554,4,[#6:10](-[#6@:11])(-[#1:16])(-[#1:17])-[#1]>>[#6]-[#6](-[#6:10](-[#6@:11])(-[#1:16])-[#1:17])(-[#1])-[#1],"EVODEX.2-P2850,EVODEX.2-P2888,EVODEX.2-P3005,EVODEX.2-P3008,EVODEX.2-P3020",69464203639780320402234586313145760285990046298884672229080902921207468899763
Cm,EVODEX.2-Cm315,1,[#6:1](-[#6:2])(-[#1:115])(-[#1:116])-[#1]>>[#6:1](-[#6:2])(-[#6](-[#6])=[#8])(-[#1:115])-[#1:116],"EVODEX.2-P1698,EVODEX.2-P1709,EVODEX.2-P2038,EVODEX.2-P2043,EVODEX.2-P2045",11939656286112870917918510110782613357242796139319117968444444422522576781511
Dm,EVODEX.2-Dm387,5,[#8:27](-[#6@@:26])-[#1]>>[#8:27](-[#6@@:26])-[#6](-[#6])=[#8],"EVODEX.2-P1721,EVODEX.2-P1817,EVODEX.2-P1942,EVODEX.2-P1957,EVODEX.2-P3787",60834357553513004676128554437900215562327730082401996911685141850098872113
Dm,EVODEX.2-Dm641,4,[#6:10](-[#6@:11])(-[#1:16])(-[#1:17])-[#1]>>[#6]-[#6](-[#6:10](-[#6@:11])(-[#1:16])-[#1:17])(-[#1])-[#1],"EVODEX.2-P2850,EVODEX.2-P2888,EVODEX.2-P3005,EVODEX.2-P3008,EVODEX.2-P3020",69464203639780320402234586313145760285990046298884672229080902921207468899763
Dm,EVODEX.2-Dm374,1,[#6:1](-[#6:2]=[#8:3])(-[#1:115])(-[#1:116])-[#1]>>[#6:1](-[#6:2]=[#8:3])(-[#6](-[#6])=[#8])(-[#1:115])-[#1:116],"EVODEX.2-P1698,EVODEX.2-P1709,EVODEX.2-P2038,EVODEX.2-P2043,EVODEX.2-P2045",22235610882786303960280904206313035261315227312194106220906873911971559779598
Em,EVODEX.2-Em410,5,[#8:27](-[#6@@:26])-[#1]>>[#8:27](-[#6@@:26])-[#6](-[#6])=[#8],"EVODEX.2-P1721,EVODEX.2-P1817,EVODEX.2-P1942,EVODEX.2-P1957,EVODEX.2-P3787",60834357553513004676128554437900215562327730082401996911685141850098872113
