id,smirks,sources
6567867524464943762767690689273742815674510610725041341293311845028725659548,[#1][C:6]([C:5])([O:7][#1])[#1:67].[N:8][C:9](=[O:10])[C:11]1:[C:12]([#1:72]):[C:13]([#1:73]):[C:14]([#1:74]):[N&+:15]([C@:16]):[C:55]:1[#1:98]>>[C:5][C:6](=[O:7])[#1:67].[#1&+].[#1][C:12]1([#1:72])[C:11]([C:9]([N:8])=[O:10])=[C:55]([#1:98])[N:15]([C@:16])[C:14]([#1:74])=[C:13]1[#1:73],"EVODEX.2-R1,EVODEX.2-R1006,EVODEX.2-R1011,EVODEX.2-R1013,EVODEX.2-R1014,EVODEX.2-R1031,EVODEX.2-R1032,EVODEX.2-R1033,EVODEX.2-R1034,EVODEX.2-R1035,EVODEX.2-R1036,EVODEX.2-R1052,EVODEX.2-R1053,EVODEX.2-R1057,EVODEX.2-R106,EVODEX.2-R1061,EVODEX.2-R1062,EVODEX.2-R1169,EVODEX.2-R1198,EVODEX.2-R1203,EVODEX.2-R1318,EVODEX.2-R1319,EVODEX.2-R1320,EVODEX.2-R134,EVODEX.2-R1340,EVODEX.2-R1341,EVODEX.2-R1357,EVODEX.2-R15,EVODEX.2-R16,EVODEX.2-R17,EVODEX.2-R172,EVODEX.2-R175,EVODEX.2-R176,EVODEX.2-R197,EVODEX.2-R198,EVODEX.2-R199,EVODEX.2-R200,EVODEX.2-R201,EVODEX.2-R208,EVODEX.2-R213,EVODEX.2-R215,EVODEX.2-R222,EVODEX.2-R231,EVODEX.2-R232,EVODEX.2-R243,EVODEX.2-R266,EVODEX.2-R269,EVODEX.2-R3,EVODEX.2-R31,EVODEX.2-R326,EVODEX.2-R36,EVODEX.2-R361,EVODEX.2-R37,EVODEX.2-R4,EVODEX.2-R460,EVODEX.2-R474,EVODEX.2-R512,EVODEX.2-R52,EVODEX.2-R53,EVODEX.2-R54,EVODEX.2-R547,EVODEX.2-R57,EVODEX.2-R587,EVODEX.2-R588,EVODEX.2-R589,EVODEX.2-R590,EVODEX.2-R591,EVODEX.2-R592,EVODEX.2-R610,EVODEX.2-R626,EVODEX.2-R637,EVODEX.2-R639,EVODEX.2-R640,EVODEX.2-R690,EVODEX.2-R691,EVODEX.2-R692,EVODEX.2-R693,EVODEX.2-R694,EVODEX.2-R698,EVODEX.2-R699,EVODEX.2-R701,EVODEX.2-R706,EVODEX.2-R708,EVODEX.2-R710,EVODEX.2-R712,EVODEX.2-R714,EVODEX.2-R716,EVODEX.2-R718,EVODEX.2-R722,EVODEX.2-R731,EVODEX.2-R732,EVODEX.2-R733,EVODEX.2-R734,EVODEX.2-R740,EVODEX.2-R741,EVODEX.2-R742,EVODEX.2-R743,EVODEX.2-R744,EVODEX.2-R745,EVODEX.2-R747,EVODEX.2-R752,EVODEX.2-R753,EVODEX.2-R786,EVODEX.2-R789,EVODEX.2-R79,EVODEX.2-R8,EVODEX.2-R80,EVODEX.2-R81,EVODEX.2-R82,EVODEX.2-R83,EVODEX.2-R839,EVODEX.2-R84,EVODEX.2-R85,EVODEX.2-R872,EVODEX.2-R88,EVODEX.2-R897,EVODEX.2-R90,EVODEX.2-R91,EVODEX.2-R910,EVODEX.2-R919,EVODEX.2-R92,EVODEX.2-R942,EVODEX.2-R944,EVODEX.2-R947,EVODEX.2-R949"
108397917060236448418821406866847359190951506289421723214453400372362755469426,[#1][C:6]([C:5])([O:7])[C:8]([#1])([O:9])[#1:67].[N:10][C:11](=[O:12])[C:13]1:[C:14]([#1:72]):[C:15]([#1:73]):[C:16]([#1:74]):[N&+:17]([C@:18]):[C:53]:1[#1:97]>>[C:5][C:6]([O:7])=[C:8]([O:9])[#1:67].[#1&+].[#1][C:14]1([#1:72])[C:13]([C:11]([N:10])=[O:12])=[C:53]([#1:97])[N:17]([C@:18])[C:16]([#1:74])=[C:15]1[#1:73],"EVODEX.2-R1158,EVODEX.2-R2,EVODEX.2-R449,EVODEX.2-R450,EVODEX.2-R451,EVODEX.2-R459,EVODEX.2-R4694,EVODEX.2-R4695,EVODEX.2-R4697,EVODEX.2-R4698,EVODEX.2-R4699,EVODEX.2-R4700,EVODEX.2-R873"
83002272439071147405951283365072815632646590721682238474546988399339614854636,[N:1][C:2](=[O:3])[C:4]1:[C:5]([#1:61]):[C:6]([#1:62]):[C:7]([#1:63]):[N&+:8]([C@:9]):[C:48]:1[#1:87].[#1][O:49][C:50]([#1])(/[C:51](=[C:52](/[C:53]1:[C:54]([#1:93]):[C:55]([#1:94]):[C:56]([#1:95]):[C:57]([#1:96]):[C:58]:1[#1:97])[#1:92])[#1:91])[#1:89]>>[#1&+].[#1][C:5]1([#1:61])[C:4]([C:2]([N:1])=[O:3])=[C:48]([#1:87])[N:8]([C@:9])[C:7]([#1:63])=[C:6]1[#1:62].[O:49]=[C:50](/[C:51](=[C:52](/[C:53]1:[C:54]([#1:93]):[C:55]([#1:94]):[C:56]([#1:95]):[C:57]([#1:96]):[C:58]:1[#1:97])[#1:92])[#1:91])[#1:89],"EVODEX.2-R5,EVODEX.2-R511"
95262928238268876138515376611912898556669814369880737051571139843824573139259,[O:2][C:3]1:[C:4]([#1:66]):[C:5](/[C:6](=[C:7](/[C:8](=[O:9])[#1:69])[#1:68])[#1:67]):[C:10]([#1:70]):[C:11]([O:12]):[C:13]:1[O:14].[#1&+].[#1][C:62]1([#1:101])[C:18]([C:16]([N:15])=[O:17])=[C:19]([#1:75])[N:20]([C@:21])[C:60]([#1:99])=[C:61]1[#1:100]>>[#1][C:8](/[C:7](=[C:6](/[C:5]1:[C:4]([#1:66]):[C:3]([O:2]):[C:13]([O:14]):[C:11]([O:12]):[C:10]:1[#1:70])[#1:67])[#1:68])([O:9][#1])[#1:69].[N:15][C:16](=[O:17])[C:18]1:[C:19]([#1:75]):[N&+:20]([C@:21]):[C:60]([#1:99]):[C:61]([#1:100]):[C:62]:1[#1:101],"EVODEX.2-R6,EVODEX.2-R664,EVODEX.2-R668"
42461122357571939783394239113729801576371128707972917412008634978369290880119,[#1][C:3]([C:2](=[C:1]([#1:49])[#1:50])[#1:51])([O:4][#1])[#1:52].[N:5][C:6](=[O:7])[C:8]1:[C:9]([#1:57]):[C:10]([#1:58]):[C:11]([#1:59]):[N&+:12]([C@:13]):[C:48]:1[#1:82]>>[C:1](=[C:2]([C:3](=[O:4])[#1:52])[#1:51])([#1:49])[#1:50].[#1&+].[#1][C:9]1([#1:57])[C:8]([C:6]([N:5])=[O:7])=[C:48]([#1:82])[N:12]([C@:13])[C:11]([#1:59])=[C:10]1[#1:58],EVODEX.2-R7
29923216411739485682715055096012331134887024682056378496465954801896261280882,[C:3]/[C:5](=[C:6](/[C:7](=[O:8])[#1:66])[#1:65])[#1:64].[#1&+].[#1][C:56]1([#1:95])[C:12]([C:10]([N:9])=[O:11])=[C:13]([#1:69])[N:14]([C@:15])[C:54]([#1:93])=[C:55]1[#1:94]>>[#1][C:5]([C:3])([C:6]([#1])([C:7](=[O:8])[#1:66])[#1:65])[#1:64].[N:9][C:10](=[O:11])[C:12]1:[C:13]([#1:69]):[N&+:14]([C@:15]):[C:54]([#1:93]):[C:55]([#1:94]):[C:56]:1[#1:95],"EVODEX.2-R145,EVODEX.2-R146,EVODEX.2-R147,EVODEX.2-R148,EVODEX.2-R227,EVODEX.2-R4708,EVODEX.2-R4709,EVODEX.2-R473,EVODEX.2-R9"
20058594482111583408127576034185037556568982377602482434081256025264559691990,[C:1][C:2](=[C:3](/[C:4](=[C:5]([C:6](/[C:7])=[C:8]([C:9](=[C:10]([C:11](/[C:12])=[C:13](/[C:14](=[O:15])[#1:86])[#1:85])\[#1:81])/[#1:80])\[#1:79])\[#1:75])[#1:74])[C:16])[C:22].[#1&+].[#1][C:70]1([#1:127])[C:26]([C:24]([N:23])=[O:25])=[C:27]([#1:101])[N:28]([C@:29])[C:68]([#1:125])=[C:69]1[#1:126]>>[#1][C:14](/[C:13](=[C:11]([C:10](=[C:9]([C:8](=[C:6]([C:5](=[C:4](/[C:3](=[C:2]([C:1])[C:22])[C:16])[#1:74])/[#1:75])\[C:7])/[#1:79])\[#1:80])/[#1:81])\[C:12])[#1:85])([O:15][#1])[#1:86].[N:23][C:24](=[O:25])[C:26]1:[C:27]([#1:101]):[N&+:28]([C@:29]):[C:68]([#1:125]):[C:69]([#1:126]):[C:70]:1[#1:127],"EVODEX.2-R10,EVODEX.2-R1023,EVODEX.2-R1024,EVODEX.2-R268"
3156090109993576465344656373982702796241822003497229519682307931341837536802,[C:7]/[C:8]([C:9])=[C:10](/[C:11](=[O:12])[#1:70])[#1:69].[#1&+].[#1][C:56]1([#1:98])[C:16]([C:14]([N:13])=[O:15])=[C:17]([#1:73])[N:18]([C@:19])[C:54]([#1:96])=[C:55]1[#1:97]>>[#1][C@@:8]([C:7])([C:9])/[C:10](=[C:11](/[O:12][#1])[#1:70])[#1:69].[N:13][C:14](=[O:15])[C:16]1:[C:17]([#1:73]):[N&+:18]([C@:19]):[C:54]([#1:96]):[C:55]([#1:97]):[C:56]:1[#1:98],"EVODEX.2-R11,EVODEX.2-R144,EVODEX.2-R4636,EVODEX.2-R4676,EVODEX.2-R509,EVODEX.2-R510,EVODEX.2-R785,EVODEX.2-R811"
87653031880284619397815786824362296873919228114635292754134044226400708872129,[C:3][C:4](=[O:5])[C:6].[#1&+].[#1][C:63]1([#1:109])[C:19]([C:17]([N:16])=[O:18])=[C:20]([#1:83])[N:21]([C@:22])[C:61]([#1:107])=[C:62]1[#1:108]>>[#1][C:4]([C:3])([O:5][#1])[C:6].[N:16][C:17](=[O:18])[C:19]1:[C:20]([#1:83]):[N&+:21]([C@:22]):[C:61]([#1:107]):[C:62]([#1:108]):[C:63]:1[#1:109],"EVODEX.2-R1007,EVODEX.2-R1008,EVODEX.2-R101,EVODEX.2-R1010,EVODEX.2-R1015,EVODEX.2-R1016,EVODEX.2-R1017,EVODEX.2-R1020,EVODEX.2-R1021,EVODEX.2-R107,EVODEX.2-R1071,EVODEX.2-R1072,EVODEX.2-R1075,EVODEX.2-R108,EVODEX.2-R1081,EVODEX.2-R1082,EVODEX.2-R1083,EVODEX.2-R1084,EVODEX.2-R1085,EVODEX.2-R1086,EVODEX.2-R1088,EVODEX.2-R1089,EVODEX.2-R1090,EVODEX.2-R1091,EVODEX.2-R1092,EVODEX.2-R1100,EVODEX.2-R1101,EVODEX.2-R1104,EVODEX.2-R1109,EVODEX.2-R111,EVODEX.2-R1110,EVODEX.2-R1112,EVODEX.2-R1113,EVODEX.2-R1114,EVODEX.2-R1117,EVODEX.2-R1118,EVODEX.2-R1119,EVODEX.2-R1120,EVODEX.2-R1121,EVODEX.2-R1127,EVODEX.2-R1128,EVODEX.2-R1129,EVODEX.2-R113,EVODEX.2-R1130,EVODEX.2-R1131,EVODEX.2-R1134,EVODEX.2-R1135,EVODEX.2-R1137,EVODEX.2-R1138,EVODEX.2-R1139,EVODEX.2-R1147,EVODEX.2-R1148,EVODEX.2-R1149,EVODEX.2-R1150,EVODEX.2-R1151,EVODEX.2-R1153,EVODEX.2-R1162,EVODEX.2-R1163,EVODEX.2-R1168,EVODEX.2-R117,EVODEX.2-R1170,EVODEX.2-R1193,EVODEX.2-R1194,EVODEX.2-R1195,EVODEX.2-R12,EVODEX.2-R1201,EVODEX.2-R1204,EVODEX.2-R1205,EVODEX.2-R1206,EVODEX.2-R1207,EVODEX.2-R1209,EVODEX.2-R121,EVODEX.2-R124,EVODEX.2-R1251,EVODEX.2-R1255,EVODEX.2-R126,EVODEX.2-R1266,EVODEX.2-R1269,EVODEX.2-R127,EVODEX.2-R1270,EVODEX.2-R1271,EVODEX.2-R1272,EVODEX.2-R128,EVODEX.2-R1280,EVODEX.2-R1281,EVODEX.2-R1282,EVODEX.2-R1283,EVODEX.2-R1284,EVODEX.2-R1285,EVODEX.2-R1286,EVODEX.2-R1287,EVODEX.2-R1288,EVODEX.2-R1289,EVODEX.2-R1290,EVODEX.2-R1291,EVODEX.2-R1294,EVODEX.2-R1295,EVODEX.2-R1296,EVODEX.2-R1297,EVODEX.2-R1298,EVODEX.2-R1299,EVODEX.2-R13,EVODEX.2-R130,EVODEX.2-R1300,EVODEX.2-R1301,EVODEX.2-R1302,EVODEX.2-R1303,EVODEX.2-R1304,EVODEX.2-R1305,EVODEX.2-R1306,EVODEX.2-R1307,EVODEX.2-R1308,EVODEX.2-R1309,EVODEX.2-R131,EVODEX.2-R1310,EVODEX.2-R1311,EVODEX.2-R1312,EVODEX.2-R1313,EVODEX.2-R1314,EVODEX.2-R1315,EVODEX.2-R1316,EVODEX.2-R132,EVODEX.2-R1321,EVODEX.2-R1327,EVODEX.2-R133,EVODEX.2-R1330,EVODEX.2-R1332,EVODEX.2-R1344,EVODEX.2-R1345,EVODEX.2-R1348,EVODEX.2-R1349,EVODEX.2-R135,EVODEX.2-R1350,EVODEX.2-R1351,EVODEX.2-R1352,EVODEX.2-R1353,EVODEX.2-R1354,EVODEX.2-R1355,EVODEX.2-R1358,EVODEX.2-R1380,EVODEX.2-R1382,EVODEX.2-R169,EVODEX.2-R170,EVODEX.2-R171,EVODEX.2-R174,EVODEX.2-R177,EVODEX.2-R178,EVODEX.2-R181,EVODEX.2-R183,EVODEX.2-R184,EVODEX.2-R185,EVODEX.2-R186,EVODEX.2-R19,EVODEX.2-R190,EVODEX.2-R193,EVODEX.2-R20,EVODEX.2-R21,EVODEX.2-R214,EVODEX.2-R218,EVODEX.2-R219,EVODEX.2-R220,EVODEX.2-R225,EVODEX.2-R233,EVODEX.2-R234,EVODEX.2-R235,EVODEX.2-R237,EVODEX.2-R238,EVODEX.2-R239,EVODEX.2-R24,EVODEX.2-R240,EVODEX.2-R241,EVODEX.2-R242,EVODEX.2-R244,EVODEX.2-R245,EVODEX.2-R246,EVODEX.2-R247,EVODEX.2-R248,EVODEX.2-R249,EVODEX.2-R25,EVODEX.2-R250,EVODEX.2-R251,EVODEX.2-R252,EVODEX.2-R253,EVODEX.2-R254,EVODEX.2-R255,EVODEX.2-R256,EVODEX.2-R257,EVODEX.2-R258,EVODEX.2-R259,EVODEX.2-R26,EVODEX.2-R260,EVODEX.2-R262,EVODEX.2-R263,EVODEX.2-R265,EVODEX.2-R267,EVODEX.2-R27,EVODEX.2-R274,EVODEX.2-R29,EVODEX.2-R30,EVODEX.2-R302,EVODEX.2-R304,EVODEX.2-R305,EVODEX.2-R317,EVODEX.2-R318,EVODEX.2-R319,EVODEX.2-R32,EVODEX.2-R320,EVODEX.2-R321,EVODEX.2-R322,EVODEX.2-R323,EVODEX.2-R324,EVODEX.2-R33,EVODEX.2-R34,EVODEX.2-R35,EVODEX.2-R359,EVODEX.2-R360,EVODEX.2-R362,EVODEX.2-R368,EVODEX.2-R369,EVODEX.2-R370,EVODEX.2-R371,EVODEX.2-R372,EVODEX.2-R374,EVODEX.2-R375,EVODEX.2-R379,EVODEX.2-R38,EVODEX.2-R381,EVODEX.2-R382,EVODEX.2-R383,EVODEX.2-R384,EVODEX.2-R390,EVODEX.2-R394,EVODEX.2-R396,EVODEX.2-R397,EVODEX.2-R399,EVODEX.2-R400,EVODEX.2-R408,EVODEX.2-R409,EVODEX.2-R412,EVODEX.2-R413,EVODEX.2-R414,EVODEX.2-R415,EVODEX.2-R416,EVODEX.2-R417,EVODEX.2-R422,EVODEX.2-R423,EVODEX.2-R424,EVODEX.2-R425,EVODEX.2-R426,EVODEX.2-R427,EVODEX.2-R428,EVODEX.2-R429,EVODEX.2-R430,EVODEX.2-R435,EVODEX.2-R439,EVODEX.2-R440,EVODEX.2-R441,EVODEX.2-R442,EVODEX.2-R443,EVODEX.2-R444,EVODEX.2-R445,EVODEX.2-R446,EVODEX.2-R447,EVODEX.2-R448,EVODEX.2-R457,EVODEX.2-R458,EVODEX.2-R461,EVODEX.2-R462,EVODEX.2-R463,EVODEX.2-R464,EVODEX.2-R465,EVODEX.2-R466,EVODEX.2-R468,EVODEX.2-R469,EVODEX.2-R470,EVODEX.2-R4712,EVODEX.2-R472,EVODEX.2-R475,EVODEX.2-R476,EVODEX.2-R498,EVODEX.2-R499,EVODEX.2-R500,EVODEX.2-R501,EVODEX.2-R502,EVODEX.2-R503,EVODEX.2-R51,EVODEX.2-R513,EVODEX.2-R515,EVODEX.2-R518,EVODEX.2-R520,EVODEX.2-R521,EVODEX.2-R526,EVODEX.2-R533,EVODEX.2-R536,EVODEX.2-R538,EVODEX.2-R539,EVODEX.2-R540,EVODEX.2-R541,EVODEX.2-R556,EVODEX.2-R557,EVODEX.2-R558,EVODEX.2-R560,EVODEX.2-R561,EVODEX.2-R562,EVODEX.2-R563,EVODEX.2-R564,EVODEX.2-R565,EVODEX.2-R566,EVODEX.2-R567,EVODEX.2-R568,EVODEX.2-R569,EVODEX.2-R570,EVODEX.2-R571,EVODEX.2-R5720,EVODEX.2-R585,EVODEX.2-R586,EVODEX.2-R597,EVODEX.2-R601,EVODEX.2-R634,EVODEX.2-R65,EVODEX.2-R66,EVODEX.2-R67,EVODEX.2-R679,EVODEX.2-R68,EVODEX.2-R680,EVODEX.2-R681,EVODEX.2-R683,EVODEX.2-R684,EVODEX.2-R685,EVODEX.2-R688,EVODEX.2-R719,EVODEX.2-R72,EVODEX.2-R728,EVODEX.2-R729,EVODEX.2-R730,EVODEX.2-R735,EVODEX.2-R736,EVODEX.2-R738,EVODEX.2-R7382,EVODEX.2-R7383,EVODEX.2-R739,EVODEX.2-R749,EVODEX.2-R750,EVODEX.2-R751,EVODEX.2-R76,EVODEX.2-R761,EVODEX.2-R762,EVODEX.2-R763,EVODEX.2-R764,EVODEX.2-R767,EVODEX.2-R768,EVODEX.2-R769,EVODEX.2-R77,EVODEX.2-R770,EVODEX.2-R771,EVODEX.2-R772,EVODEX.2-R773,EVODEX.2-R774,EVODEX.2-R776,EVODEX.2-R777,EVODEX.2-R778,EVODEX.2-R779,EVODEX.2-R78,EVODEX.2-R781,EVODEX.2-R782,EVODEX.2-R783,EVODEX.2-R792,EVODEX.2-R793,EVODEX.2-R794,EVODEX.2-R795,EVODEX.2-R797,EVODEX.2-R803,EVODEX.2-R804,EVODEX.2-R805,EVODEX.2-R806,EVODEX.2-R807,EVODEX.2-R812,EVODEX.2-R818,EVODEX.2-R827,EVODEX.2-R834,EVODEX.2-R835,EVODEX.2-R840,EVODEX.2-R849,EVODEX.2-R850,EVODEX.2-R856,EVODEX.2-R857,EVODEX.2-R858,EVODEX.2-R861,EVODEX.2-R862,EVODEX.2-R864,EVODEX.2-R866,EVODEX.2-R869,EVODEX.2-R870,EVODEX.2-R871,EVODEX.2-R882,EVODEX.2-R884,EVODEX.2-R885,EVODEX.2-R888,EVODEX.2-R889,EVODEX.2-R890,EVODEX.2-R891,EVODEX.2-R892,EVODEX.2-R893,EVODEX.2-R898,EVODEX.2-R900,EVODEX.2-R905,EVODEX.2-R906,EVODEX.2-R909,EVODEX.2-R913,EVODEX.2-R916,EVODEX.2-R917,EVODEX.2-R918,EVODEX.2-R926,EVODEX.2-R927,EVODEX.2-R928,EVODEX.2-R929,EVODEX.2-R93,EVODEX.2-R930,EVODEX.2-R931,EVODEX.2-R932,EVODEX.2-R933,EVODEX.2-R934,EVODEX.2-R935,EVODEX.2-R936,EVODEX.2-R945,EVODEX.2-R946,EVODEX.2-R95,EVODEX.2-R950,EVODEX.2-R956,EVODEX.2-R957,EVODEX.2-R961,EVODEX.2-R98"
56303046763604721410845348083511797555718773555128608493747180530697297449079,[#1&+].[#1][C:48]1([#1:88])[C:4]([C:2]([N:1])=[O:3])=[C:5]([#1:62])[N:6]([C@:7])[C:46]([#1:86])=[C:47]1[#1:87].[O:49]=[C:50]([C:51]1:[C:52]([#1:91]):[C:53]([#1:92]):[C:54]([N&+:55](=[O:56])[O&-:57]):[C:58]([#1:93]):[C:59]:1[#1:94])[#1:90]>>[N:1][C:2](=[O:3])[C:4]1:[C:5]([#1:62]):[N&+:6]([C@:7]):[C:46]([#1:86]):[C:47]([#1:87]):[C:48]:1[#1:88].[#1][O:49][C:50]([#1])([C:51]1:[C:52]([#1:91]):[C:53]([#1:92]):[C:54]([N&+:55](=[O:56])[O&-:57]):[C:58]([#1:93]):[C:59]:1[#1:94])[#1:90],"EVODEX.2-R14,EVODEX.2-R308"
