id,smirks,sources,error
22650,,,SMILES validation failed
10624,[At][N:1]([At])[C:2](=[O:3])[c:4]1[c:5]([At])[c:6]([At])[c:7]([At])[n+:8]([C@:9]2([At])[O:10][C@:11]([At])([C:12]([At])([At])[O:13][P:14](=[O:15])([O:16][At])[O:17][P:18](=[O:19])([O:20][At])[O:21][C:22]([At])([At])[C@@:23]3([At])[O:24][C@@:25]([At])([n:26]4[c:27]([At])[n:28][c:29]5[c:30]([N:31]([At])[At])[n:32][c:33]([At])[n:34][c:35]45)[C@:36]([At])([O:37][P:38](=[O:39])([O:40][At])[O:41][At])[C@:42]3([At])[O:43][At])[C@@:44]([At])([O:45][At])[C@@:46]2([At])[O:47][At])[c:48]1[At].[At][O:49][c:50]1[c:51]([At])[c:52]([O:53][At])[c:54]2[c:55]([c:56]1[At])[O:57][C@:58]([At])([c:59]1[c:60]([At])[c:61]([At])[c:62]([O:63][At])[c:64]([O:65][At])[c:66]1[At])[C@@:67]([At])([O:68][At])[C@@:69]2([At])[O:70][At]>>[At+].[At][N:1]([At])[C:2](=[O:3])[C:4]1=[C:48]([At])[N:8]([C@:9]2([At])[O:10][C@:11]([At])([C:12]([At])([At])[O:13][P:14](=[O:15])([O:16][At])[O:17][P:18](=[O:19])([O:20][At])[O:21][C:22]([At])([At])[C@@:23]3([At])[O:24][C@@:25]([At])([n:26]4[c:27]([At])[n:28][c:29]5[c:30]([N:31]([At])[At])[n:32][c:33]([At])[n:34][c:35]45)[C@:36]([At])([O:37][P:38](=[O:39])([O:40][At])[O:41][At])[C@:42]3([At])[O:43][At])[C@@:44]([At])([O:45][At])[C@@:46]2([At])[O:47][At])[C:7]([At])=[C:6]([At])[C:5]1([At])[At].[At][O:49][c:50]1[c:51]([At])[c:52]([O:53][At])[c:54]2[c:55]([c:56]1[At])[O:57][C@:58]([At])([c:59]1[c:60]([At])[c:61]([At])[c:62]([O:63][At])[c:64]([O:65][At])[c:66]1[At])[C@@:67]([At])([O:68][At])[C:69]2=[O:70],,
299548,,,SMILES validation failed
128262,[At][O:3][P:2](=[O:1])([O:4][At])[O:5][C@@:6]1([At])[O:7][C@:8]([At])([C:9]([At])([At])[O:10][At])[C@@:11]([At])([O:12][C@@:13]2([At])[O:14][C@:15]([At])([C:16]([At])([At])[O:17][At])[C@@:18]([At])([O:19][C@@:20]3([At])[O:21][C@:22]([At])([C:23]([At])([At])[O:24][At])[C@@:25]([At])([O:26][At])[C@:27]([At])([O:28][At])[C@@:29]3([At])[O:30][At])[C@:31]([At])([O:32][At])[C@@:33]2([At])[O:34][At])[C@:35]([At])([O:36][At])[C@@:37]1([At])[O:38][At].[At][O:39][C:40]([At])([At])[C@@:41]1([At])[O:42][C@:43]([At])([O:44][At])[C@:45]([At])([O:46][At])[C@@:47]([At])([O:48][At])[C@:49]1([At])[O:50][At]>>[At][C@:6]1([O:50][C@:49]2([At])[C@@:41]([At])([C:40]([At])([At])[O:39][At])[O:42][C@:43]([At])([O:44][At])[C@:45]([At])([O:46][At])[C@@:47]2([At])[O:48][At])[O:7][C@:8]([At])([C:9]([At])([At])[O:10][At])[C@@:11]([At])([O:12][C@@:13]2([At])[O:14][C@:15]([At])([C:16]([At])([At])[O:17][At])[C@@:18]([At])([O:19][C@@:20]3([At])[O:21][C@:22]([At])([C:23]([At])([At])[O:24][At])[C@@:25]([At])([O:26][At])[C@:27]([At])([O:28][At])[C@@:29]3([At])[O:30][At])[C@:31]([At])([O:32][At])[C@@:33]2([At])[O:34][At])[C@:35]([At])([O:36][At])[C@@:37]1([At])[O:38][At].[At][O:3][P:2](=[O:1])([O:4][At])[O:5][At],,
14599,[At][C:1]([At])([At])[C:2]([At])([At])[O:3][C:4](=[O:5])[C:6]([At])([At])[C:7]([C:8]([At])([At])[At])=[O:9].[At+].[At][N:10]([At])[C:11](=[O:12])[C:13]1=[C:14]([At])[N:15]([C@:16]2([At])[O:17][C@:18]([At])([C:19]([At])([At])[O:20][P:21](=[O:22])([O:23][At])[O:24][P:25](=[O:26])([O:27][At])[O:28][C:29]([At])([At])[C@@:30]3([At])[O:31][C@@:32]([At])([n:33]4[c:34]([At])[n:35][c:36]5[c:37]([N:38]([At])[At])[n:39][c:40]([At])[n:41][c:42]45)[C@:43]([At])([O:44][P:45](=[O:46])([O:47][At])[O:48][At])[C@:49]3([At])[O:50][At])[C@@:51]([At])([O:52][At])[C@@:53]2([At])[O:54][At])[C:55]([At])=[C:56]([At])[C:57]1([At])[At]>>[At][C:1]([At])([At])[C:2]([At])([At])[O:3][C:4](=[O:5])[C:6]([At])([At])[C@:7]([At])([C:8]([At])([At])[At])[O:9][At].[At][N:10]([At])[C:11](=[O:12])[c:13]1[c:14]([At])[n+:15]([C@:16]2([At])[O:17][C@:18]([At])([C:19]([At])([At])[O:20][P:21](=[O:22])([O:23][At])[O:24][P:25](=[O:26])([O:27][At])[O:28][C:29]([At])([At])[C@@:30]3([At])[O:31][C@@:32]([At])([n:33]4[c:34]([At])[n:35][c:36]5[c:37]([N:38]([At])[At])[n:39][c:40]([At])[n:41][c:42]45)[C@:43]([At])([O:44][P:45](=[O:46])([O:47][At])[O:48][At])[C@:49]3([At])[O:50][At])[C@@:51]([At])([O:52][At])[C@@:53]2([At])[O:54][At])[c:55]([At])[c:56]([At])[c:57]1[At],,
178353,[At][N:1]([At])[c:2]1[n:3][c:4]([At])[n:5][c:6]2[c:7]1[n:8][c:9]([At])[n:10]2[C@:11]1([At])[O:12][C@:13]([At])([C:14]([At])([At])[O:15][P:16](=[O:17])([O:18][At])[O:19][At])[C@@:20]([At])([O:21][At])[C@@:22]1([At])[O:23][At].[At][N:24]([At])[c:25]1[n:26][c:27]([At])[n:28][c:29]2[c:30]1[n:31][c:32]([At])[n:33]2[C@:34]1([At])[O:35][C@:36]([At])([C:37]([At])([At])[O:38][P:39](=[O:40])([O:41][At])[O:42][P:43](=[O:44])([O:45][At])[O:46][P:47](=[O:48])([O:49][At])[O:50][At])[C@@:51]([At])([O:52][At])[C@@:53]1([At])[O:54][At]>>[At][N:1]([At])[c:2]1[n:3][c:4]([At])[n:5][c:6]2[c:7]1[n:8][c:9]([At])[n:10]2[C@:11]1([At])[O:12][C@:13]([At])([C:14]([At])([At])[O:15][P:16](=[O:17])([O:18][P:47](=[O:48])([O:49][At])[O:50][At])[O:19][At])[C@@:20]([At])([O:21][At])[C@@:22]1([At])[O:23][At].[At][N:24]([At])[c:25]1[n:26][c:27]([At])[n:28][c:29]2[c:30]1[n:31][c:32]([At])[n:33]2[C@:34]1([At])[O:35][C@:36]([At])([C:37]([At])([At])[O:38][P:39](=[O:40])([O:41][At])[O:42][P:43](=[O:44])([O:45][At])[O:46][At])[C@@:51]([At])([O:52][At])[C@@:53]1([At])[O:54][At],,
166126,[At][C:1]([At])([At])[C:2](=[O:3])[C:4](=[O:5])[O:6][At].[At][C:7]([At])([At])[c:8]1[c:9]([At])[n:10]([C@@:11]2([At])[C:12]([At])([At])[C@:13]([At])([O:14][At])[C@@:15]([At])([C:16]([At])([At])[O:17][P:18](=[O:19])([O:20][At])[O:21][P:22](=[O:23])([O:24][At])[O:25][P:26](=[O:27])([O:28][At])[O:29][At])[O:30]2)[c:31](=[O:32])[n:33]([At])[c:34]1=[O:35]>>[At][C:1]([At])=[C:2]([O:3][P:26](=[O:27])([O:28][At])[O:29][At])[C:4](=[O:5])[O:6][At].[At][C:7]([At])([At])[c:8]1[c:9]([At])[n:10]([C@@:11]2([At])[C:12]([At])([At])[C@:13]([At])([O:14][At])[C@@:15]([At])([C:16]([At])([At])[O:17][P:18](=[O:19])([O:20][At])[O:21][P:22](=[O:23])([O:24][At])[O:25][At])[O:30]2)[c:31](=[O:32])[n:33]([At])[c:34]1=[O:35],,
193124,[At][C:1]([At])([At])[C:2]([At])([At])[C:3]([At])([At])[C:4]([At])([At])[C:5]([At])([At])[C:6]([At])([At])[C:7]([At])([At])[C:8](=[O:9])[O:10][c:11]1[c:12]([At])[c:13]([At])[c:14]([N+:15](=[O:16])[O-:17])[c:18]([At])[c:19]1[At].[At][O:20][At]>>[At][C:1]([At])([At])[C:2]([At])([At])[C:3]([At])([At])[C:4]([At])([At])[C:5]([At])([At])[C:6]([At])([At])[C:7]([At])([At])[C:8](=[O:9])[O:20][At].[At][O:10][c:11]1[c:12]([At])[c:13]([At])[c:14]([N+:15](=[O:16])[O-:17])[c:18]([At])[c:19]1[At],,
159182,,,SMILES validation failed
3713,[At][C:1]([At])([At])[C:2](=[O:3])[C@@:4]1([At])[C:5]([At])([At])[C:6]([At])([At])[C@@:7]2([At])[C@:8]3([At])[C:9]([At])([At])[C:10]([At])=[C:11]4[C:12]([At])([At])[C@@:13]([At])([O:14][At])[C:15]([At])([At])[C:16]([At])([At])[C@:17]4([C:18]([At])([At])[At])[C@@:19]3([At])[C:20]([At])([At])[C:21]([At])([At])[C@:22]12[C:23]([At])([At])[At].[At][N:24]([At])[C:25](=[O:26])[c:27]1[c:28]([At])[c:29]([At])[c:30]([At])[n+:31]([C@:32]2([At])[O:33][C@:34]([At])([C:35]([At])([At])[O:36][P:37](=[O:38])([O:39][At])[O:40][P:41](=[O:42])([O:43][At])[O:44][C:45]([At])([At])[C@@:46]3([At])[O:47][C@@:48]([At])([n:49]4[c:50]([At])[n:51][c:52]5[c:53]([N:54]([At])[At])[n:55][c:56]([At])[n:57][c:58]45)[C@:59]([At])([O:60][P:61](=[O:62])([O:63][At])[O:64][At])[C@:65]3([At])[O:66][At])[C@@:67]([At])([O:68][At])[C@@:69]2([At])[O:70][At])[c:71]1[At]>>[At][C:1]([At])([At])[C:2](=[O:3])[C@@:4]1([At])[C:5]([At])([At])[C:6]([At])([At])[C@@:7]2([At])[C@:8]3([At])[C:9]([At])([At])[C:10]([At])=[C:11]4[C:12]([At])([At])[C:13](=[O:14])[C:15]([At])([At])[C:16]([At])([At])[C@:17]4([C:18]([At])([At])[At])[C@@:19]3([At])[C:20]([At])([At])[C:21]([At])([At])[C@:22]12[C:23]([At])([At])[At].[At+].[At][N:24]([At])[C:25](=[O:26])[C:27]1=[C:71]([At])[N:31]([C@:32]2([At])[O:33][C@:34]([At])([C:35]([At])([At])[O:36][P:37](=[O:38])([O:39][At])[O:40][P:41](=[O:42])([O:43][At])[O:44][C:45]([At])([At])[C@@:46]3([At])[O:47][C@@:48]([At])([n:49]4[c:50]([At])[n:51][c:52]5[c:53]([N:54]([At])[At])[n:55][c:56]([At])[n:57][c:58]45)[C@:59]([At])([O:60][P:61](=[O:62])([O:63][At])[O:64][At])[C@:65]3([At])[O:66][At])[C@@:67]([At])([O:68][At])[C@@:69]2([At])[O:70][At])[C:30]([At])=[C:29]([At])[C:28]1([At])[At],,
80192,[At][C:1]([At])([At])[C@:2]([At])([N:3]([At])[At])[C:4](=[O:5])[O:6][At].[At][N:7]([At])[C:8](=[O:9])[c:10]1[c:11]([At])[c:12]([At])[c:13]([At])[n+:14]([C@:15]2([At])[O:16][C@:17]([At])([C:18]([At])([At])[O:19][P:20](=[O:21])([O:22][At])[O:23][P:24](=[O:25])([O:26][At])[O:27][C:28]([At])([At])[C@@:29]3([At])[O:30][C@@:31]([At])([n:32]4[c:33]([At])[n:34][c:35]5[c:36]([N:37]([At])[At])[n:38][c:39]([At])[n:40][c:41]45)[C@:42]([At])([O:43][At])[C@:44]3([At])[O:45][At])[C@@:46]([At])([O:47][At])[C@@:48]2([At])[O:49][At])[c:50]1[At].[At][O:51][At]>>[At][C:1]([At])([At])[C:2]([C:4](=[O:5])[O:6][At])=[O:51].[At+].[At][N:7]([At])[C:8](=[O:9])[C:10]1=[C:50]([At])[N:14]([C@:15]2([At])[O:16][C@:17]([At])([C:18]([At])([At])[O:19][P:20](=[O:21])([O:22][At])[O:23][P:24](=[O:25])([O:26][At])[O:27][C:28]([At])([At])[C@@:29]3([At])[O:30][C@@:31]([At])([n:32]4[c:33]([At])[n:34][c:35]5[c:36]([N:37]([At])[At])[n:38][c:39]([At])[n:40][c:41]45)[C@:42]([At])([O:43][At])[C@:44]3([At])[O:45][At])[C@@:46]([At])([O:47][At])[C@@:48]2([At])[O:49][At])[C:13]([At])=[C:12]([At])[C:11]1([At])[At].[At][N:3]([At])[At],,
307529,[At][O:3][P:2](=[O:1])([O:4][At])[O:5][C:6]([At])([At])[C@@:7]1([At])[O:8][C@@:9]([At])([O:10][At])[C@:11]([At])([O:12][At])[C@@:13]([At])([O:14][At])[C@:15]1([At])[O:16][At]>>[At][O:3][P:2](=[O:1])([O:4][At])[O:10][C@:9]1([At])[O:8][C@:7]([At])([C:6]([At])([At])[O:5][At])[C@@:15]([At])([O:16][At])[C@:13]([At])([O:14][At])[C@@:11]1([At])[O:12][At],,
105632,[At][C:1]([At])([At])[S+:2]([C:3]([At])([At])[C:4]([At])([At])[C@:5]([At])([N:6]([At])[At])[C:7](=[O:8])[O:9][At])[C:10]([At])([At])[C@@:11]1([At])[O:12][C@@:13]([At])([n:14]2[c:15]([At])[n:16][c:17]3[c:18]([N:19]([At])[At])[n:20][c:21]([At])[n:22][c:23]23)[C@:24]([At])([O:25][At])[C@:26]1([At])[O:27][At].[At][O:28][c:29]1[c:30]([At])[c:31]([At])[c:32]([At])[c:33]([At])[c:34]1[O:35][At]>>[At][C:1]([At])([At])[O:28][c:29]1[c:30]([At])[c:31]([At])[c:32]([At])[c:33]([At])[c:34]1[O:35][At].[At+].[At][C:3]([At])([S:2][C:10]([At])([At])[C@@:11]1([At])[O:12][C@@:13]([At])([n:14]2[c:15]([At])[n:16][c:17]3[c:18]([N:19]([At])[At])[n:20][c:21]([At])[n:22][c:23]23)[C@:24]([At])([O:25][At])[C@:26]1([At])[O:27][At])[C:4]([At])([At])[C@:5]([At])([N:6]([At])[At])[C:7](=[O:8])[O:9][At],,
