id,smirks,sources,hash
EVODEX.2.1-C345,[#6:4]-[#6:5](=[#8:6])-[#7:7](-[#6:8])-[#1]>>[#6:4]-[#6:5](=[#8:6])-[#8]-[#1].[#7:7](-[#6:8])(-[#1])-[#1],"EVODEX.2.1-P1887,EVODEX.2.1-P3622,EVODEX.2.1-P3690,EVODEX.2.1-P4143,EVODEX.2.1-P4166,EVODEX.2.1-P4288,EVODEX.2.1-P4292,EVODEX.2.1-P4357,EVODEX.2.1-P4365,EVODEX.2.1-P4366,EVODEX.2.1-P4378,EVODEX.2.1-P4385,EVODEX.2.1-P4386,EVODEX.2.1-P4394,EVODEX.2.1-P4395,EVODEX.2.1-P4396,EVODEX.2.1-P4400,EVODEX.2.1-P4402,EVODEX.2.1-P4434,EVODEX.2.1-P4471,EVODEX.2.1-P4473,EVODEX.2.1-P4475,EVODEX.2.1-P4481,EVODEX.2.1-P4533,EVODEX.2.1-P4575,EVODEX.2.1-P4592,EVODEX.2.1-P4597,EVODEX.2.1-P4618,EVODEX.2.1-P4649,EVODEX.2.1-P4677,EVODEX.2.1-P4694,EVODEX.2.1-P4702,EVODEX.2.1-P4703,EVODEX.2.1-P4705,EVODEX.2.1-P4711,EVODEX.2.1-P4717,EVODEX.2.1-P4742,EVODEX.2.1-P4767,EVODEX.2.1-P4840,EVODEX.2.1-P4851,EVODEX.2.1-P4852,EVODEX.2.1-P4881,EVODEX.2.1-P4883,EVODEX.2.1-P4889,EVODEX.2.1-P4892,EVODEX.2.1-P4894,EVODEX.2.1-P4903,EVODEX.2.1-P4906,EVODEX.2.1-P4911,EVODEX.2.1-P4913,EVODEX.2.1-P4951,EVODEX.2.1-P4955,EVODEX.2.1-P4962,EVODEX.2.1-P4973,EVODEX.2.1-P4977,EVODEX.2.1-P4984,EVODEX.2.1-P5011,EVODEX.2.1-P5044,EVODEX.2.1-P5055,EVODEX.2.1-P5058,EVODEX.2.1-P5065,EVODEX.2.1-P5264,EVODEX.2.1-P5311,EVODEX.2.1-P5370,EVODEX.2.1-P5377,EVODEX.2.1-P5381,EVODEX.2.1-P5392,EVODEX.2.1-P5394,EVODEX.2.1-P5529,EVODEX.2.1-P5557",79596132426590414460896235046590803619680393208457234291812208240321733550358
EVODEX.2.1-C694,[#6:3](-[#6@@:2])(=[#8:4])-[#7:5](-[#6:6])-[#1].[#8:24](-[#1])-[#1]>>[#6:3](-[#6@@:2])(=[#8:4])-[#8:24]-[#1].[#7:5](-[#6:6])(-[#1])-[#1],"EVODEX.2.1-P3620,EVODEX.2.1-P3687,EVODEX.2.1-P3688,EVODEX.2.1-P4125,EVODEX.2.1-P4165,EVODEX.2.1-P4217,EVODEX.2.1-P4296,EVODEX.2.1-P4355,EVODEX.2.1-P4390,EVODEX.2.1-P4393,EVODEX.2.1-P4397,EVODEX.2.1-P4398,EVODEX.2.1-P4399,EVODEX.2.1-P4403,EVODEX.2.1-P4404,EVODEX.2.1-P4470,EVODEX.2.1-P4472,EVODEX.2.1-P4474,EVODEX.2.1-P4480,EVODEX.2.1-P4565,EVODEX.2.1-P4576,EVODEX.2.1-P4590,EVODEX.2.1-P4599,EVODEX.2.1-P4610,EVODEX.2.1-P4616,EVODEX.2.1-P4631,EVODEX.2.1-P4646,EVODEX.2.1-P4647,EVODEX.2.1-P4675,EVODEX.2.1-P4691,EVODEX.2.1-P4695,EVODEX.2.1-P4697,EVODEX.2.1-P4699,EVODEX.2.1-P4708,EVODEX.2.1-P4712,EVODEX.2.1-P4720,EVODEX.2.1-P4800,EVODEX.2.1-P4801,EVODEX.2.1-P4820,EVODEX.2.1-P4843,EVODEX.2.1-P4857,EVODEX.2.1-P4862,EVODEX.2.1-P4869,EVODEX.2.1-P4880,EVODEX.2.1-P4882,EVODEX.2.1-P4884,EVODEX.2.1-P4885,EVODEX.2.1-P4893,EVODEX.2.1-P4895,EVODEX.2.1-P4899,EVODEX.2.1-P4901,EVODEX.2.1-P4904,EVODEX.2.1-P4907,EVODEX.2.1-P4909,EVODEX.2.1-P4976,EVODEX.2.1-P4986,EVODEX.2.1-P4992,EVODEX.2.1-P5019,EVODEX.2.1-P5047,EVODEX.2.1-P5054,EVODEX.2.1-P5057,EVODEX.2.1-P5324,EVODEX.2.1-P5343,EVODEX.2.1-P5373,EVODEX.2.1-P5376,EVODEX.2.1-P5380,EVODEX.2.1-P5390,EVODEX.2.1-P5393,EVODEX.2.1-P5395,EVODEX.2.1-P5444",114186845560407998358248103341180002290736573565677413408452852578210847290470
EVODEX.2.1-C6,[#6:7]-[#6:8](=[#8:9])-[#8:10]-[#6:11]>>[#6:7]-[#6:8](=[#8:9])-[#8]-[#1].[#8:10](-[#6:11])-[#1],"EVODEX.2.1-P10,EVODEX.2.1-P3408,EVODEX.2.1-P3425,EVODEX.2.1-P3429,EVODEX.2.1-P3433,EVODEX.2.1-P3440,EVODEX.2.1-P3451,EVODEX.2.1-P3453,EVODEX.2.1-P3458,EVODEX.2.1-P3463,EVODEX.2.1-P3467,EVODEX.2.1-P3471,EVODEX.2.1-P3492,EVODEX.2.1-P3497,EVODEX.2.1-P3499,EVODEX.2.1-P3502,EVODEX.2.1-P3504,EVODEX.2.1-P3566,EVODEX.2.1-P3578,EVODEX.2.1-P3579,EVODEX.2.1-P3583,EVODEX.2.1-P3585,EVODEX.2.1-P3599,EVODEX.2.1-P3603,EVODEX.2.1-P3668,EVODEX.2.1-P3677,EVODEX.2.1-P3692,EVODEX.2.1-P3883,EVODEX.2.1-P3974,EVODEX.2.1-P4031,EVODEX.2.1-P4036,EVODEX.2.1-P4079,EVODEX.2.1-P4081,EVODEX.2.1-P4107,EVODEX.2.1-P4731,EVODEX.2.1-P4989,EVODEX.2.1-P5046",55224251857828450369294531137808559439373936941969438525796967207132719841924
EVODEX.2.1-C633,[#6:3]-[#6:4](=[#8:5])-[#8:6]-[#6:7].[#8:13](-[#1])-[#1]>>[#6:3]-[#6:4](=[#8:5])-[#8:13]-[#1].[#8:6](-[#6:7])-[#1],"EVODEX.2.1-P3406,EVODEX.2.1-P3414,EVODEX.2.1-P3426,EVODEX.2.1-P3428,EVODEX.2.1-P3430,EVODEX.2.1-P3438,EVODEX.2.1-P3441,EVODEX.2.1-P3459,EVODEX.2.1-P3460,EVODEX.2.1-P3468,EVODEX.2.1-P3469,EVODEX.2.1-P3480,EVODEX.2.1-P3485,EVODEX.2.1-P3494,EVODEX.2.1-P3501,EVODEX.2.1-P3533,EVODEX.2.1-P3570,EVODEX.2.1-P3584,EVODEX.2.1-P3636,EVODEX.2.1-P3664,EVODEX.2.1-P3675,EVODEX.2.1-P3936,EVODEX.2.1-P3938,EVODEX.2.1-P3975,EVODEX.2.1-P3988,EVODEX.2.1-P4020,EVODEX.2.1-P4030,EVODEX.2.1-P4039,EVODEX.2.1-P4055,EVODEX.2.1-P4106,EVODEX.2.1-P4247,EVODEX.2.1-P4728,EVODEX.2.1-P4730,EVODEX.2.1-P4990",31060413215451819376807198352811413157750527303687932885026334331779146602028
EVODEX.2.1-C45,[#6:15]-[#6:16](-[#6:17])(-[#1:36])-[#1]>>[#6:15]-[#6:16](-[#6:17])(-[#8]-[#1])-[#1:36],"EVODEX.2.1-P190,EVODEX.2.1-P199,EVODEX.2.1-P200,EVODEX.2.1-P205,EVODEX.2.1-P212,EVODEX.2.1-P213,EVODEX.2.1-P2526,EVODEX.2.1-P259,EVODEX.2.1-P265,EVODEX.2.1-P304,EVODEX.2.1-P312,EVODEX.2.1-P318,EVODEX.2.1-P326,EVODEX.2.1-P330,EVODEX.2.1-P337,EVODEX.2.1-P3377,EVODEX.2.1-P368,EVODEX.2.1-P381,EVODEX.2.1-P433,EVODEX.2.1-P440,EVODEX.2.1-P520,EVODEX.2.1-P531,EVODEX.2.1-P539,EVODEX.2.1-P540,EVODEX.2.1-P547,EVODEX.2.1-P553,EVODEX.2.1-P621,EVODEX.2.1-P702",35915619584559722382571061287442282266104322305393568785588199555841439379533
EVODEX.2.1-C3,[#6:1]-[#6:2](=[#8:3])-[#6:4]>>[#6:1]-[#6:2](-[#8:3]-[#1])(-[#6:4])-[#1],"EVODEX.2.1-P103,EVODEX.2.1-P110,EVODEX.2.1-P111,EVODEX.2.1-P25,EVODEX.2.1-P26,EVODEX.2.1-P27,EVODEX.2.1-P29,EVODEX.2.1-P3,EVODEX.2.1-P3180,EVODEX.2.1-P32,EVODEX.2.1-P33,EVODEX.2.1-P3391,EVODEX.2.1-P35,EVODEX.2.1-P4,EVODEX.2.1-P41,EVODEX.2.1-P48,EVODEX.2.1-P50,EVODEX.2.1-P6166,EVODEX.2.1-P6167,EVODEX.2.1-P64,EVODEX.2.1-P65,EVODEX.2.1-P66,EVODEX.2.1-P7,EVODEX.2.1-P8,EVODEX.2.1-P88,EVODEX.2.1-P94",107097420777248083802390982694167156687044516505244249913996903386201589571974
EVODEX.2.1-C50,[#6:5]:[#6:6](:[#6:7])-[#1].[#8:14](-[#8]-[#1])-[#1]>>[#6:5]:[#6:6](-[#8:14]-[#1]):[#6:7],"EVODEX.2.1-P198,EVODEX.2.1-P264,EVODEX.2.1-P288,EVODEX.2.1-P290,EVODEX.2.1-P300,EVODEX.2.1-P306,EVODEX.2.1-P311,EVODEX.2.1-P325,EVODEX.2.1-P329,EVODEX.2.1-P334,EVODEX.2.1-P351,EVODEX.2.1-P367,EVODEX.2.1-P398,EVODEX.2.1-P406,EVODEX.2.1-P412,EVODEX.2.1-P434,EVODEX.2.1-P437,EVODEX.2.1-P442,EVODEX.2.1-P521,EVODEX.2.1-P533,EVODEX.2.1-P541,EVODEX.2.1-P544,EVODEX.2.1-P589,EVODEX.2.1-P619,EVODEX.2.1-P655",2452571173109156312953955674049792093255765239777841579033371594365487498375
EVODEX.2.1-C269,[#6:7]-[#6:8](=[#8:9])-[#16:10]-[#6:11].[#6:65]-[#8:66]-[#1]>>[#6:7]-[#6:8](=[#8:9])-[#8:66]-[#6:65].[#16:10](-[#6:11])-[#1],"EVODEX.2.1-P1520,EVODEX.2.1-P1560,EVODEX.2.1-P1561,EVODEX.2.1-P1562,EVODEX.2.1-P1564,EVODEX.2.1-P1578,EVODEX.2.1-P1581,EVODEX.2.1-P1618,EVODEX.2.1-P1624,EVODEX.2.1-P1630,EVODEX.2.1-P1637,EVODEX.2.1-P1639,EVODEX.2.1-P1644,EVODEX.2.1-P1653,EVODEX.2.1-P1654,EVODEX.2.1-P1677,EVODEX.2.1-P1679,EVODEX.2.1-P1681,EVODEX.2.1-P1683,EVODEX.2.1-P1693,EVODEX.2.1-P1721,EVODEX.2.1-P1724,EVODEX.2.1-P1806,EVODEX.2.1-P1824,EVODEX.2.1-P1855",7597368785571762351418189385295788562128969554901677492243341965336682233958
EVODEX.2.1-C16,[#6:13](-[#6@@:12])(=[#8:14])-[#6:15].[#6:28]-[#6:30]1=[#6:31](-[#7:32](-[#6@@:33])-[#6:68](=[#6:69](-[#6:70]-1(-[#1:126])-[#1])-[#1:125])-[#1:124])-[#1:101]>>[#8:14](-[#6@:13](-[#6@@:12])(-[#6:15])-[#1])-[#1].[#6:28]-[#6:30]1:[#6:31](:[#7&+:32](-[#6@@:33]):[#6:68](:[#6:69](:[#6:70]:1-[#1:126])-[#1:125])-[#1:124])-[#1:101],"EVODEX.2.1-P28,EVODEX.2.1-P37,EVODEX.2.1-P42,EVODEX.2.1-P43,EVODEX.2.1-P44,EVODEX.2.1-P45,EVODEX.2.1-P47,EVODEX.2.1-P49,EVODEX.2.1-P51,EVODEX.2.1-P56,EVODEX.2.1-P57,EVODEX.2.1-P63,EVODEX.2.1-P67,EVODEX.2.1-P68,EVODEX.2.1-P69,EVODEX.2.1-P72,EVODEX.2.1-P83,EVODEX.2.1-P84,EVODEX.2.1-P87,EVODEX.2.1-P89,EVODEX.2.1-P90,EVODEX.2.1-P91,EVODEX.2.1-P92",80429054620648050200756962020966432412025172044976179112750670772979418446851
EVODEX.2.1-C282,[#6:7]-[#6:8](=[#8:9])-[#16]-[#6](-[#6](-[#7](-[#6](=[#8])-[#6](-[#6](-[#7](-[#6](=[#8])-[#6@](-[#8]-[#1])(-[#6](-[#6](-[#1])(-[#1])-[#1])(-[#6](-[#1])(-[#1])-[#1])-[#6](-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#6](-[#6@]1(-[#8]-[#6@@](-[#7]2:[#6](:[#7]:[#6]3:[#6](-[#7](-[#1])-[#1]):[#7]:[#6](:[#7]:[#6]:2:3)-[#1])-[#1])(-[#6@](-[#8]-[#1])(-[#6@@]-1(-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#1])-[#1])-[#1])-[#1])-[#1])(-[#1])-[#1])(-[#1])-[#1])-[#1])-[#1])(-[#1])-[#1])(-[#1])-[#1])-[#1])(-[#1])-[#1])(-[#1])-[#1].[#6:70]-[#8:71]-[#1]>>[#6:7]-[#6:8](=[#8:9])-[#8:71]-[#6:70],"EVODEX.2.1-P1552,EVODEX.2.1-P1565,EVODEX.2.1-P1568,EVODEX.2.1-P1569,EVODEX.2.1-P1579,EVODEX.2.1-P1583,EVODEX.2.1-P1595,EVODEX.2.1-P1629,EVODEX.2.1-P1638,EVODEX.2.1-P1640,EVODEX.2.1-P1643,EVODEX.2.1-P1645,EVODEX.2.1-P1648,EVODEX.2.1-P1650,EVODEX.2.1-P1695,EVODEX.2.1-P1697,EVODEX.2.1-P1792,EVODEX.2.1-P1801,EVODEX.2.1-P1816,EVODEX.2.1-P1838",81908667119062781175426979691746161748039663486370363090311493397642526501265
