id,smirks,sources,hash
EVODEX.1-C1,[#6:5]-[#8:6].[H]-[#8:44]>>[#6:5]-[#8:44].[H]-[#8:6],"EVODEX.1-P1486,EVODEX.1-P1490,EVODEX.1-P2094,EVODEX.1-P2099,EVODEX.1-P2236,EVODEX.1-P2251,EVODEX.1-P2256,EVODEX.1-P2260,EVODEX.1-P2262,EVODEX.1-P2272,EVODEX.1-P2275,EVODEX.1-P2288,EVODEX.1-P2302,EVODEX.1-P2354,EVODEX.1-P2356,EVODEX.1-P2358,EVODEX.1-P2360,EVODEX.1-P2368,EVODEX.1-P2373,EVODEX.1-P2374,EVODEX.1-P2375,EVODEX.1-P2386,EVODEX.1-P2387,EVODEX.1-P2388,EVODEX.1-P2397,EVODEX.1-P2402,EVODEX.1-P2405,EVODEX.1-P2407,EVODEX.1-P2423,EVODEX.1-P2424,EVODEX.1-P2425,EVODEX.1-P2426,EVODEX.1-P2435,EVODEX.1-P2436,EVODEX.1-P2437,EVODEX.1-P2439,EVODEX.1-P2443,EVODEX.1-P2448,EVODEX.1-P2453,EVODEX.1-P2455,EVODEX.1-P2483,EVODEX.1-P2549,EVODEX.1-P2551,EVODEX.1-P2555,EVODEX.1-P2593,EVODEX.1-P2607,EVODEX.1-P2608,EVODEX.1-P2620,EVODEX.1-P2652,EVODEX.1-P2655,EVODEX.1-P3613,EVODEX.1-P3674,EVODEX.1-P3686,EVODEX.1-P3849,EVODEX.1-P3851,EVODEX.1-P3888,EVODEX.1-P3892,EVODEX.1-P3902,EVODEX.1-P3904,EVODEX.1-P3923,EVODEX.1-P3924,EVODEX.1-P3945,EVODEX.1-P3949,EVODEX.1-P3951,EVODEX.1-P3953,EVODEX.1-P3954,EVODEX.1-P3993,EVODEX.1-P3999,EVODEX.1-P4017,EVODEX.1-P4025,EVODEX.1-P4065,EVODEX.1-P4066,EVODEX.1-P4079,EVODEX.1-P4081,EVODEX.1-P4084,EVODEX.1-P4086,EVODEX.1-P4087,EVODEX.1-P4095,EVODEX.1-P4097,EVODEX.1-P4099,EVODEX.1-P4101,EVODEX.1-P4103,EVODEX.1-P4105,EVODEX.1-P4110,EVODEX.1-P4112,EVODEX.1-P4117,EVODEX.1-P4126,EVODEX.1-P4127,EVODEX.1-P4128,EVODEX.1-P4131,EVODEX.1-P4134,EVODEX.1-P4177,EVODEX.1-P4178,EVODEX.1-P4182,EVODEX.1-P4198,EVODEX.1-P4200,EVODEX.1-P4201,EVODEX.1-P4203,EVODEX.1-P4212,EVODEX.1-P4216,EVODEX.1-P4224,EVODEX.1-P4226,EVODEX.1-P4229,EVODEX.1-P4255,EVODEX.1-P4259,EVODEX.1-P4260,EVODEX.1-P4268,EVODEX.1-P4272,EVODEX.1-P4275,EVODEX.1-P4278,EVODEX.1-P4280,EVODEX.1-P4287,EVODEX.1-P4289,EVODEX.1-P4326,EVODEX.1-P4328,EVODEX.1-P4335,EVODEX.1-P4342,EVODEX.1-P4383,EVODEX.1-P4397,EVODEX.1-P4400,EVODEX.1-P4414,EVODEX.1-P4416,EVODEX.1-P4418,EVODEX.1-P4424,EVODEX.1-P4446,EVODEX.1-P4467,EVODEX.1-P4469,EVODEX.1-P4479,EVODEX.1-P4486,EVODEX.1-P4501,EVODEX.1-P4503,EVODEX.1-P4530,EVODEX.1-P4531,EVODEX.1-P4540,EVODEX.1-P4542,EVODEX.1-P4912,EVODEX.1-P5133,EVODEX.1-P5199,EVODEX.1-P5214,EVODEX.1-P5228,EVODEX.1-P5495,EVODEX.1-P5674,EVODEX.1-P5984,EVODEX.1-P6020,EVODEX.1-P6022,EVODEX.1-P6024,EVODEX.1-P7560,EVODEX.1-P7563,EVODEX.1-P7565",79535855993873753855197657775813654464204037849183019007156625316218762595977
EVODEX.1-C2,[#6:24]-[#16:26].[H]-[#8:34]>>[#6:24]-[#8:34].[H]-[#16:26],"EVODEX.1-P1228,EVODEX.1-P1246,EVODEX.1-P1294,EVODEX.1-P1308,EVODEX.1-P1415,EVODEX.1-P1431,EVODEX.1-P1436,EVODEX.1-P1438,EVODEX.1-P1439,EVODEX.1-P1440,EVODEX.1-P1441,EVODEX.1-P1443,EVODEX.1-P1445,EVODEX.1-P1450,EVODEX.1-P1455,EVODEX.1-P1465,EVODEX.1-P1466,EVODEX.1-P1469,EVODEX.1-P1500,EVODEX.1-P1527,EVODEX.1-P1567,EVODEX.1-P1602,EVODEX.1-P1605,EVODEX.1-P1607,EVODEX.1-P1610,EVODEX.1-P1620,EVODEX.1-P1625,EVODEX.1-P1630,EVODEX.1-P1631,EVODEX.1-P1638,EVODEX.1-P1662,EVODEX.1-P1678,EVODEX.1-P1680,EVODEX.1-P1682,EVODEX.1-P1685,EVODEX.1-P1700,EVODEX.1-P1728,EVODEX.1-P1729,EVODEX.1-P1803,EVODEX.1-P1830,EVODEX.1-P1831,EVODEX.1-P1834,EVODEX.1-P1856,EVODEX.1-P1873,EVODEX.1-P1912,EVODEX.1-P2042,EVODEX.1-P2063,EVODEX.1-P2624,EVODEX.1-P2629,EVODEX.1-P2636,EVODEX.1-P2650,EVODEX.1-P4088,EVODEX.1-P4160,EVODEX.1-P4163,EVODEX.1-P4165,EVODEX.1-P4169,EVODEX.1-P4356,EVODEX.1-P4357,EVODEX.1-P4361,EVODEX.1-P4363,EVODEX.1-P4367,EVODEX.1-P4548,EVODEX.1-P4549,EVODEX.1-P4973,EVODEX.1-P4975,EVODEX.1-P5181",81582122557947224528069682504971246475590793467560143129841362059792626925428
EVODEX.1-C3,[H]-[#8:5]-[#6:4]-[#6:6]>>[#6:4]=[#8:5].[H]-[#6:6],"EVODEX.1-P1393,EVODEX.1-P6140,EVODEX.1-P6147,EVODEX.1-P6148,EVODEX.1-P6152,EVODEX.1-P6153,EVODEX.1-P6157,EVODEX.1-P6158,EVODEX.1-P6159,EVODEX.1-P6161,EVODEX.1-P6162,EVODEX.1-P6164,EVODEX.1-P6168,EVODEX.1-P6169,EVODEX.1-P6172,EVODEX.1-P6173,EVODEX.1-P6175,EVODEX.1-P6177,EVODEX.1-P6179,EVODEX.1-P6183,EVODEX.1-P6190,EVODEX.1-P6194,EVODEX.1-P6195,EVODEX.1-P6197,EVODEX.1-P6198,EVODEX.1-P6201,EVODEX.1-P6204,EVODEX.1-P6206,EVODEX.1-P6207,EVODEX.1-P6210,EVODEX.1-P6212,EVODEX.1-P6213,EVODEX.1-P6214,EVODEX.1-P6216,EVODEX.1-P6219,EVODEX.1-P6221,EVODEX.1-P6225,EVODEX.1-P6228,EVODEX.1-P6234,EVODEX.1-P6237,EVODEX.1-P6244,EVODEX.1-P6248,EVODEX.1-P6250,EVODEX.1-P6253,EVODEX.1-P6264,EVODEX.1-P6266,EVODEX.1-P6268,EVODEX.1-P6289,EVODEX.1-P6290,EVODEX.1-P6298,EVODEX.1-P6299,EVODEX.1-P6302,EVODEX.1-P6306,EVODEX.1-P6348,EVODEX.1-P6349,EVODEX.1-P6351,EVODEX.1-P6356,EVODEX.1-P6358,EVODEX.1-P6365,EVODEX.1-P6369,EVODEX.1-P6371,EVODEX.1-P6375",94752664180761301346748769349357810245613726220767094541429282970693452042673
EVODEX.1-C4,[H]-[#6:5]>>[H]-[#8]-[#6:5],"EVODEX.1-P125,EVODEX.1-P196,EVODEX.1-P204,EVODEX.1-P266,EVODEX.1-P319,EVODEX.1-P322,EVODEX.1-P332,EVODEX.1-P339,EVODEX.1-P375,EVODEX.1-P389,EVODEX.1-P403,EVODEX.1-P413,EVODEX.1-P431,EVODEX.1-P439,EVODEX.1-P480,EVODEX.1-P520,EVODEX.1-P531,EVODEX.1-P532,EVODEX.1-P534,EVODEX.1-P535,EVODEX.1-P536,EVODEX.1-P538,EVODEX.1-P549,EVODEX.1-P550,EVODEX.1-P553,EVODEX.1-P567,EVODEX.1-P572,EVODEX.1-P577,EVODEX.1-P586,EVODEX.1-P648,EVODEX.1-P654,EVODEX.1-P655,EVODEX.1-P656,EVODEX.1-P658,EVODEX.1-P661,EVODEX.1-P681,EVODEX.1-P683,EVODEX.1-P684,EVODEX.1-P690,EVODEX.1-P698,EVODEX.1-P699,EVODEX.1-P703,EVODEX.1-P746,EVODEX.1-P758,EVODEX.1-P780",7658333238762516303174654350227624128909948153438109058009281243437025827003
EVODEX.1-C5,[H]-[#8]-[#6@]1(-[H])-[#6@](-[H])(-[#8]-[#15](=[#8])(-[#8]-[H])-[#8]-[H])-[#6@@](-[H])(-[#6](-[H])(-[H])-[#8]-[#15](=[#8])(-[#8]-[H])-[#8]-[#15](=[#8])(-[#8]-[H])-[#8]-[#6](-[H])(-[H])-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[H])(-[H])-[H])-[#6@@](-[H])(-[#8]-[H])-[#6](=[#8])-[#7](-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](=[#8])-[#7](-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#16]-[#6:49])-[#8]-[#6@@]-1(-[H])-[#7]1:[#6](-[H]):[#7]:[#6]2:[#6](-[#7](-[H])-[H]):[#7]:[#6](-[H]):[#7]:[#6]:1:2.[H]-[#8:61]>>[#6:49]-[#8:61],"EVODEX.1-P1430,EVODEX.1-P1434,EVODEX.1-P1437,EVODEX.1-P1442,EVODEX.1-P1444,EVODEX.1-P1446,EVODEX.1-P1449,EVODEX.1-P1451,EVODEX.1-P1467,EVODEX.1-P1470,EVODEX.1-P1512,EVODEX.1-P1515,EVODEX.1-P1528,EVODEX.1-P1598,EVODEX.1-P1599,EVODEX.1-P1603,EVODEX.1-P1621,EVODEX.1-P1627,EVODEX.1-P1632,EVODEX.1-P1635,EVODEX.1-P1639,EVODEX.1-P1641,EVODEX.1-P1663,EVODEX.1-P1667,EVODEX.1-P1670,EVODEX.1-P1679,EVODEX.1-P1686,EVODEX.1-P1718,EVODEX.1-P1804,EVODEX.1-P1832,EVODEX.1-P1835,EVODEX.1-P1911,EVODEX.1-P1913,EVODEX.1-P1915,EVODEX.1-P1918,EVODEX.1-P1938,EVODEX.1-P1942,EVODEX.1-P4156,EVODEX.1-P4158,EVODEX.1-P4159,EVODEX.1-P4162,EVODEX.1-P4166",96867287039827882315235583109764886930173040355578584073207674304489166436266
EVODEX.1-C6,[H]-[#16:48].[#6:51]-[#8:53]>>[#16:48]-[#6:51].[H]-[#8:53],"EVODEX.1-P1413,EVODEX.1-P1471,EVODEX.1-P1472,EVODEX.1-P1481,EVODEX.1-P1513,EVODEX.1-P1517,EVODEX.1-P1529,EVODEX.1-P1629,EVODEX.1-P1688,EVODEX.1-P1806,EVODEX.1-P2062,EVODEX.1-P2621,EVODEX.1-P2633,EVODEX.1-P2642,EVODEX.1-P2648,EVODEX.1-P2659,EVODEX.1-P2662,EVODEX.1-P2667,EVODEX.1-P2678,EVODEX.1-P2692,EVODEX.1-P2694,EVODEX.1-P2696,EVODEX.1-P2700,EVODEX.1-P2701,EVODEX.1-P2703,EVODEX.1-P2711,EVODEX.1-P2714,EVODEX.1-P2716,EVODEX.1-P2718,EVODEX.1-P2719,EVODEX.1-P2723,EVODEX.1-P2734,EVODEX.1-P2736,EVODEX.1-P2739,EVODEX.1-P2742,EVODEX.1-P2745,EVODEX.1-P2747,EVODEX.1-P2749,EVODEX.1-P2751,EVODEX.1-P2757,EVODEX.1-P6776",95059962771260695119767724070911962902530312848691638716388356657072528296489
EVODEX.1-C7,[#6:3]-[#8:4]>>[H]-[#8]-[#6:3].[H]-[#8:4],"EVODEX.1-P3870,EVODEX.1-P3876,EVODEX.1-P3899,EVODEX.1-P3903,EVODEX.1-P3913,EVODEX.1-P3914,EVODEX.1-P3916,EVODEX.1-P3922,EVODEX.1-P3926,EVODEX.1-P3990,EVODEX.1-P3992,EVODEX.1-P4004,EVODEX.1-P4033,EVODEX.1-P4057,EVODEX.1-P4092,EVODEX.1-P4096,EVODEX.1-P4104,EVODEX.1-P4108,EVODEX.1-P4116,EVODEX.1-P4121,EVODEX.1-P4174,EVODEX.1-P4186,EVODEX.1-P4199,EVODEX.1-P4202,EVODEX.1-P4211,EVODEX.1-P4234,EVODEX.1-P4277,EVODEX.1-P4282,EVODEX.1-P4290,EVODEX.1-P4294,EVODEX.1-P4296,EVODEX.1-P4369,EVODEX.1-P4428,EVODEX.1-P4440,EVODEX.1-P4442,EVODEX.1-P4883,EVODEX.1-P5139,EVODEX.1-P5645,EVODEX.1-P5987,EVODEX.1-P6023,EVODEX.1-P6025",31947107034880472820539758086674878441860977210822288451672896027079454440585
EVODEX.1-C8,[H]-[#6:1].[#6:12]=[#8:13]>>[H]-[#8:13]-[#6:12]-[#6:1],"EVODEX.1-P5292,EVODEX.1-P5294,EVODEX.1-P5295,EVODEX.1-P5296,EVODEX.1-P5299,EVODEX.1-P6141,EVODEX.1-P6186,EVODEX.1-P6188,EVODEX.1-P6191,EVODEX.1-P6193,EVODEX.1-P6215,EVODEX.1-P6217,EVODEX.1-P6218,EVODEX.1-P6220,EVODEX.1-P6223,EVODEX.1-P6224,EVODEX.1-P6230,EVODEX.1-P6232,EVODEX.1-P6236,EVODEX.1-P6240,EVODEX.1-P6242,EVODEX.1-P6243,EVODEX.1-P6245,EVODEX.1-P6251,EVODEX.1-P6255,EVODEX.1-P6257,EVODEX.1-P6277,EVODEX.1-P6286,EVODEX.1-P6287,EVODEX.1-P6288,EVODEX.1-P6291,EVODEX.1-P6296,EVODEX.1-P6300,EVODEX.1-P6304,EVODEX.1-P6307,EVODEX.1-P6350,EVODEX.1-P6352,EVODEX.1-P6364,EVODEX.1-P6366,EVODEX.1-P6374",68036330113050623325496232606541357053221093526423755254613524811111330047048
EVODEX.1-C9,[#8:49]=[#6:50]>>[H]-[#8:49]-[#6:50]-[H],"EVODEX.1-P1191,EVODEX.1-P1192,EVODEX.1-P1193,EVODEX.1-P1194,EVODEX.1-P1195,EVODEX.1-P1196,EVODEX.1-P1197,EVODEX.1-P1198,EVODEX.1-P12,EVODEX.1-P13,EVODEX.1-P14,EVODEX.1-P153,EVODEX.1-P154,EVODEX.1-P155,EVODEX.1-P157,EVODEX.1-P16,EVODEX.1-P161,EVODEX.1-P176,EVODEX.1-P18,EVODEX.1-P19,EVODEX.1-P20,EVODEX.1-P23,EVODEX.1-P27,EVODEX.1-P30,EVODEX.1-P31,EVODEX.1-P36,EVODEX.1-P46,EVODEX.1-P48,EVODEX.1-P50,EVODEX.1-P61,EVODEX.1-P64,EVODEX.1-P67,EVODEX.1-P76,EVODEX.1-P809,EVODEX.1-P87,EVODEX.1-P88,EVODEX.1-P92,EVODEX.1-P94",69687195336298816716417201063201664859251112137279592445374552918464199608476
EVODEX.1-C10,[#6:2]-[#8:4].[H]-[#7:19]>>[#6:2]-[#7:19].[H]-[#8:4],"EVODEX.1-P1346,EVODEX.1-P1354,EVODEX.1-P1357,EVODEX.1-P2561,EVODEX.1-P2578,EVODEX.1-P2580,EVODEX.1-P2595,EVODEX.1-P2596,EVODEX.1-P4061,EVODEX.1-P4704,EVODEX.1-P4724,EVODEX.1-P5024,EVODEX.1-P5025,EVODEX.1-P5029,EVODEX.1-P5076,EVODEX.1-P5083,EVODEX.1-P5084,EVODEX.1-P5095,EVODEX.1-P5098,EVODEX.1-P5103,EVODEX.1-P5104,EVODEX.1-P5107,EVODEX.1-P5110,EVODEX.1-P5112,EVODEX.1-P5113,EVODEX.1-P5211,EVODEX.1-P5215,EVODEX.1-P5469,EVODEX.1-P5484,EVODEX.1-P5572,EVODEX.1-P5597,EVODEX.1-P5608,EVODEX.1-P5625,EVODEX.1-P5687,EVODEX.1-P5689,EVODEX.1-P5694,EVODEX.1-P5789,EVODEX.1-P5791",9502847334018884410427900876213425293223052523111802152977009596768269612973
