id,smirks,sources,hash
EVODEX.2.1-D17,[#6:11]-[#6@@:12](-[#8:13]-[#1])(-[#6:14]=[#8:15])-[#1]>>[#6:11]-[#6:12](=[#8:13])-[#6:14]=[#8:15],"EVODEX.2.1-P103,EVODEX.2.1-P110,EVODEX.2.1-P111,EVODEX.2.1-P26,EVODEX.2.1-P35,EVODEX.2.1-P41,EVODEX.2.1-P48,EVODEX.2.1-P6166,EVODEX.2.1-P6167,EVODEX.2.1-P6170,EVODEX.2.1-P6171,EVODEX.2.1-P64,EVODEX.2.1-P88",112218665344509494202234454742471233305693048998144974378558751592745415985666
EVODEX.2.1-D61,[#6:4]1:[#6:5]:[#6:6](:[#6:7]:[#6:9]:[#6:10]:1)-[#1].[#8:14](-[#8]-[#1])-[#1]>>[#6:4]1:[#6:5]:[#6:6](-[#8:14]-[#1]):[#6:7]:[#6:9]:[#6:10]:1,"EVODEX.2.1-P198,EVODEX.2.1-P434,EVODEX.2.1-P437,EVODEX.2.1-P442,EVODEX.2.1-P521,EVODEX.2.1-P533,EVODEX.2.1-P541,EVODEX.2.1-P544,EVODEX.2.1-P589,EVODEX.2.1-P655",608485901912217386842504566599679082362946424763818152526931320046499788146
EVODEX.2.1-D62,[#6:2]1:[#6:3]:[#6:4](:[#6:5]:[#6:7]:[#6:8]:1)-[#1]>>[#6:2]1:[#6:3]:[#6:4](-[#8]-[#1]):[#6:5]:[#6:7]:[#6:8]:1,"EVODEX.2.1-P199,EVODEX.2.1-P200,EVODEX.2.1-P433,EVODEX.2.1-P440,EVODEX.2.1-P520,EVODEX.2.1-P531,EVODEX.2.1-P539,EVODEX.2.1-P540,EVODEX.2.1-P547,EVODEX.2.1-P553",59671277867476234005174295363294320778542639911593696806006986429442688387001
EVODEX.2.1-D80,[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#1:37])-[#1].[#8:22]=[#8:23]>>[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#8:22]-[#1])-[#1:37].[#8]=[#6](-[#8]-[#1])-[#6](-[#6](-[#6](=[#8])-[#8:23]-[#1])(-[#1])-[#1])(-[#1])-[#1],"EVODEX.2.1-P256,EVODEX.2.1-P263,EVODEX.2.1-P287,EVODEX.2.1-P299,EVODEX.2.1-P305,EVODEX.2.1-P308,EVODEX.2.1-P310,EVODEX.2.1-P341,EVODEX.2.1-P348,EVODEX.2.1-P350",4309724846709887237166532358457182988611457903416344002379632802841207999326
EVODEX.2.1-D81,[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#1:37])-[#1].[#6:16]-[#6:17](=[#8:18])-[#6:19](=[#8:20])-[#8:21]-[#1]>>[#6:19](=[#8:20])=[#8:21].[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#8]-[#1])-[#1:37].[#6:16]-[#6:17](=[#8:18])-[#8]-[#1],"EVODEX.2.1-P257,EVODEX.2.1-P278,EVODEX.2.1-P283,EVODEX.2.1-P291,EVODEX.2.1-P316,EVODEX.2.1-P323,EVODEX.2.1-P336,EVODEX.2.1-P342,EVODEX.2.1-P344,EVODEX.2.1-P421",56481491646687217672826729327789854262818552744481912807122151020011184122695
EVODEX.2.1-D82,[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#1:37])-[#1].[#8]=[#6](-[#8]-[#1])-[#6](-[#6](-[#6](=[#8])-[#6:19](=[#8:20])-[#8:21]-[#1])(-[#1])-[#1])(-[#1])-[#1]>>[#6:19](=[#8:20])=[#8:21].[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#8]-[#1])-[#1:37],"EVODEX.2.1-P258,EVODEX.2.1-P280,EVODEX.2.1-P285,EVODEX.2.1-P293,EVODEX.2.1-P298,EVODEX.2.1-P309,EVODEX.2.1-P324,EVODEX.2.1-P328,EVODEX.2.1-P331,EVODEX.2.1-P333",24930936578291776483996494422122560705953768942345596112960570201222150913654
EVODEX.2.1-D83,[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#1:37])-[#1]>>[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#8]-[#1])-[#1:37],"EVODEX.2.1-P2526,EVODEX.2.1-P259,EVODEX.2.1-P265,EVODEX.2.1-P304,EVODEX.2.1-P312,EVODEX.2.1-P318,EVODEX.2.1-P326,EVODEX.2.1-P330,EVODEX.2.1-P337,EVODEX.2.1-P3377",98905048646972025792692881467811728119084486716967554295025655574383653644542
EVODEX.2.1-D84,[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#1:37])-[#1].[#6:16]-[#6:17](=[#8:18])-[#6](=[#8])-[#8]-[#1]>>[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#8]-[#1])-[#1:37].[#6:16]-[#6:17](=[#8:18])-[#8]-[#1],"EVODEX.2.1-P260,EVODEX.2.1-P281,EVODEX.2.1-P286,EVODEX.2.1-P303,EVODEX.2.1-P313,EVODEX.2.1-P317,EVODEX.2.1-P332,EVODEX.2.1-P339,EVODEX.2.1-P345,EVODEX.2.1-P422",26619834031782715977674280169873876266399808229876561839571221804262851354585
EVODEX.2.1-D85,[#6:8](-[#6@@:6])(-[#6:9]=[#8:10])(-[#1:37])-[#1].[#6:16]-[#6:17](=[#8:18])-[#6:19](=[#8:20])-[#8:21]-[#1].[#8:22]=[#8:23]>>[#6:19](=[#8:20])=[#8:21].[#6:8](-[#6@@:6])(-[#6:9]=[#8:10])(-[#8:22]-[#1])-[#1:37].[#6:16]-[#6:17](=[#8:18])-[#8:23]-[#1],"EVODEX.2.1-P261,EVODEX.2.1-P282,EVODEX.2.1-P289,EVODEX.2.1-P294,EVODEX.2.1-P301,EVODEX.2.1-P314,EVODEX.2.1-P319,EVODEX.2.1-P327,EVODEX.2.1-P340,EVODEX.2.1-P346",53413498897443896738897592233029831877410895232469099299620299037747069474057
EVODEX.2.1-D86,[#6:8](-[#6@@:6])(-[#6:9]=[#8:10])(-[#1:37])-[#1].[#6:16]-[#6:17](=[#8:18])-[#6](=[#8])-[#8]-[#1].[#8:22]=[#8:23]>>[#6:8](-[#6@@:6])(-[#6:9]=[#8:10])(-[#8:22]-[#1])-[#1:37].[#6:16]-[#6:17](=[#8:18])-[#8:23]-[#1],"EVODEX.2.1-P262,EVODEX.2.1-P279,EVODEX.2.1-P284,EVODEX.2.1-P292,EVODEX.2.1-P297,EVODEX.2.1-P315,EVODEX.2.1-P321,EVODEX.2.1-P322,EVODEX.2.1-P335,EVODEX.2.1-P347",49754457667071599089505015299381693783933626482211891812643031742525305193651
