id,smirks,sources
EVODEX.2-D1,[#6:2](=[#8:3])-[#6:4](-[#8:5]-[#1])(-[#1:53])-[#1]>>[#6:2](=[#8:3])-[#6:4](=[#8:5])-[#1:53],"EVODEX.2-P1,EVODEX.2-P137,EVODEX.2-P36,EVODEX.2-P38,EVODEX.2-P40"
EVODEX.2-D10,[#8:49]=[#6:50](-[#8:51])-[#6@:59]>>[#8:49](-[#6:50](-[#8:51])(-[#6@:59])-[#1])-[#1],"EVODEX.2-P111,EVODEX.2-P19,EVODEX.2-P202,EVODEX.2-P868,EVODEX.2-P95"
EVODEX.2-D100,[#6]-[#6](-[#16:5](=[#8:6])(=[#8:7])-[#8:8])(-[#1])-[#1]>>[#16:5](-[#8:6]-[#1])(=[#8:7])-[#8:8],"EVODEX.2-P347,EVODEX.2-P348,EVODEX.2-P350,EVODEX.2-P5801,EVODEX.2-P5811"
EVODEX.2-D1004,[#6]1:[#6]:[#6](=[#8]):[#8]:[#6]2:[#6]:[#6]:[#6](-[#7](-[#6:15](=[#8:16])-[#6@@:17])-[#1]):[#6]:[#6]:1:2>>[#6:15](=[#8:16])(-[#6@@:17])-[#8]-[#1],"EVODEX.2-P4597,EVODEX.2-P4604,EVODEX.2-P4606,EVODEX.2-P4718,EVODEX.2-P4746"
EVODEX.2-D1006,[#6:44]-[#7:45](-[#6](=[#7])-[#7])-[#1]>>[#6:44]-[#7:45](-[#1])-[#1],"EVODEX.2-P4609,EVODEX.2-P4683,EVODEX.2-P4742,EVODEX.2-P4781,EVODEX.2-P5284"
EVODEX.2-D1016,[#6:2]1:[#6:3]:[#6:4](=[#8:5]):[#8:6]:[#6:7]2:[#6:8]:[#6:9](-[#7:10](-[#1])-[#1]):[#6:11]:[#6:12]:[#6:13]:1:2>>[#6:2]1:[#6:3]:[#6:4](=[#8:5]):[#8:6]:[#6:7]2:[#6:8]:[#6:9](-[#7:10](-[#6](-[#6@])=[#8])-[#1]):[#6:11]:[#6:12]:[#6:13]:1:2,"EVODEX.2-P4641,EVODEX.2-P4907"
EVODEX.2-D1020,[#6:38](=[#8:39])-[#8:40]-[#1]>>[#6](-[#6@@])(=[#8])-[#8:40]-[#6:38]=[#8:39],"EVODEX.2-P4667,EVODEX.2-P6164,EVODEX.2-P6197"
EVODEX.2-D1026,[#6:22](-[#6@@:14])(=[#8:23])-[#7](-[#6]1:[#6]:[#6]:[#6]2:[#6](-[#16](=[#8])=[#8]):[#6]:[#6]:[#6]:[#6]:2:[#6]:1)-[#1]>>[#6:22](-[#6@@:14])(=[#8:23])-[#8]-[#1],"EVODEX.2-P4695,EVODEX.2-P4701,EVODEX.2-P4704,EVODEX.2-P4711,EVODEX.2-P4714"
EVODEX.2-D1028,[#16:6](=[#8:7])(=[#8:8])-[#6:9]1:[#6:10]:[#6:11]:[#6:12]:[#6:13]2:[#6:14]:[#6:15](-[#7:16](-[#6](=[#8])-[#6@])-[#1]):[#6:42]:[#6:43]:[#6:44]:1:2>>[#16:6](=[#8:7])(=[#8:8])-[#6:9]1:[#6:10]:[#6:11]:[#6:12]:[#6:13]2:[#6:14]:[#6:15](-[#7:16](-[#1])-[#1]):[#6:42]:[#6:43]:[#6:44]:1:2,"EVODEX.2-P4706,EVODEX.2-P4709,EVODEX.2-P4712,EVODEX.2-P4715,EVODEX.2-P4717"
EVODEX.2-D1031,[#7:27]-[#6:28](-[#6:29])(-[#6:36](=[#8:37])-[#7](-[#6])-[#1])-[#1:115]>>[#7:27]-[#6@@:28](-[#6:29])(-[#6:36](=[#8:37])-[#8]-[#1])-[#1:115],"EVODEX.2-P4751,EVODEX.2-P4753,EVODEX.2-P4771,EVODEX.2-P4773,EVODEX.2-P4775"
EVODEX.2-D1033,[#7:1](-[#1])(-[#1])-[#1]>>[#7:1](-[#6](-[#6@])=[#8])(-[#1])-[#1],"EVODEX.2-P4760,EVODEX.2-P4928,EVODEX.2-P5018,EVODEX.2-P5023,EVODEX.2-P6074"
EVODEX.2-D1034,[#8:2]=[#6:3](-[#8]-[#1])-[#6:5]>>[#7](-[#6:3](=[#8:2])-[#6:5])(-[#1])-[#1],"EVODEX.2-P4762,EVODEX.2-P4802,EVODEX.2-P4996,EVODEX.2-P5010,EVODEX.2-P5022"
