id,smirks,sources,hash
EVODEX.2-Dm33,[#6]-[#6](=[#8])-[#6:4](-[#6:5]=[#8:6])(-[#1:106])-[#1:107]>>[#6:4](-[#6:5]=[#8:6])(-[#1:106])(-[#1:107])-[#1],"EVODEX.2-P1992,EVODEX.2-P2214,EVODEX.2-P2225,EVODEX.2-P2228,EVODEX.2-P5330,EVODEX.2-P5334,EVODEX.2-P5340,EVODEX.2-P5342,EVODEX.2-P5521,EVODEX.2-P5522,EVODEX.2-P5524,EVODEX.2-P5525,EVODEX.2-P5526,EVODEX.2-P5527,EVODEX.2-P84",3356352975948808032408299642247008839705886546551222665283379633686350710873
EVODEX.2-Dm431,[#6:65]-[#8:66]-[#1]>>[#6]1:[#6]:[#6](/[#6]=[#6]/[#6](=[#8])-[#8:66]-[#6:65]):[#6]:[#6]:[#6]:1,"EVODEX.2-P1910,EVODEX.2-P1950,EVODEX.2-P1957,EVODEX.2-P1961,EVODEX.2-P1976,EVODEX.2-P1980,EVODEX.2-P2039,EVODEX.2-P2040,EVODEX.2-P2082,EVODEX.2-P2089,EVODEX.2-P2230,EVODEX.2-P2231,EVODEX.2-P3750,EVODEX.2-P3751,EVODEX.2-P3753",92362528630505666983319348614663254625177654391881372735312903133796928681751
EVODEX.2-Dm16,[#6:11]-[#6@@:12](-[#8:13]-[#1])(-[#6:14]=[#8:15])-[#1]>>[#6:11]-[#6:12](=[#8:13])-[#6:14]=[#8:15],"EVODEX.2-P105,EVODEX.2-P112,EVODEX.2-P113,EVODEX.2-P26,EVODEX.2-P35,EVODEX.2-P41,EVODEX.2-P48,EVODEX.2-P5741,EVODEX.2-P5742,EVODEX.2-P5747,EVODEX.2-P5748,EVODEX.2-P64,EVODEX.2-P90",112218665344509494202234454742471233305693048998144974378558751592745415985666
EVODEX.2-Dm69,[#6:4]1:[#6:5]:[#6:6](:[#6:7]:[#6:9]:[#6:10]:1)-[#1].[#8:14](-[#8]-[#1])-[#1]>>[#6:4]1:[#6:5]:[#6:6](-[#8:14]-[#1]):[#6:7]:[#6:9]:[#6:10]:1,"EVODEX.2-P214,EVODEX.2-P503,EVODEX.2-P506,EVODEX.2-P511,EVODEX.2-P616,EVODEX.2-P629,EVODEX.2-P639,EVODEX.2-P643,EVODEX.2-P696,EVODEX.2-P765",608485901912217386842504566599679082362946424763818152526931320046499788146
EVODEX.2-Dm70,[#6:2]1:[#6:3]:[#6:4](:[#6:5]:[#6:7]:[#6:8]:1)-[#1]>>[#6:2]1:[#6:3]:[#6:4](-[#8]-[#1]):[#6:5]:[#6:7]:[#6:8]:1,"EVODEX.2-P215,EVODEX.2-P217,EVODEX.2-P502,EVODEX.2-P509,EVODEX.2-P615,EVODEX.2-P627,EVODEX.2-P637,EVODEX.2-P638,EVODEX.2-P646,EVODEX.2-P652",59671277867476234005174295363294320778542639911593696806006986429442688387001
EVODEX.2-Dm93,[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#1:37])-[#1].[#8:22]=[#8:23]>>[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#8:22]-[#1])-[#1:37].[#6]-[#6](=[#8])-[#8:23]-[#1],"EVODEX.2-P297,EVODEX.2-P304,EVODEX.2-P343,EVODEX.2-P355,EVODEX.2-P361,EVODEX.2-P364,EVODEX.2-P366,EVODEX.2-P397,EVODEX.2-P404,EVODEX.2-P406",108784828260768960184071646905406011349308841732741256409565586335616447539259
EVODEX.2-Dm94,[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#1:37])-[#1].[#6:16]-[#6:17](=[#8:18])-[#6:19](=[#8:20])-[#8:21]-[#1]>>[#6:19](=[#8:20])=[#8:21].[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#8]-[#1])-[#1:37].[#6:16]-[#6:17](=[#8:18])-[#8]-[#1],"EVODEX.2-P298,EVODEX.2-P334,EVODEX.2-P339,EVODEX.2-P347,EVODEX.2-P372,EVODEX.2-P379,EVODEX.2-P392,EVODEX.2-P398,EVODEX.2-P400,EVODEX.2-P483",56481491646687217672826729327789854262818552744481912807122151020011184122695
EVODEX.2-Dm95,[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#1:37])-[#1].[#6]-[#6](=[#8])-[#6:19](=[#8:20])-[#8:21]-[#1]>>[#6:19](=[#8:20])=[#8:21].[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#8]-[#1])-[#1:37],"EVODEX.2-P299,EVODEX.2-P336,EVODEX.2-P341,EVODEX.2-P349,EVODEX.2-P354,EVODEX.2-P365,EVODEX.2-P380,EVODEX.2-P384,EVODEX.2-P387,EVODEX.2-P389",37059133822954503409967877780217034675339858695654471604130719383150297633669
EVODEX.2-Dm96,[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#1:37])-[#1]>>[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#8]-[#1])-[#1:37],"EVODEX.2-P300,EVODEX.2-P3002,EVODEX.2-P306,EVODEX.2-P3506,EVODEX.2-P360,EVODEX.2-P368,EVODEX.2-P374,EVODEX.2-P382,EVODEX.2-P386,EVODEX.2-P393",98905048646972025792692881467811728119084486716967554295025655574383653644542
EVODEX.2-Dm97,[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#1:37])-[#1].[#6:16]-[#6:17](=[#8:18])-[#6](=[#8])-[#8]>>[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#8]-[#1])-[#1:37].[#6:16]-[#6:17](=[#8:18])-[#8]-[#1],"EVODEX.2-P301,EVODEX.2-P337,EVODEX.2-P342,EVODEX.2-P359,EVODEX.2-P369,EVODEX.2-P373,EVODEX.2-P388,EVODEX.2-P395,EVODEX.2-P401,EVODEX.2-P484",26619834031782715977674280169873876266399808229876561839571221804262851354585
EVODEX.2-Dm98,[#6:8](-[#6@@:6])(-[#6:9]=[#8:10])(-[#1:37])-[#1].[#6:16]-[#6:17](=[#8:18])-[#6:19](=[#8:20])-[#8:21]-[#1].[#8:22]=[#8:23]>>[#6:19](=[#8:20])=[#8:21].[#6:8](-[#6@@:6])(-[#6:9]=[#8:10])(-[#8:22]-[#1])-[#1:37].[#6:16]-[#6:17](=[#8:18])-[#8:23]-[#1],"EVODEX.2-P302,EVODEX.2-P338,EVODEX.2-P345,EVODEX.2-P350,EVODEX.2-P357,EVODEX.2-P370,EVODEX.2-P375,EVODEX.2-P383,EVODEX.2-P396,EVODEX.2-P402",53413498897443896738897592233029831877410895232469099299620299037747069474057
