id,smirks,sources
EVODEX.2-E1,[#8:1](-[#1])-[#1].([#8:10]-[#6@@:9](-[#6@:8])(-[#6@@:11](-[#8:12])(-[#6@:13](-[#8:14]-[#6:15])(-[#8:23])-[#1:45])-[#1:43])-[#1:41].[#8:30]-[#6@:29](-[#6@:27])(-[#6@@:31])-[#1:61])>>[#8:14](-[#6:15])-[#1].([#8:1](-[#6@@:13](-[#6@:11](-[#8:12])(-[#6@@:9](-[#8:10])(-[#6@:8])-[#1:41])-[#1:43])(-[#8:23])-[#1:45])-[#1].[#8:30]-[#6@@:29](-[#6@@:31])(-[#6@:27])-[#1:61]),"EVODEX.2-P4117,EVODEX.2-P4163,EVODEX.2-P4209,EVODEX.2-P4288,EVODEX.2-P4065"
EVODEX.2-E2,[#8:1](-[#1])-[#1].([#8:10]-[#6@:11](-[#8:12]-[#6@:13])(-[#6@:24]-[#6@@:26](-[#8:27])(-[#6@@:28])-[#1:71])-[#1:57].[#8:44]-[#6@:43](-[#6@:41])(-[#6@@:45])-[#1:87])>>[#8:12](-[#6@:13])-[#1].([#8:1](-[#6@@:11](-[#8:10])(-[#6@:24]-[#6@:26](-[#6@@:28])(-[#8:27])-[#1:71])-[#1:57])-[#1].[#8:44]-[#6@@:43](-[#6@@:45])(-[#6@:41])-[#1:87]),"EVODEX.2-P4151,EVODEX.2-P4268,EVODEX.2-P4153,EVODEX.2-P4132,EVODEX.2-P4319"
EVODEX.2-E3,[#6:6]-[#8:7]-[#1].([#7:11]-[#6:12]1:[#7:13]:[#6:14](:[#7:15]:[#6:16]2:[#6:17]:1:[#7:18]:[#6:19](:[#7:20]:2-[#6@@:21])-[#1:55])-[#1:54].[#8:25]-[#15:26](=[#8:27])(-[#8:28])-[#8:29]-[#15:30](=[#8:31])(-[#8:32])-[#8:33])>>([#6:6]-[#8:7]-[#15:26](-[#8:25])(=[#8:27])-[#8:28].[#7:20]1(-[#6@@:21]):[#6:16]2:[#7:15]:[#6:14](:[#7:13]:[#6:12](-[#7:11]):[#6:17]:2:[#7:18]:[#6:19]:1-[#1:55])-[#1:54]).[#8:29](-[#15:30](=[#8:31])(-[#8:32])-[#8:33])-[#1],"EVODEX.2-P3445,EVODEX.2-P3443,EVODEX.2-P3438,EVODEX.2-P3433,EVODEX.2-P3372"
EVODEX.2-E4,[#6:7]-[#6:8](=[#8:9])-[#8:10]-[#1].([#7:11]-[#6:12]1:[#7:13]:[#6:14](:[#7:15]:[#6:16]2:[#6:17]:1:[#7:18]:[#6:19](:[#7:20]:2-[#6@@:21])-[#1:61])-[#1:60].[#8:25]-[#15:26](=[#8:27])(-[#8:28])-[#8:29]-[#15:30](=[#8:31])(-[#8:32])-[#8:33])>>([#6:7]-[#6:8](=[#8:9])-[#8:10]-[#15:26](-[#8:25])(=[#8:27])-[#8:28].[#7:20]1(-[#6@@:21]):[#6:16]2:[#7:15]:[#6:14](:[#7:13]:[#6:12](-[#7:11]):[#6:17]:2:[#7:18]:[#6:19]:1-[#1:61])-[#1:60]).[#8:29](-[#15:30](=[#8:31])(-[#8:32])-[#8:33])-[#1],"EVODEX.2-P314,EVODEX.2-P313,EVODEX.2-P6078,EVODEX.2-P6030,EVODEX.2-P6038"
EVODEX.2-E5,([#7:17]-[#6:18]1:[#6:19](:[#6:20](:[#7:21](-[#6@@:22]):[#6:43](=[#8:44]):[#7:45]:1)-[#1:49])-[#1:48].[#8:26]-[#15:27](=[#8:28])(-[#8:29])-[#8:30]-[#15:31](=[#8:32])(-[#8:33])-[#8:34]).[#8:8](-[#6@@:7])-[#1]>>([#8:8](-[#6@@:7])-[#15:27](-[#8:26])(=[#8:28])-[#8:29].[#7:21]1(-[#6@@:22]):[#6:20](:[#6:19](:[#6:18](-[#7:17]):[#7:45]:[#6:43]:1=[#8:44])-[#1:48])-[#1:49]).[#8:30](-[#15:31](=[#8:32])(-[#8:33])-[#8:34])-[#1],"EVODEX.2-P3465,EVODEX.2-P3429,EVODEX.2-P3426,EVODEX.2-P3428,EVODEX.2-P3424"
EVODEX.2-E6,([#7:6](-[#6@:5])(-[#6:7](=[#8:8])-[#6@:9])-[#1].[#6:40](-[#6@@:32])(=[#8:41])-[#7:42](-[#6@@:43])-[#1]).[#8:59](-[#1])-[#1].[#8:60](-[#1])-[#1]>>[#6:7](=[#8:8])(-[#6@:9])-[#8:59]-[#1].([#7:6](-[#6@:5])(-[#1])-[#1].[#6:40](-[#6@@:32])(=[#8:41])-[#8:60]-[#1]).[#7:42](-[#6@@:43])(-[#1])-[#1],"EVODEX.2-P4865,EVODEX.2-P4847,EVODEX.2-P4841,EVODEX.2-P4470,EVODEX.2-P4844"
EVODEX.2-E7,([#7:41]-[#6:42]1:[#7:43]:[#6:44](:[#7:45]:[#6:46]2:[#6:47]:1:[#7:48]:[#6:49](:[#7:50]:2-[#6@@:51])-[#1:75])-[#1:74].[#8:59]-[#15:60](=[#8:61])(-[#8:62])-[#8:63]-[#15:64](=[#8:65])(-[#8:66])-[#8:67]).([#6:19]-[#6@:20](-[#7:21])(-[#6:38](=[#8:39])-[#8:40])-[#1:98].[#6:31]-[#6:32](=[#8:33])-[#8:34]-[#1]).[#7:9](-[#6@:8])(-[#1])-[#1]>>([#7:9](-[#6@:8])(-[#6:32](-[#6:31])=[#8:33])-[#1].[#7:21]-[#6@@:20](-[#6:19])(-[#6:38](=[#8:39])-[#8:40])-[#1:98]).([#8:34](-[#15:60](-[#8:59])(=[#8:61])-[#8:62])-[#1].[#7:50]1(-[#6@@:51]):[#6:46]2:[#7:45]:[#6:44](:[#7:43]:[#6:42](-[#7:41]):[#6:47]:2:[#7:48]:[#6:49]:1-[#1:75])-[#1:74]).[#8:63](-[#15:64](=[#8:65])(-[#8:66])-[#8:67])-[#1],"EVODEX.2-P6212,EVODEX.2-P6229,EVODEX.2-P6092,EVODEX.2-P6236,EVODEX.2-P6260"
EVODEX.2-E8,[#8:4]=[#6:5](-[#6:6])-[#1:12]>>[#6](-[#6](=[#8])-[#1])(-[#6@:5](-[#8:4]-[#1])(-[#6:6])-[#1:12])(-[#1])-[#1],"EVODEX.2-P5591,EVODEX.2-P5587,EVODEX.2-P5595,EVODEX.2-P5593,EVODEX.2-P5588"
EVODEX.2-E9,[#8:14]-[#6@:13](-[#6@:11])(-[#6:15])-[#1:24]>>[#8:14]-[#6@@:13](-[#6@:11])(-[#6:15])-[#1:24],"EVODEX.2-P2501,EVODEX.2-P4229,EVODEX.2-P5838,EVODEX.2-P4110,EVODEX.2-P33"
EVODEX.2-E10,[#8:1](/[#7:2]=[#6:3](/[#6:4])-[#1])-[#1]>>[#7:2]#[#6:3]-[#6:4].[#8:1](-[#1])-[#1],"EVODEX.2-P5814,EVODEX.2-P5816,EVODEX.2-P5819,EVODEX.2-P5822,EVODEX.2-P626"
