id,original_id,smirks,sources
EVODEX.1-E1,31689368120759156399680056954834041291939238756736262193412191184000527801026,[#6:1](-[#8:2]-[#6:3])(-[H:48])(-[H:49])-[H:50].[#6:28](-[#6@@:27]-[#6@:37](-[#8:38])(-[H:66])-[#6@:39](-[#6@:25])(-[#8:40])-[H:68])-[#16:29]-[#6:30]>>[#6:1](-[#16:29](-[#6:28]-[#6@@:27]-[#6@:37](-[#6@:39](-[#6@:25])(-[#8:40])-[H:68])(-[#8:38])-[H:66])-[#6:30])(-[H:48])(-[H:49])-[H:50].[#8:2](-[#6:3])-[H],"EVODEX.1-P1240,EVODEX.1-P1293,EVODEX.1-P1237,EVODEX.1-P1243,EVODEX.1-P1305"
EVODEX.1-E2,108357581621747949898590714195532809964868057528818737960996685023418625060532,[#6:3]-[#16:4]-[#6:5].[#6:25](-[#6@@:24]-[#6@:39](-[#8:40])(-[H:65])-[#6@:41](-[#6@:22])(-[#8:42])-[H:67])(-[#8:26]-[#15:27](=[#8:28])(-[#8:29])-[#8:30]-[#15:31])(-[H:61])-[H:62].[#8:43](-[H:70])-[H]>>[#6:3]-[#16:4](-[#6:5])-[#6:25](-[#6@@:24]-[#6@:39](-[#6@:41](-[#6@:22])(-[#8:42])-[H:67])(-[#8:40])-[H:65])(-[H:61])-[H:62].[#8:26](-[#15:27](=[#8:28])(-[#8:29])-[#8:43]-[H:70])-[H].[#8:30](-[#15:31])-[H],"EVODEX.1-P2765,EVODEX.1-P2777,EVODEX.1-P2759,EVODEX.1-P2792,EVODEX.1-P2782"
EVODEX.1-E3,95493427935209558878600846114307262512637737140953948897990375478777189555552,[#8:45]=[#6:46](-[#6:47])-[H:93]>>[#8:45](-[#6:46](-[#6:47])(-[H:93])-[H])-[H],"EVODEX.1-P126,EVODEX.1-P78,EVODEX.1-P67,EVODEX.1-P65,EVODEX.1-P51"
EVODEX.1-E4,6814852929650887661130912829842458008476160981430275149243128871063129095799,[#6:56]-[#7:57](-[#8:58]-[H:93])-[H:94]>>[#6:56]-[#7:57](-[H:94])-[H].[#8:58](-[H:93])-[H],"EVODEX.1-P1203,EVODEX.1-P1208,EVODEX.1-P1199,EVODEX.1-P1206,EVODEX.1-P1201"
EVODEX.1-E5,83137599177878774672393408292679405440494866571628116008215070208629120434306,[#6:3]-[#6:4](=[#8:5])-[#6:6]>>[#6:3]-[#6:4](-[#8:5]-[H])(-[#6:6])-[H],"EVODEX.1-P20,EVODEX.1-P13,EVODEX.1-P87,EVODEX.1-P14,EVODEX.1-P75"
EVODEX.1-E6,83243461007439950970231697447669256008650174661932855900304162135948461079560,[#6:6]-[#6:7](=[#8:8])-[#8:9]-[H:16]>>[#6:6]-[#6:7](=[#8:8])-[H].[#8:9](-[H:16])-[H],"EVODEX.1-P696,EVODEX.1-P692,EVODEX.1-P700,EVODEX.1-P705,EVODEX.1-P788"
EVODEX.1-E7,90208367522052387741010317500126903235205442573768705083575161940770730338939,[#6:1](-[#6:2])(-[H:62])(-[H:63])-[H].[#8:55]=[#8:56]>>[#6:1](-[#6:2])(-[#8:55]-[H])(-[H:62])-[H:63].[#8:56](-[H])-[H],"EVODEX.1-P470,EVODEX.1-P543,EVODEX.1-P453,EVODEX.1-P539,EVODEX.1-P599"
EVODEX.1-E8,38328535630614830808049915723766996357794085936404610309729982264933501853168,[#8:49]=[#6:50](-[#6:51])-[#8:59]>>[#8:49](-[#6@@:50](-[H])(-[#6:51])-[#8:59])-[H],"EVODEX.1-P80,EVODEX.1-P27,EVODEX.1-P809,EVODEX.1-P94,EVODEX.1-P176"
EVODEX.1-E9,39252703617161316536387382561203766526842294234605903127377650594148226998316,[#6:57]-[#16:58]-[#16:59]-[#6:60]>>[#6:57]-[#16:58]-[H].[#16:59](-[#6:60])-[H],"EVODEX.1-P1223,EVODEX.1-P1222,EVODEX.1-P1220,EVODEX.1-P1219,EVODEX.1-P1221"
EVODEX.1-E10,77057919934499070487471435206125065316015653688069395473723124555010947062398,[#6:53]-[#6:54](=[#8:55])-[#8:56]-[H:121].([#8:74]-[#15:75](=[#8:76])(-[#8:77])-[#8:78]-[#15:79].[#8:88]-[#6@@:87](-[#6@@:72])(-[H:141])-[#6@:89](-[#6@:70])(-[#8:90])-[H:143])>>[#6:53]-[#6:54](=[#8:55])-[H].([#8:56](-[#15:75](-[#8:74])(=[#8:76])-[#8:77])-[H:121].[#8:90]-[#6@:89](-[#6@:70])(-[H:143])-[#6@@:87](-[#6@@:72])(-[#8:88])-[H:141]).[#8:78](-[#15:79])-[H],"EVODEX.1-P727,EVODEX.1-P715,EVODEX.1-P759,EVODEX.1-P676,EVODEX.1-P730"
EVODEX.1-E11,45828399498337338375186270864702078139287544923758433955481541559949772991999,[#8:63]-[#15:64](=[#8:65])(-[#8:66])-[#8:67]-[#15:68].[#8:80]=[#6:81](-[#8:82]-[H:136])-[#6:83]>>[#8:63]-[#15:64](=[#8:65])(-[#8:66])-[#8:82]-[H:136].[#8:80]=[#6:81](-[#6:83])-[H].[#8:67](-[#15:68])-[H],"EVODEX.1-P722,EVODEX.1-P723,EVODEX.1-P726,EVODEX.1-P710,EVODEX.1-P717"
EVODEX.1-E12,62010078941200458619092858159427859852876507441342686492041520750835838641642,[#6:18]-[#6:19](=[#8:20])-[H:31].[#7:23](-[H:42])(-[H:43])-[H]>>[#6:18]-[#6:19](-[#7:23](-[H:42])-[H:43])(-[H:31])-[H].[#8:20](-[H])-[H],"EVODEX.1-P1062,EVODEX.1-P1034,EVODEX.1-P1101,EVODEX.1-P1038,EVODEX.1-P1021"
EVODEX.1-E13,36347450811037557253432054535306306515082047778788316488430731321832861995751,[#6:7]-[#6:8](-[H:80])(-[H])-[#6:9].[#8:70]=[#8:71]>>[#6:7]-[#6@:8](-[#8:70]-[H])(-[H:80])-[#6:9].[#8:71](-[H])-[H],"EVODEX.1-P212,EVODEX.1-P476,EVODEX.1-P202,EVODEX.1-P519,EVODEX.1-P455"
EVODEX.1-E14,81463667325325374598075013882042627620814997832787741382019354026424167824333,[#6:3]-[#16:4]-[#6:5].[#8:59]=[#8:60]>>[#6:3]-[#16@@:4](-[#6:5])=[#8:60].[#8:59](-[H])-[H],"EVODEX.1-P500,EVODEX.1-P484,EVODEX.1-P469,EVODEX.1-P190,EVODEX.1-P471"
EVODEX.1-E15,69162442276040434029937773151452493764700586112484961231301567958881483680329,[#7:8]-[#6:9](-[#6:10])(-[H:34])-[H].[#8:31]=[#8:32]>>[#7:8]-[#6:9](-[#6:10])(-[#8:31]-[H])-[H:34].[#8:32](-[H])-[H],"EVODEX.1-P598,EVODEX.1-P581,EVODEX.1-P574,EVODEX.1-P588,EVODEX.1-P589"
EVODEX.1-E16,14777821612835428385402830201687291477945326589095538382033025202203515800390,[#6:6]-[#7:14]=[#6:12](-[#6:9])-[#6:13]>>[#6:6]-[#7:14](-[#6@@:12](-[#6:9])(-[#6:13])-[H])-[H],"EVODEX.1-P1145,EVODEX.1-P1146,EVODEX.1-P1147,EVODEX.1-P1140,EVODEX.1-P1144"
EVODEX.1-E17,113343171635363417770951758932430688342283211659298500732598324354269928305393,[#6:17]-[#6:18](=[#8:19])-[#16:20]-[#6:21]>>[#6:17]-[#6:18](=[#8:19])-[H].[#16:20](-[#6:21])-[H],"EVODEX.1-P675,EVODEX.1-P670,EVODEX.1-P741,EVODEX.1-P735,EVODEX.1-P740"
EVODEX.1-E18,63230454533161947871397931566647232683370865603166787686256724269494560699223,[#6:96]-[#6:97](-[#6:98])=[#6:99](-[#6:100])-[H:213]>>[#6:96]-[#6:97](-[#6:98])(-[#6:99](-[#6:100])(-[H:213])-[H])-[H],"EVODEX.1-P830,EVODEX.1-P799,EVODEX.1-P136,EVODEX.1-P812,EVODEX.1-P810"
EVODEX.1-E19,51640533615824173654679796017154609649763119365714549334440397233863621841321,[#6:50]-[#7:51](-[H])-[#6:52].[#8:61]=[#8:62]>>[#6:50]-[#7:51](-[#8:61]-[H])-[#6:52].[#8:62](-[H])-[H],"EVODEX.1-P518,EVODEX.1-P487,EVODEX.1-P490,EVODEX.1-P465,EVODEX.1-P437"
EVODEX.1-E20,1012267650030691393377281167284295743922917160222459783985514137315715957662,[#7:1](-[H:86])(-[H:87])-[H].[#8:46]=[#6:47](-[#6:48])-[#6:50]>>[#7:1](-[#6@:47](-[#6:48])(-[#6:50])-[H])(-[H:86])-[H:87].[#8:46](-[H])-[H],"EVODEX.1-P898,EVODEX.1-P894,EVODEX.1-P906,EVODEX.1-P892,EVODEX.1-P916"
EVODEX.1-E21,63634945601041540194169619441826192341202044574282259848518890579466742878880,[#6:28](-[#6@:26])(-[#8:29]-[H])(-[H:113])-[H].[#8:77]=[#8:78]>>[#6:28](-[#6@:26])(=[#8:29])-[H:113].[#8:77](-[H])-[H].[#8:78](-[H])-[H],"EVODEX.1-P208,EVODEX.1-P475,EVODEX.1-P193,EVODEX.1-P197,EVODEX.1-P192"
EVODEX.1-E22,74487724742346898418057480198071749780483591921911460424979195217575522998224,[#6:1](-[#8:2]-[#6:3])(-[H:72])(-[H:73])-[H].[#8:59]=[#8:60]>>[#6:1](=[#8:60])(-[H:72])-[H:73].[#8:59](-[H])-[H].[#8:2](-[#6:3])-[H],"EVODEX.1-P507,EVODEX.1-P502,EVODEX.1-P647,EVODEX.1-P643,EVODEX.1-P504"
EVODEX.1-E23,106757440076494709642227704306348271906348836954354733799931598342931705038310,[#8:49]=[#6:50](-[#6:51](-[#6:52])(-[#6:55])-[H:117])-[H:118]>>[#8:49](-[#6:50](-[#6@:51](-[#6:52])(-[#6:55])-[H:117])(-[H:118])-[H])-[H],"EVODEX.1-P5,EVODEX.1-P10,EVODEX.1-P8,EVODEX.1-P79,EVODEX.1-P9"
EVODEX.1-E24,112094621668428768873024900802555826198894009618031354448753207233458721828415,[#6:1]-[#6@:2](-[#6@:3])(-[#6@@:11])-[H].[#8:82]=[#8:83]>>[#6:1]-[#6@@:2](-[#6@:3])(-[#6@@:11])-[#8:83]-[H].[#8:82](-[H])-[H],"EVODEX.1-P209,EVODEX.1-P533,EVODEX.1-P203,EVODEX.1-P440,EVODEX.1-P537"
EVODEX.1-E25,89861587282289157398639459600500821678084059467505450957783340322116802564537,[#8:45]=[#6:46]-[#6:48](=[#6:49](-[#6:50]=[#8:51])-[H:84])-[H:85]>>[#8:45]=[#6:46]-[#6:48](-[#6:49](-[#6:50]=[#8:51])(-[H:84])-[H])(-[H:85])-[H],"EVODEX.1-P49,EVODEX.1-P818,EVODEX.1-P817,EVODEX.1-P819,EVODEX.1-P814"
EVODEX.1-E26,2973906435746176371815853850120100947275171080524171624115339607474688846703,[#8:15]=[#6:16]-[#6:18](=[#6:19](-[#6:20])-[H:55])-[H:56].[#8:25]=[#6:26]-[#6:28](=[#6:29](-[#6:30])-[H:61])-[H:62]>>[#8:15]=[#6:16]-[#6:18](-[#6:19](-[#6:20])(-[H:55])-[H])(-[H:56])-[H].[#8:25]=[#6:26]-[#6:28](-[#6:29](-[#6:30])(-[H:61])-[H])(-[H:62])-[H],"EVODEX.1-P803,EVODEX.1-P831,EVODEX.1-P804,EVODEX.1-P815,EVODEX.1-P816"
EVODEX.1-E27,82633643039793950611027967799954080683807090000243769096983453015438676527092,[#8:49]=[#6:50](-[#6:51](-[H:91])(-[H:92])-[#6:52])-[#6:58].[#8:59]=[#8:60]>>[#8:49]=[#6:50](-[#6:58])-[#8:60]-[#6:51](-[#6:52])(-[H:91])-[H:92].[#8:59](-[H])-[H],"EVODEX.1-P461,EVODEX.1-P459,EVODEX.1-P446,EVODEX.1-P516,EVODEX.1-P442"
