id,smirks,sources
EVODEX.1-E1,[N:1]#[C:2][C:3]>>[H][N:1]([H])[C:2]([H])([H])[C:3],"EVODEX.1-P1928,EVODEX.1-P2016,EVODEX.1-P2017,EVODEX.1-P2018,EVODEX.1-P2019"
EVODEX.1-E10,[C:7](=[O:8])[C:9]=[O:10]>>[H][O:8][C:7]=[C:9][O:10][H],"EVODEX.1-P1980,EVODEX.1-P1996,EVODEX.1-P1997,EVODEX.1-P266,EVODEX.1-P292"
EVODEX.1-E1000,[C:63][C:64](=[O:65])[S:66][C:67]>>[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:64]([C:63])=[O:65])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[H][S:66][C:67],"EVODEX.1-P2311,EVODEX.1-P2495,EVODEX.1-P2497,EVODEX.1-P2629,EVODEX.1-P2648"
EVODEX.1-E1001,[C:52][C:53](=[O:54])[C:55]([O:56])([C:57])[C:61]>>[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:53]([C:52])=[O:54])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[H][C:55]([O:56])([C:57])[C:61],"EVODEX.1-P2399,EVODEX.1-P2403,EVODEX.1-P2406,EVODEX.1-P2408,EVODEX.1-P2847"
EVODEX.1-E1004,[H]O[C:86]([C:84])=[O:87]>>[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:86]([C:84])=[O:87])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1,"EVODEX.1-P5423,EVODEX.1-P5525,EVODEX.1-P9652,EVODEX.1-P9653,EVODEX.1-P9671"
EVODEX.1-E1005,[H]C(=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C(=O)[O:22][C:23])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]>>[H][O:22][C:23],"EVODEX.1-P5726,EVODEX.1-P5727,EVODEX.1-P5752,EVODEX.1-P5880,EVODEX.1-P5953"
EVODEX.1-E1006,[H]C(=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C(=O)[N:22]([C:23])[H:37])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]>>[H][N:22]([C:23])[H:37],"EVODEX.1-P8049,EVODEX.1-P8192,EVODEX.1-P8194,EVODEX.1-P8423"
EVODEX.1-E1007,[C:50][C:78](=[O:79])[O:80][H:189]>>[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:78]([C:50])=[O:79])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2:C([H]):N:C3:C(N([H])[H]):N:C([H]):N:C:3:2)O[C@]1([H])C([H])([H])OP(=O)(O[H])[O:80][H:189],"EVODEX.1-P9637,EVODEX.1-P9642,EVODEX.1-P9670,EVODEX.1-P9718,EVODEX.1-P9728"
EVODEX.1-E1008,[H][O:86][C:85]>>[H]C(=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)[O:86][C:85])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])[H],"EVODEX.1-P2459,EVODEX.1-P2601,EVODEX.1-P2602,EVODEX.1-P2668,EVODEX.1-P2929"
EVODEX.1-E1009,[H]C(=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)[O:24][C:23])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])[H]>>[H][O:24][C:23],"EVODEX.1-P2665,EVODEX.1-P5687,EVODEX.1-P5788,EVODEX.1-P5789,EVODEX.1-P5817"
