id,smirks,sources
EVODEX.0-Em1,[O:45]=[C:46][C:47]>>[H][O:45][C:46]([H])[C:47],"EVODEX.0-P2,EVODEX.0-P13,EVODEX.0-P18,EVODEX.0-P24,EVODEX.0-P78,EVODEX.0-P82,EVODEX.0-P163,EVODEX.0-P167,EVODEX.0-P172,EVODEX.0-P174,EVODEX.0-P344,EVODEX.0-P356,EVODEX.0-P360,EVODEX.0-P368,EVODEX.0-P390,EVODEX.0-P394,EVODEX.0-P398,EVODEX.0-P412,EVODEX.0-P416,EVODEX.0-P425,EVODEX.0-P498,EVODEX.0-P547,EVODEX.0-P584,EVODEX.0-P623,EVODEX.0-P666,EVODEX.0-P827,EVODEX.0-P903,EVODEX.0-P923,EVODEX.0-P949,EVODEX.0-P951,EVODEX.0-P1009,EVODEX.0-P1023,EVODEX.0-P1104,EVODEX.0-P1221,EVODEX.0-P1229,EVODEX.0-P1235,EVODEX.0-P1239,EVODEX.0-P1287,EVODEX.0-P1301,EVODEX.0-P1327,EVODEX.0-P1357,EVODEX.0-P1401,EVODEX.0-P1411,EVODEX.0-P1435,EVODEX.0-P1444,EVODEX.0-P1576,EVODEX.0-P1639,EVODEX.0-P1847,EVODEX.0-P1918,EVODEX.0-P1992,EVODEX.0-P2007,EVODEX.0-P2137,EVODEX.0-P2153,EVODEX.0-P2193"
EVODEX.0-Em2,[H][C:10]([C:9])[O:11][H]>>[C:9][C:10]=[O:11],"EVODEX.0-P5,EVODEX.0-P16,EVODEX.0-P20,EVODEX.0-P22,EVODEX.0-P80,EVODEX.0-P84,EVODEX.0-P122,EVODEX.0-P161,EVODEX.0-P170,EVODEX.0-P346,EVODEX.0-P354,EVODEX.0-P358,EVODEX.0-P362,EVODEX.0-P366,EVODEX.0-P388,EVODEX.0-P392,EVODEX.0-P396,EVODEX.0-P400,EVODEX.0-P402,EVODEX.0-P410,EVODEX.0-P414,EVODEX.0-P423,EVODEX.0-P500,EVODEX.0-P545,EVODEX.0-P582,EVODEX.0-P586,EVODEX.0-P621,EVODEX.0-P664,EVODEX.0-P829,EVODEX.0-P835,EVODEX.0-P901,EVODEX.0-P921,EVODEX.0-P1011,EVODEX.0-P1021,EVODEX.0-P1079,EVODEX.0-P1219,EVODEX.0-P1231,EVODEX.0-P1233,EVODEX.0-P1237,EVODEX.0-P1285,EVODEX.0-P1314,EVODEX.0-P1329,EVODEX.0-P1359,EVODEX.0-P1399,EVODEX.0-P1413,EVODEX.0-P1437,EVODEX.0-P1578,EVODEX.0-P1641,EVODEX.0-P1719,EVODEX.0-P1733,EVODEX.0-P1845,EVODEX.0-P1849,EVODEX.0-P1859,EVODEX.0-P1861,EVODEX.0-P1863,EVODEX.0-P1865,EVODEX.0-P1878,EVODEX.0-P1880,EVODEX.0-P1882,EVODEX.0-P1916,EVODEX.0-P1937,EVODEX.0-P1939,EVODEX.0-P1941,EVODEX.0-P1979,EVODEX.0-P1990,EVODEX.0-P1994,EVODEX.0-P1996,EVODEX.0-P2001,EVODEX.0-P2003,EVODEX.0-P2005,EVODEX.0-P2009,EVODEX.0-P2011,EVODEX.0-P2013,EVODEX.0-P2022,EVODEX.0-P2031,EVODEX.0-P2118,EVODEX.0-P2122,EVODEX.0-P2126,EVODEX.0-P2135,EVODEX.0-P2151,EVODEX.0-P2191,EVODEX.0-P6660,EVODEX.0-P6664,EVODEX.0-P6695,EVODEX.0-P6785,EVODEX.0-P9211,EVODEX.0-P9423,EVODEX.0-P9537,EVODEX.0-P9567,EVODEX.0-P9597,EVODEX.0-P9627,EVODEX.0-P12129,EVODEX.0-P13594,EVODEX.0-P47337,EVODEX.0-P47340,EVODEX.0-P47343,EVODEX.0-P47345,EVODEX.0-P47377,EVODEX.0-P47943,EVODEX.0-P48376,EVODEX.0-P48382,EVODEX.0-P49220,EVODEX.0-P49247"
EVODEX.0-Em3,[C:23](=[O:24])[C:25]=[O:26]>>[H][C:25]([C:23])[O:26][H],"EVODEX.0-P8,EVODEX.0-P139,EVODEX.0-P434,EVODEX.0-P777,EVODEX.0-P779,EVODEX.0-P781,EVODEX.0-P783,EVODEX.0-P785"
EVODEX.0-Em4,[H][C:4]([C:2])[O:5][H]>>[C:2](=[O:3])[C:4]=[O:5],"EVODEX.0-P10,EVODEX.0-P137,EVODEX.0-P775,EVODEX.0-P2139,EVODEX.0-P48028"
EVODEX.0-Em5,[H][C:2]([C:1])([O:3][H])[C:4]>>[C:1][C:2](=[O:3])[C:4],"EVODEX.0-P28,EVODEX.0-P38,EVODEX.0-P42,EVODEX.0-P46,EVODEX.0-P54,EVODEX.0-P56,EVODEX.0-P62,EVODEX.0-P66,EVODEX.0-P70,EVODEX.0-P124,EVODEX.0-P153,EVODEX.0-P157,EVODEX.0-P196,EVODEX.0-P200,EVODEX.0-P276,EVODEX.0-P280,EVODEX.0-P306,EVODEX.0-P312,EVODEX.0-P318,EVODEX.0-P320,EVODEX.0-P324,EVODEX.0-P330,EVODEX.0-P334,EVODEX.0-P348,EVODEX.0-P374,EVODEX.0-P376,EVODEX.0-P380,EVODEX.0-P384,EVODEX.0-P418,EVODEX.0-P438,EVODEX.0-P442,EVODEX.0-P553,EVODEX.0-P557,EVODEX.0-P566,EVODEX.0-P570,EVODEX.0-P572,EVODEX.0-P593,EVODEX.0-P597,EVODEX.0-P615,EVODEX.0-P656,EVODEX.0-P662,EVODEX.0-P669,EVODEX.0-P675,EVODEX.0-P702,EVODEX.0-P706,EVODEX.0-P717,EVODEX.0-P733,EVODEX.0-P747,EVODEX.0-P753,EVODEX.0-P761,EVODEX.0-P767,EVODEX.0-P773,EVODEX.0-P800,EVODEX.0-P806,EVODEX.0-P810,EVODEX.0-P814,EVODEX.0-P819,EVODEX.0-P821,EVODEX.0-P823,EVODEX.0-P825,EVODEX.0-P833,EVODEX.0-P837,EVODEX.0-P885,EVODEX.0-P895,EVODEX.0-P907,EVODEX.0-P927,EVODEX.0-P936,EVODEX.0-P941,EVODEX.0-P1005,EVODEX.0-P1017,EVODEX.0-P1029,EVODEX.0-P1033,EVODEX.0-P1039,EVODEX.0-P1043,EVODEX.0-P1045,EVODEX.0-P1050,EVODEX.0-P1054,EVODEX.0-P1063,EVODEX.0-P1084,EVODEX.0-P1096,EVODEX.0-P1100,EVODEX.0-P1117,EVODEX.0-P1129,EVODEX.0-P1148,EVODEX.0-P1152,EVODEX.0-P1156,EVODEX.0-P1160,EVODEX.0-P1164,EVODEX.0-P1170,EVODEX.0-P1184,EVODEX.0-P1193,EVODEX.0-P1223,EVODEX.0-P1241,EVODEX.0-P1247,EVODEX.0-P1249,EVODEX.0-P1279,EVODEX.0-P1281,EVODEX.0-P1305,EVODEX.0-P1309,EVODEX.0-P1361,EVODEX.0-P1367,EVODEX.0-P1372,EVODEX.0-P1374,EVODEX.0-P1421,EVODEX.0-P1427,EVODEX.0-P1488,EVODEX.0-P1491,EVODEX.0-P1512,EVODEX.0-P1524,EVODEX.0-P1529,EVODEX.0-P1531,EVODEX.0-P1543,EVODEX.0-P1545,EVODEX.0-P1547,EVODEX.0-P1552,EVODEX.0-P1561,EVODEX.0-P1571,EVODEX.0-P1573,EVODEX.0-P1589,EVODEX.0-P1608,EVODEX.0-P1610,EVODEX.0-P1612,EVODEX.0-P1614,EVODEX.0-P1616,EVODEX.0-P1629,EVODEX.0-P1643,EVODEX.0-P1667,EVODEX.0-P1691,EVODEX.0-P1697,EVODEX.0-P1703,EVODEX.0-P1706,EVODEX.0-P1710,EVODEX.0-P1712,EVODEX.0-P1715,EVODEX.0-P1735,EVODEX.0-P1737,EVODEX.0-P1739,EVODEX.0-P1741,EVODEX.0-P1744,EVODEX.0-P1757,EVODEX.0-P1801,EVODEX.0-P1811,EVODEX.0-P1816,EVODEX.0-P1838,EVODEX.0-P1851,EVODEX.0-P1869,EVODEX.0-P1908,EVODEX.0-P1910,EVODEX.0-P1912,EVODEX.0-P1914,EVODEX.0-P1971,EVODEX.0-P1973,EVODEX.0-P1975,EVODEX.0-P2015,EVODEX.0-P2066,EVODEX.0-P2144,EVODEX.0-P2146,EVODEX.0-P2165,EVODEX.0-P2169,EVODEX.0-P2175,EVODEX.0-P6671,EVODEX.0-P6675,EVODEX.0-P6806,EVODEX.0-P11608,EVODEX.0-P47303,EVODEX.0-P47348,EVODEX.0-P47383,EVODEX.0-P47386,EVODEX.0-P47389,EVODEX.0-P47391,EVODEX.0-P47394,EVODEX.0-P47397,EVODEX.0-P47400,EVODEX.0-P47519,EVODEX.0-P47575,EVODEX.0-P47745,EVODEX.0-P47998,EVODEX.0-P49094,EVODEX.0-P49103,EVODEX.0-P49105,EVODEX.0-P49107,EVODEX.0-P49115,EVODEX.0-P49119,EVODEX.0-P49404"
EVODEX.0-Em6,[C:1][C:2](=[O:3])[C:4]>>[H][C:2]([C:1])([O:3][H])[C:4],"EVODEX.0-P30,EVODEX.0-P40,EVODEX.0-P44,EVODEX.0-P48,EVODEX.0-P52,EVODEX.0-P58,EVODEX.0-P64,EVODEX.0-P68,EVODEX.0-P72,EVODEX.0-P126,EVODEX.0-P155,EVODEX.0-P159,EVODEX.0-P194,EVODEX.0-P198,EVODEX.0-P278,EVODEX.0-P282,EVODEX.0-P308,EVODEX.0-P310,EVODEX.0-P322,EVODEX.0-P326,EVODEX.0-P328,EVODEX.0-P332,EVODEX.0-P350,EVODEX.0-P372,EVODEX.0-P378,EVODEX.0-P382,EVODEX.0-P386,EVODEX.0-P420,EVODEX.0-P440,EVODEX.0-P444,EVODEX.0-P551,EVODEX.0-P555,EVODEX.0-P560,EVODEX.0-P562,EVODEX.0-P564,EVODEX.0-P568,EVODEX.0-P574,EVODEX.0-P595,EVODEX.0-P599,EVODEX.0-P618,EVODEX.0-P658,EVODEX.0-P671,EVODEX.0-P700,EVODEX.0-P704,EVODEX.0-P708,EVODEX.0-P719,EVODEX.0-P735,EVODEX.0-P744,EVODEX.0-P749,EVODEX.0-P751,EVODEX.0-P763,EVODEX.0-P765,EVODEX.0-P771,EVODEX.0-P793,EVODEX.0-P802,EVODEX.0-P804,EVODEX.0-P808,EVODEX.0-P812,EVODEX.0-P839,EVODEX.0-P887,EVODEX.0-P897,EVODEX.0-P925,EVODEX.0-P929,EVODEX.0-P931,EVODEX.0-P939,EVODEX.0-P1003,EVODEX.0-P1019,EVODEX.0-P1031,EVODEX.0-P1035,EVODEX.0-P1037,EVODEX.0-P1041,EVODEX.0-P1047,EVODEX.0-P1052,EVODEX.0-P1056,EVODEX.0-P1058,EVODEX.0-P1061,EVODEX.0-P1082,EVODEX.0-P1094,EVODEX.0-P1098,EVODEX.0-P1115,EVODEX.0-P1119,EVODEX.0-P1131,EVODEX.0-P1146,EVODEX.0-P1150,EVODEX.0-P1154,EVODEX.0-P1158,EVODEX.0-P1162,EVODEX.0-P1168,EVODEX.0-P1172,EVODEX.0-P1174,EVODEX.0-P1186,EVODEX.0-P1199,EVODEX.0-P1215,EVODEX.0-P1217,EVODEX.0-P1225,EVODEX.0-P1243,EVODEX.0-P1245,EVODEX.0-P1251,EVODEX.0-P1265,EVODEX.0-P1277,EVODEX.0-P1283,EVODEX.0-P1303,EVODEX.0-P1307,EVODEX.0-P1316,EVODEX.0-P1318,EVODEX.0-P1320,EVODEX.0-P1322,EVODEX.0-P1423,EVODEX.0-P1425,EVODEX.0-P1514,EVODEX.0-P1527,EVODEX.0-P1533,EVODEX.0-P1539,EVODEX.0-P1541,EVODEX.0-P1554,EVODEX.0-P1559,EVODEX.0-P1563,EVODEX.0-P1567,EVODEX.0-P1569,EVODEX.0-P1584,EVODEX.0-P1586,EVODEX.0-P1591,EVODEX.0-P1618,EVODEX.0-P1620,EVODEX.0-P1622,EVODEX.0-P1631,EVODEX.0-P1665,EVODEX.0-P1693,EVODEX.0-P1695,EVODEX.0-P1699,EVODEX.0-P1701,EVODEX.0-P1803,EVODEX.0-P1809,EVODEX.0-P1814,EVODEX.0-P1840,EVODEX.0-P1855,EVODEX.0-P1873,EVODEX.0-P2173,EVODEX.0-P4040,EVODEX.0-P6166,EVODEX.0-P18738,EVODEX.0-P18740"
EVODEX.0-Em7,[O:45]=[C:46][C:48](=[O:49])[C:50]>>[H][C:48]([C:46])([O:49][H])[C:50],"EVODEX.0-P32,EVODEX.0-P141,EVODEX.0-P147,EVODEX.0-P149,EVODEX.0-P206,EVODEX.0-P260,EVODEX.0-P429,EVODEX.0-P466,EVODEX.0-P528,EVODEX.0-P535,EVODEX.0-P537,EVODEX.0-P541,EVODEX.0-P603,EVODEX.0-P607,EVODEX.0-P611,EVODEX.0-P755,EVODEX.0-P817,EVODEX.0-P843,EVODEX.0-P845,EVODEX.0-P847,EVODEX.0-P849,EVODEX.0-P876,EVODEX.0-P933,EVODEX.0-P1067,EVODEX.0-P1071,EVODEX.0-P1102,EVODEX.0-P1123,EVODEX.0-P1127,EVODEX.0-P1299,EVODEX.0-P1346,EVODEX.0-P1349,EVODEX.0-P1355,EVODEX.0-P1363,EVODEX.0-P1381,EVODEX.0-P1419,EVODEX.0-P1484,EVODEX.0-P1502,EVODEX.0-P1646,EVODEX.0-P1661,EVODEX.0-P1663,EVODEX.0-P1805,EVODEX.0-P1871"
EVODEX.0-Em8,[H][C:48]([C:46])([O:49][H])[C:50]>>[O:45]=[C:46][C:48](=[O:49])[C:50],"EVODEX.0-P34,EVODEX.0-P143,EVODEX.0-P145,EVODEX.0-P151,EVODEX.0-P204,EVODEX.0-P258,EVODEX.0-P432,EVODEX.0-P464,EVODEX.0-P526,EVODEX.0-P533,EVODEX.0-P539,EVODEX.0-P543,EVODEX.0-P549,EVODEX.0-P601,EVODEX.0-P605,EVODEX.0-P609,EVODEX.0-P757,EVODEX.0-P851,EVODEX.0-P878,EVODEX.0-P909,EVODEX.0-P1065,EVODEX.0-P1069,EVODEX.0-P1073,EVODEX.0-P1125,EVODEX.0-P1351,EVODEX.0-P1353,EVODEX.0-P1365,EVODEX.0-P1383,EVODEX.0-P1417,EVODEX.0-P1482,EVODEX.0-P1504,EVODEX.0-P1506,EVODEX.0-P1648,EVODEX.0-P1717,EVODEX.0-P1759,EVODEX.0-P1807,EVODEX.0-P1827,EVODEX.0-P1829,EVODEX.0-P1857,EVODEX.0-P1867,EVODEX.0-P1945,EVODEX.0-P2017,EVODEX.0-P2019,EVODEX.0-P2167,EVODEX.0-P6673,EVODEX.0-P9059,EVODEX.0-P9075,EVODEX.0-P32940,EVODEX.0-P46330,EVODEX.0-P47258,EVODEX.0-P47261,EVODEX.0-P47264,EVODEX.0-P47267,EVODEX.0-P47283,EVODEX.0-P47351,EVODEX.0-P47373,EVODEX.0-P47380,EVODEX.0-P47572,EVODEX.0-P47578,EVODEX.0-P47714,EVODEX.0-P47812,EVODEX.0-P47890,EVODEX.0-P47905,EVODEX.0-P48413,EVODEX.0-P48589,EVODEX.0-P48593,EVODEX.0-P49402"
EVODEX.0-Em9,[H][C:49]([O:48])([O:50][H])[C:51]>>[O:48][C:49](=[O:50])[C:51],"EVODEX.0-P74,EVODEX.0-P284,EVODEX.0-P297,EVODEX.0-P591,EVODEX.0-P639,EVODEX.0-P641,EVODEX.0-P643,EVODEX.0-P646,EVODEX.0-P945,EVODEX.0-P1025,EVODEX.0-P1142,EVODEX.0-P1144,EVODEX.0-P1686,EVODEX.0-P1763,EVODEX.0-P1789,EVODEX.0-P1793,EVODEX.0-P1835,EVODEX.0-P2024,EVODEX.0-P2026"
EVODEX.0-Em10,[O:45]=[C:46]([O:47])[C:53]>>[H][O:45][C:46]([H])([O:47])[C:53],"EVODEX.0-P76,EVODEX.0-P654,EVODEX.0-P889,EVODEX.0-P943,EVODEX.0-P1027,EVODEX.0-P1624,EVODEX.0-P1688,EVODEX.0-P1765,EVODEX.0-P1791,EVODEX.0-P1795,EVODEX.0-P1969"
