id,mass,sources,formula_diff
EVODEX.2.1-M1,0.0,"EVODEX.2.1-P1502,EVODEX.2.1-P1504,EVODEX.2.1-P1512,EVODEX.2.1-P1894,EVODEX.2.1-P1895,EVODEX.2.1-P1898,EVODEX.2.1-P1900,EVODEX.2.1-P1902,EVODEX.2.1-P1907,EVODEX.2.1-P1909,EVODEX.2.1-P1910,EVODEX.2.1-P1911,EVODEX.2.1-P1913,EVODEX.2.1-P202,EVODEX.2.1-P207,EVODEX.2.1-P209,EVODEX.2.1-P210,EVODEX.2.1-P3434,EVODEX.2.1-P3509,EVODEX.2.1-P3537,EVODEX.2.1-P3539,EVODEX.2.1-P3543,EVODEX.2.1-P3546,EVODEX.2.1-P3547,EVODEX.2.1-P3548,EVODEX.2.1-P3549,EVODEX.2.1-P3550,EVODEX.2.1-P3552,EVODEX.2.1-P3554,EVODEX.2.1-P3556,EVODEX.2.1-P3558,EVODEX.2.1-P3592,EVODEX.2.1-P3694,EVODEX.2.1-P3695,EVODEX.2.1-P3699,EVODEX.2.1-P3704,EVODEX.2.1-P3808,EVODEX.2.1-P3810,EVODEX.2.1-P3817,EVODEX.2.1-P3825,EVODEX.2.1-P4122,EVODEX.2.1-P4123,EVODEX.2.1-P4124,EVODEX.2.1-P4129,EVODEX.2.1-P4131,EVODEX.2.1-P5112,EVODEX.2.1-P5692,EVODEX.2.1-P5693,EVODEX.2.1-P5696,EVODEX.2.1-P5699,EVODEX.2.1-P5700,EVODEX.2.1-P5701,EVODEX.2.1-P5702,EVODEX.2.1-P5705,EVODEX.2.1-P5707,EVODEX.2.1-P5708,EVODEX.2.1-P5713,EVODEX.2.1-P5774,EVODEX.2.1-P586,EVODEX.2.1-P5909,EVODEX.2.1-P5911,EVODEX.2.1-P5913,EVODEX.2.1-P5914,EVODEX.2.1-P5917,EVODEX.2.1-P5920,EVODEX.2.1-P5921,EVODEX.2.1-P5923,EVODEX.2.1-P5926,EVODEX.2.1-P5927,EVODEX.2.1-P5928,EVODEX.2.1-P5930,EVODEX.2.1-P5931,EVODEX.2.1-P5954,EVODEX.2.1-P5955,EVODEX.2.1-P5961,EVODEX.2.1-P5962,EVODEX.2.1-P5964,EVODEX.2.1-P5966,EVODEX.2.1-P5968,EVODEX.2.1-P5970,EVODEX.2.1-P5978,EVODEX.2.1-P5981,EVODEX.2.1-P5983,EVODEX.2.1-P5984,EVODEX.2.1-P5985,EVODEX.2.1-P5987,EVODEX.2.1-P5988,EVODEX.2.1-P5989,EVODEX.2.1-P5992,EVODEX.2.1-P5993,EVODEX.2.1-P5995,EVODEX.2.1-P6001,EVODEX.2.1-P6007,EVODEX.2.1-P6009,EVODEX.2.1-P6010,EVODEX.2.1-P6013,EVODEX.2.1-P6015,EVODEX.2.1-P6017,EVODEX.2.1-P6018,EVODEX.2.1-P6020,EVODEX.2.1-P6024,EVODEX.2.1-P6025,EVODEX.2.1-P6028,EVODEX.2.1-P6029,EVODEX.2.1-P6033,EVODEX.2.1-P6034,EVODEX.2.1-P6038,EVODEX.2.1-P6039,EVODEX.2.1-P6040,EVODEX.2.1-P6042,EVODEX.2.1-P6043,EVODEX.2.1-P6046,EVODEX.2.1-P6048,EVODEX.2.1-P6049,EVODEX.2.1-P6050,EVODEX.2.1-P6052,EVODEX.2.1-P6053,EVODEX.2.1-P6057,EVODEX.2.1-P6059,EVODEX.2.1-P6060,EVODEX.2.1-P6061,EVODEX.2.1-P6062,EVODEX.2.1-P6067,EVODEX.2.1-P6069,EVODEX.2.1-P6070,EVODEX.2.1-P6071,EVODEX.2.1-P6072,EVODEX.2.1-P6073,EVODEX.2.1-P6076,EVODEX.2.1-P6077,EVODEX.2.1-P6082,EVODEX.2.1-P6085,EVODEX.2.1-P6087,EVODEX.2.1-P6088,EVODEX.2.1-P6091,EVODEX.2.1-P6093,EVODEX.2.1-P6094,EVODEX.2.1-P6096,EVODEX.2.1-P6097,EVODEX.2.1-P6098,EVODEX.2.1-P6100,EVODEX.2.1-P6101,EVODEX.2.1-P6102,EVODEX.2.1-P6106,EVODEX.2.1-P6108,EVODEX.2.1-P6109,EVODEX.2.1-P6112,EVODEX.2.1-P6113,EVODEX.2.1-P6114,EVODEX.2.1-P6117,EVODEX.2.1-P6118,EVODEX.2.1-P6120,EVODEX.2.1-P6121,EVODEX.2.1-P6122,EVODEX.2.1-P6123,EVODEX.2.1-P6124,EVODEX.2.1-P6125,EVODEX.2.1-P6126,EVODEX.2.1-P6128,EVODEX.2.1-P6130,EVODEX.2.1-P6131,EVODEX.2.1-P6133,EVODEX.2.1-P6134,EVODEX.2.1-P6136,EVODEX.2.1-P6137,EVODEX.2.1-P6139,EVODEX.2.1-P6147,EVODEX.2.1-P6149,EVODEX.2.1-P6152,EVODEX.2.1-P6154,EVODEX.2.1-P6155,EVODEX.2.1-P6156,EVODEX.2.1-P6157,EVODEX.2.1-P6161,EVODEX.2.1-P6162,EVODEX.2.1-P6163,EVODEX.2.1-P6164,EVODEX.2.1-P6165,EVODEX.2.1-P6166,EVODEX.2.1-P6167,EVODEX.2.1-P6168,EVODEX.2.1-P6169,EVODEX.2.1-P6170,EVODEX.2.1-P6171,EVODEX.2.1-P6176,EVODEX.2.1-P6177,EVODEX.2.1-P6178,EVODEX.2.1-P6179,EVODEX.2.1-P6180",{}
EVODEX.2.1-M188,208.08486000000002,"EVODEX.2.1-P2599,EVODEX.2.1-P2762,EVODEX.2.1-P2763,EVODEX.2.1-P2777,EVODEX.2.1-P2778","{""C"": 10, ""H"": 12, ""N"": 2, ""O"": 3}"
EVODEX.2.1-M189,250.09416000000002,"EVODEX.2.1-P2360,EVODEX.2.1-P2366,EVODEX.2.1-P2374,EVODEX.2.1-P2379,EVODEX.2.1-P2388","{""C"": 10, ""H"": 12, ""N"": 5, ""O"": 3}"
EVODEX.2.1-M31,329.05266,"EVODEX.2.1-P1314,EVODEX.2.1-P251,EVODEX.2.1-P2913,EVODEX.2.1-P3195,EVODEX.2.1-P3202,EVODEX.2.1-P3233,EVODEX.2.1-P3235,EVODEX.2.1-P3237,EVODEX.2.1-P3239,EVODEX.2.1-P3258,EVODEX.2.1-P6349,EVODEX.2.1-P6355,EVODEX.2.1-P6365,EVODEX.2.1-P6366,EVODEX.2.1-P7115","{""C"": 10, ""H"": 12, ""N"": 5, ""O"": 6, ""P"": 1}"
EVODEX.2.1-M190,345.04756,"EVODEX.2.1-P3175,EVODEX.2.1-P3179,EVODEX.2.1-P3192,EVODEX.2.1-P3232,EVODEX.2.1-P3243","{""C"": 10, ""H"": 12, ""N"": 5, ""O"": 7, ""P"": 1}"
EVODEX.2.1-M192,251.10199,"EVODEX.2.1-P2839,EVODEX.2.1-P2854,EVODEX.2.1-P2856,EVODEX.2.1-P2998,EVODEX.2.1-P3000","{""C"": 10, ""H"": 13, ""N"": 5, ""O"": 3}"
EVODEX.2.1-M96,267.09689,"EVODEX.2.1-P2840,EVODEX.2.1-P2842,EVODEX.2.1-P2843,EVODEX.2.1-P2844,EVODEX.2.1-P2845,EVODEX.2.1-P2846,EVODEX.2.1-P2851,EVODEX.2.1-P2902,EVODEX.2.1-P2903,EVODEX.2.1-P2904","{""C"": 10, ""H"": 13, ""N"": 5, ""O"": 4}"
EVODEX.2.1-M193,242.09032000000002,"EVODEX.2.1-P2847,EVODEX.2.1-P3010,EVODEX.2.1-P3011,EVODEX.2.1-P3012,EVODEX.2.1-P3014","{""C"": 10, ""H"": 14, ""N"": 2, ""O"": 5}"
EVODEX.2.1-M194,331.06831999999997,"EVODEX.2.1-P789,EVODEX.2.1-P791,EVODEX.2.1-P800,EVODEX.2.1-P805,EVODEX.2.1-P822","{""C"": 10, ""H"": 14, ""N"": 5, ""O"": 6, ""P"": 1}"
EVODEX.2.1-M59,347.06322,"EVODEX.2.1-P1315,EVODEX.2.1-P2831,EVODEX.2.1-P2832,EVODEX.2.1-P2899,EVODEX.2.1-P3050,EVODEX.2.1-P3127,EVODEX.2.1-P3131,EVODEX.2.1-P3134,EVODEX.2.1-P3157,EVODEX.2.1-P3161","{""C"": 10, ""H"": 14, ""N"": 5, ""O"": 7, ""P"": 1}"
