id,smirks,sources,hash
EVODEX.1-N1,[#6:19]-[#6:20](=[#8:21])-[#16:22]-[#6:23].[H]-[#8:92]-[#6:91]>>[#6:19]-[#6:20](=[#8:21])-[#8:92]-[#6:91].[H]-[#16:22]-[#6:23],"EVODEX.1-P1415,EVODEX.1-P1431,EVODEX.1-P1436,EVODEX.1-P1438,EVODEX.1-P1439,EVODEX.1-P1455,EVODEX.1-P1465,EVODEX.1-P1466,EVODEX.1-P1469,EVODEX.1-P1500,EVODEX.1-P1527,EVODEX.1-P1567,EVODEX.1-P1602,EVODEX.1-P1605,EVODEX.1-P1607,EVODEX.1-P1610,EVODEX.1-P1620,EVODEX.1-P1662,EVODEX.1-P1678,EVODEX.1-P1680,EVODEX.1-P1682,EVODEX.1-P1685,EVODEX.1-P1700,EVODEX.1-P1728,EVODEX.1-P1729,EVODEX.1-P1803,EVODEX.1-P1830,EVODEX.1-P1831,EVODEX.1-P1834,EVODEX.1-P1856,EVODEX.1-P1873,EVODEX.1-P1912,EVODEX.1-P2042",98491985873626895658276159723401547669578825946020157072464095271834095647907
EVODEX.1-N2,[#8:49]=[#6:50](-[#6:51])-[#6:60]>>[H]-[#8:49]-[#6:50](-[H])(-[#6:51])-[#6:60],"EVODEX.1-P1191,EVODEX.1-P1192,EVODEX.1-P1193,EVODEX.1-P1194,EVODEX.1-P1195,EVODEX.1-P1196,EVODEX.1-P1197,EVODEX.1-P1198,EVODEX.1-P12,EVODEX.1-P13,EVODEX.1-P14,EVODEX.1-P153,EVODEX.1-P154,EVODEX.1-P155,EVODEX.1-P157,EVODEX.1-P161,EVODEX.1-P18,EVODEX.1-P19,EVODEX.1-P20,EVODEX.1-P30,EVODEX.1-P31,EVODEX.1-P36,EVODEX.1-P46,EVODEX.1-P48,EVODEX.1-P50,EVODEX.1-P87,EVODEX.1-P88",83137599177878774672393408292679405440494866571628116008215070208629120434306
EVODEX.1-N3,[H]-[#8]-[#6@]1(-[H])-[#6@](-[H])(-[#8]-[#15](=[#8])(-[#8]-[H])-[#8]-[H])-[#6@@](-[H])(-[#6](-[H])(-[H])-[#8]-[#15](=[#8])(-[#8]-[H])-[#8]-[#15](=[#8])(-[#8]-[H])-[#8]-[#6](-[H])(-[H])-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[H])(-[H])-[H])-[#6@@](-[H])(-[#8]-[H])-[#6](=[#8])-[#7](-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](=[#8])-[#7](-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#16]-[#6:12](-[#6:11])=[#8:13])-[#8]-[#6@@]-1(-[H])-[#7]1:[#6](-[H]):[#7]:[#6]2:[#6](-[#7](-[H])-[H]):[#7]:[#6](-[H]):[#7]:[#6]:1:2.[H]-[#8:72]-[#6:71]>>[#6:11]-[#6:12](=[#8:13])-[#8:72]-[#6:71],"EVODEX.1-P1430,EVODEX.1-P1434,EVODEX.1-P1437,EVODEX.1-P1467,EVODEX.1-P1470,EVODEX.1-P1512,EVODEX.1-P1515,EVODEX.1-P1528,EVODEX.1-P1598,EVODEX.1-P1599,EVODEX.1-P1603,EVODEX.1-P1621,EVODEX.1-P1663,EVODEX.1-P1667,EVODEX.1-P1670,EVODEX.1-P1679,EVODEX.1-P1686,EVODEX.1-P1718,EVODEX.1-P1804,EVODEX.1-P1832,EVODEX.1-P1835,EVODEX.1-P1911,EVODEX.1-P1913,EVODEX.1-P1915,EVODEX.1-P1918,EVODEX.1-P1938,EVODEX.1-P1942",39915441094596808934502821742155569163851047623315941815116821299214547153076
EVODEX.1-N4,[#6:19]-[#6:20](-[#8:21]-[#15:22])(-[H:90])-[H:91].[H]-[#16:44]-[#6:43]>>[#6:19]-[#6:20](-[#16:44]-[#6:43])(-[H:90])-[H:91].[H]-[#8:21]-[#15:22],"EVODEX.1-P2659,EVODEX.1-P2662,EVODEX.1-P2667,EVODEX.1-P2678,EVODEX.1-P2692,EVODEX.1-P2694,EVODEX.1-P2696,EVODEX.1-P2700,EVODEX.1-P2701,EVODEX.1-P2703,EVODEX.1-P2711,EVODEX.1-P2714,EVODEX.1-P2716,EVODEX.1-P2718,EVODEX.1-P2719,EVODEX.1-P2723,EVODEX.1-P2734,EVODEX.1-P2736,EVODEX.1-P2739,EVODEX.1-P2742,EVODEX.1-P2745,EVODEX.1-P2747,EVODEX.1-P2749,EVODEX.1-P2751,EVODEX.1-P2757",94254435786560126800733140648123872666185381018744757452364705424647068458285
EVODEX.1-N5,[H]-[#8]-[#15](=[#8])(-[#8]-[H])-[#8]-[#15](=[#8])(-[#8]-[H])-[#8]-[#6:20](-[#6:19])(-[H:94])-[H:95].[H]-[#16:40]-[#6:39]>>[#6:19]-[#6:20](-[#16:40]-[#6:39])(-[H:94])-[H:95],"EVODEX.1-P2660,EVODEX.1-P2661,EVODEX.1-P2669,EVODEX.1-P2670,EVODEX.1-P2675,EVODEX.1-P2676,EVODEX.1-P2684,EVODEX.1-P2693,EVODEX.1-P2695,EVODEX.1-P2697,EVODEX.1-P2699,EVODEX.1-P2708,EVODEX.1-P2709,EVODEX.1-P2713,EVODEX.1-P2715,EVODEX.1-P2720,EVODEX.1-P2721,EVODEX.1-P2725,EVODEX.1-P2726,EVODEX.1-P2730,EVODEX.1-P2743,EVODEX.1-P2744,EVODEX.1-P2746,EVODEX.1-P2748,EVODEX.1-P2758",87590138150885582465251518217396307892055120147156663672485803045654648364617
EVODEX.1-N6,[H]-[#16:34]-[#6:33]>>[H]-[#6](=[#6](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](=[#6](-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](=[#6](-[H])-[#6](-[H])(-[H])-[#16:34]-[#6:33])-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H],"EVODEX.1-P2663,EVODEX.1-P2664,EVODEX.1-P2691,EVODEX.1-P2698,EVODEX.1-P2702,EVODEX.1-P2704,EVODEX.1-P2705,EVODEX.1-P2706,EVODEX.1-P2707,EVODEX.1-P2710,EVODEX.1-P2712,EVODEX.1-P2717,EVODEX.1-P2722,EVODEX.1-P2724,EVODEX.1-P2727,EVODEX.1-P2728,EVODEX.1-P2729,EVODEX.1-P2731,EVODEX.1-P2732,EVODEX.1-P2733,EVODEX.1-P2735,EVODEX.1-P2737,EVODEX.1-P2738,EVODEX.1-P2740,EVODEX.1-P2741",23895790250792836321238594989554284367289782225470884623380634236486306947585
EVODEX.1-N7,[#8:7](-[#6@@:6](-[#6@@:5])(-[H:95])-[#8:32])-[#15:8].[H]-[#8:78]-[#6@:77]>>[#8:78](-[#6@@:6](-[#6@@:5])(-[H:95])-[#8:32])-[#6@:77].[H]-[#8:7]-[#15:8],"EVODEX.1-P2236,EVODEX.1-P2251,EVODEX.1-P2272,EVODEX.1-P2275,EVODEX.1-P2288,EVODEX.1-P2302,EVODEX.1-P2358,EVODEX.1-P2360,EVODEX.1-P2368,EVODEX.1-P2373,EVODEX.1-P2375,EVODEX.1-P2397,EVODEX.1-P2402,EVODEX.1-P2423,EVODEX.1-P2424,EVODEX.1-P2425,EVODEX.1-P2426,EVODEX.1-P2435,EVODEX.1-P2436,EVODEX.1-P2437,EVODEX.1-P2439,EVODEX.1-P2443,EVODEX.1-P2448,EVODEX.1-P2483",25719258833291162773356612058995449886913745784739688942505155852422808156527
EVODEX.1-N8,[H]-[#7:1](-[#6:2])-[H:60].[H]-[#8]-[#6:16](-[#6@@:13])=[#8:17]>>[#7:1](-[#6:2])(-[#6:16](-[#6@@:13])=[#8:17])-[H:60],"EVODEX.1-P4995,EVODEX.1-P5075,EVODEX.1-P5077,EVODEX.1-P5078,EVODEX.1-P5090,EVODEX.1-P5099,EVODEX.1-P5105,EVODEX.1-P5106,EVODEX.1-P5108,EVODEX.1-P5109,EVODEX.1-P5111,EVODEX.1-P5602,EVODEX.1-P5784,EVODEX.1-P5825,EVODEX.1-P6900,EVODEX.1-P6920,EVODEX.1-P7052,EVODEX.1-P7064,EVODEX.1-P7071,EVODEX.1-P7082,EVODEX.1-P7096,EVODEX.1-P7111",72750680313587378348024684060227468124090006364900171119347824860537956020341
EVODEX.1-N9,[H]-[#8:48]-[#6@:47]>>[H]-[#8]-[#6](-[H])(-[H])-[#6@@]1(-[H])-[#8]-[#6@@](-[H])(-[#8:48]-[#6@:47])-[#6@](-[H])(-[#8]-[H])-[#6@@](-[H])(-[#8]-[H])-[#6@]-1(-[H])-[#8]-[H],"EVODEX.1-P2222,EVODEX.1-P2223,EVODEX.1-P2224,EVODEX.1-P2267,EVODEX.1-P2268,EVODEX.1-P2315,EVODEX.1-P2318,EVODEX.1-P2320,EVODEX.1-P2325,EVODEX.1-P2346,EVODEX.1-P2347,EVODEX.1-P2361,EVODEX.1-P2379,EVODEX.1-P2385,EVODEX.1-P2389,EVODEX.1-P2393,EVODEX.1-P2404,EVODEX.1-P2409,EVODEX.1-P2411,EVODEX.1-P2418,EVODEX.1-P2447",59221864672677539203092487625271613547204222683913438658179259650255870946077
EVODEX.1-N10,[H]-[#8]-[#6@]1(-[H])-[#6@](-[H])(-[#8]-[#15](=[#8])(-[#8]-[H])-[#8]-[H])-[#6@@](-[H])(-[#6](-[H])(-[H])-[#8]-[#15](=[#8])(-[#8]-[H])-[#8]-[#15](=[#8])(-[#8]-[H])-[#8]-[#6](-[H])(-[H])-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[H])(-[H])-[H])-[#6@@](-[H])(-[#8]-[H])-[#6](=[#8])-[#7](-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](=[#8])-[#7](-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#16]-[#6:14](-[#6:13])=[#8:15])-[#8]-[#6@@]-1(-[H])-[#7]1:[#6](-[H]):[#7]:[#6]2:[#6](-[#7](-[H])-[H]):[#7]:[#6](-[H]):[#7]:[#6]:1:2.[H]-[#7:83](-[#6:82])-[H:189]>>[#6:13]-[#6:14](=[#8:15])-[#7:83](-[#6:82])-[H:189],"EVODEX.1-P1447,EVODEX.1-P1459,EVODEX.1-P1518,EVODEX.1-P1521,EVODEX.1-P1546,EVODEX.1-P1548,EVODEX.1-P1719,EVODEX.1-P1722,EVODEX.1-P1733,EVODEX.1-P1734,EVODEX.1-P1766,EVODEX.1-P1767,EVODEX.1-P1824,EVODEX.1-P1838,EVODEX.1-P2106,EVODEX.1-P2108,EVODEX.1-P2112,EVODEX.1-P2116,EVODEX.1-P2117",82318435253939878818937453305554596440039152692937816335111989927731779260830
