id,smirks,sources
EVODEX.0-C2,[O:45]=[C:46]>>[H][O:45][C:46][H],"EVODEX.0-P30,EVODEX.0-P40"
EVODEX.0-C5,[H][O:3][C:2]>>[H].[C:2]=[O:3],"EVODEX.0-P5,EVODEX.0-P16,EVODEX.0-P28,EVODEX.0-P38,EVODEX.0-P210,EVODEX.0-P252"
EVODEX.0-C7,[H][C:2]>>O=[C:2].[H],"EVODEX.0-P4206,EVODEX.0-P4493"
EVODEX.0-C16,[H][C:47].[H][O:45]>>[O:45][C:47],"EVODEX.0-P113,EVODEX.0-P292,EVODEX.0-P5281,EVODEX.0-P6698,EVODEX.0-P6817,EVODEX.0-P16858,EVODEX.0-P16873,EVODEX.0-P18658,EVODEX.0-P19710,EVODEX.0-P20206,EVODEX.0-P20212,EVODEX.0-P20228,EVODEX.0-P20284,EVODEX.0-P20325,EVODEX.0-P20432,EVODEX.0-P20444,EVODEX.0-P20507,EVODEX.0-P25337,EVODEX.0-P25348,EVODEX.0-P32262,EVODEX.0-P32454"
EVODEX.0-C18,[H][C:1]>>[H]O[C:1],"EVODEX.0-P115,EVODEX.0-P294,EVODEX.0-P6101,EVODEX.0-P6701,EVODEX.0-P6820,EVODEX.0-P6822"
EVODEX.0-C30,[H][S:48].[C:50]>>[S:48][C:50].[H],"EVODEX.0-P16863,EVODEX.0-P16878"
EVODEX.0-C206,[P:16].[H][O:34]>>[P:16][O:34].[H],"EVODEX.0-P6119,EVODEX.0-P6124,EVODEX.0-P6145,EVODEX.0-P23631,EVODEX.0-P24213"
EVODEX.0-C210,[H]OP(=O)(O[H])OP(=O)(O[H])O[P:16].[H][O:34]>>[P:16][O:34],"EVODEX.0-P18713,EVODEX.0-P29516"
EVODEX.0-C320,[H]N([H])[C:2][H]>>O=[C:2],"EVODEX.0-P4198,EVODEX.0-P4496"
EVODEX.0-C427,[H]N([H])[C:2].[H][O:10]>>[C:2][O:10],EVODEX.0-P5282
