id,smirks,sources
EVODEX.0-Cm2,[O:45]=[C:46]>>[H][O:45][C:46][H],"EVODEX.0-P30,EVODEX.0-P40"
EVODEX.0-Cm5,[H][O:3][C:2]>>.[C:2]=[O:3],"EVODEX.0-P5,EVODEX.0-P16,EVODEX.0-P28,EVODEX.0-P38,EVODEX.0-P210,EVODEX.0-P252"
EVODEX.0-Cm8,[H][C:2]>>O=[C:2],"EVODEX.0-P4206,EVODEX.0-P4493"
EVODEX.0-Cm21,[C:7].[H][O:1]>>.[O:1][C:7],"EVODEX.0-P113,EVODEX.0-P292,EVODEX.0-P5281,EVODEX.0-P6698,EVODEX.0-P6817,EVODEX.0-P16858,EVODEX.0-P16873,EVODEX.0-P18658,EVODEX.0-P19710,EVODEX.0-P20206,EVODEX.0-P20212,EVODEX.0-P20228,EVODEX.0-P20284,EVODEX.0-P20325,EVODEX.0-P20432,EVODEX.0-P20444,EVODEX.0-P20507,EVODEX.0-P25337,EVODEX.0-P25348,EVODEX.0-P32262,EVODEX.0-P32454"
EVODEX.0-Cm23,[H][C:1]>>O[C:1],"EVODEX.0-P115,EVODEX.0-P294,EVODEX.0-P6101,EVODEX.0-P6701,EVODEX.0-P6820,EVODEX.0-P6822"
EVODEX.0-Cm24,[H][O:1]>>C[O:1],"EVODEX.0-P10950,EVODEX.0-P14035,EVODEX.0-P18662,EVODEX.0-P20209,EVODEX.0-P20408,EVODEX.0-P20594"
EVODEX.0-Cm37,[H][S:48].[C:81]>>[S:48][C:81],"EVODEX.0-P16863,EVODEX.0-P16878"
EVODEX.0-Cm151,O[P:24]>>O[P:24],"EVODEX.0-P6119,EVODEX.0-P6124,EVODEX.0-P6145,EVODEX.0-P23631,EVODEX.0-P24213,EVODEX.0-P49533,EVODEX.0-P49562"
EVODEX.0-Cm153,O[P:64].[O:82]>>.[P:64][O:82],"EVODEX.0-P18713,EVODEX.0-P23596,EVODEX.0-P27245,EVODEX.0-P29516,EVODEX.0-P49536,EVODEX.0-P49565"
EVODEX.0-Cm223,[H][C:2]N>>O=[C:2],"EVODEX.0-P4198,EVODEX.0-P4496"
EVODEX.0-Cm236,[H][N:1]>>C[N:1],"EVODEX.0-P16778,EVODEX.0-P16794"
EVODEX.0-Cm241,N[C:11]>>O[C:11],"EVODEX.0-P37508,EVODEX.0-P37601"
EVODEX.0-Cm264,N[C:3].[H][O:1]>>[O:1][C:3],"EVODEX.0-P5282,EVODEX.0-P37507,EVODEX.0-P37600"
EVODEX.0-Cm267,[H][N:1].[C:44][O:46].[P:69]>>[N:1][C:44].[O:46][P:69],"EVODEX.0-P27701,EVODEX.0-P49526"
EVODEX.0-Cm269,[H][N:1].[C:44][O:46].O[P:69]>>[N:1][C:44].[O:46][P:69],"EVODEX.0-P49529,EVODEX.0-P51654"
EVODEX.0-Cm274,[C:2].[H][N:52]>>[C:2][N:52],"EVODEX.0-P16776,EVODEX.0-P16781,EVODEX.0-P16852,EVODEX.0-P17281"
EVODEX.0-Cm288,[H][O:32]>>P[O:32],"EVODEX.0-P6121,EVODEX.0-P6127"
EVODEX.0-Cm289,[H][O:10].[P:2]>>[P:2][O:10],EVODEX.0-P6157
EVODEX.0-Cm342,[H][C:6].[O:21]=[O:22]>>[H][O:21][C:6].[H][O:22]C,"EVODEX.0-P6699,EVODEX.0-P6818"
EVODEX.0-Cm357,O[C:6]>>O[C:6],"EVODEX.0-P33628,EVODEX.0-P33655"
EVODEX.0-Cm360,[H][O:1].O[C:6]>>[O:1][C:6],"EVODEX.0-P18660,EVODEX.0-P20354,EVODEX.0-P33626,EVODEX.0-P33631"
EVODEX.0-Cm701,S[C:2].[H][N:52]>>[C:2][N:52],"EVODEX.0-P16777,EVODEX.0-P16782"
EVODEX.0-Cm703,[#6:1]-[#16&+:2].[#85]-[#8:28]>>[#6:1]-[#8:28].[#16:2],"EVODEX.0-P14031,EVODEX.0-P14036"
EVODEX.0-Cm704,[#6:1]-[#16&+].[#85]-[#8:28]>>[#6:1]-[#8:28],"EVODEX.0-P14033,EVODEX.0-P14038,EVODEX.0-P16859,EVODEX.0-P16874"
EVODEX.0-Cm709,O[C:81]>>S[C:81],"EVODEX.0-P17011,EVODEX.0-P19825"
EVODEX.0-Cm786,[C:2]=[O:3].[H][C:8][N:7]>>[H][C:2][N:7].[O:3]=[C:8],"EVODEX.0-P25353,EVODEX.0-P25360"
EVODEX.0-Cm1312,[H][S:48].[P:64].[C:81][O:82]>>[S:48][C:81].[P:64][O:82],"EVODEX.0-P49531,EVODEX.0-P49560"
