id,smirks,sources
EVODEX.0-E289,[C:4][C:5](=[O:6])[N:7].[H][O:35][H:81]>>[C:4][C:5](=[O:6])[O:35][H:81].[H],"EVODEX.0-P5281,EVODEX.0-P5282"
EVODEX.0-E1264,[O:18][C@@:19]([O:20])([C:28])[H:53].[H][O:37][C:38]>>[C@:19]([O:20])([C:28])([O:37][C:38])[H:53].[H],"EVODEX.0-P18658,EVODEX.0-P20206"
EVODEX.0-E356,[O:23][P:24](=[O:25])([O:26])[O:27].[H][O:32][C:33]>>[H].[P:24](=[O:25])([O:26])([O:27])[O:32][C:33],"EVODEX.0-P6119,EVODEX.0-P6124"
EVODEX.0-E1266,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2:C([H]):C([H]):C(=O):N([H]):C:2=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[C@@:19]([O:20])([C:28])[H:53].[H][O:37][C:38]>>[C@:19]([O:20])([C:28])([O:37][C:38])[H:53],"EVODEX.0-P18660,EVODEX.0-P20354"
EVODEX.0-E358,[H][O:32][C:33]>>[H]OP(=O)(O[H])[O:32][C:33],"EVODEX.0-P6121,EVODEX.0-P6127"
EVODEX.0-E1267,[H][O:37][C:38]>>[H]OC([H])([H])[C@@]1([H])O[C@@]([H])([O:37][C:38])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],"EVODEX.0-P18662,EVODEX.0-P20209"
EVODEX.0-E1564,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2:C([H]):N:C3:C(N([H])[H]):N:C([H]):N:C:3:2)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[P:24](=[O:25])([O:26])[O:27].[H][O:32][C:33]>>[P:24](=[O:25])([O:26])([O:27])[O:32][C:33],"EVODEX.0-P23596,EVODEX.0-P27245"
EVODEX.0-E361,[O:15][P:16](=[O:17])([O:18])[O:19].[H][O:34][P:33]>>[O:15][P:16](=[O:17])([O:18])[O:34][P:33].[H],"EVODEX.0-P6145,EVODEX.0-P6157"
EVODEX.0-E759,[H][O:28][C:29]>>[H]C([H])([H])[O:28][C:29],"EVODEX.0-P10950,EVODEX.0-P14035"
EVODEX.0-E1458,[C:5][C:6]([C:7])([O:19])[H:29].[H][O:23][H:38]>>[C:5][C:6]([C:7])([O:23][H:38])[H:29].[H],"EVODEX.0-P20432,EVODEX.0-P20444"
