id,sources,smirks
EVODEX.0-E1,"EVODEX.0-P13,EVODEX.0-P2",[O:45]=[C:46]([C:47])[H:86]>>[H][O:45][C:46]([H])([C:47])[H:86]
EVODEX.0-E1055,"EVODEX.0-P16859,EVODEX.0-P16874",[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:2]([C:1])=[O:3])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[H][O:52][C:53]>>[C:1][C:2](=[O:3])[O:52][C:53]
EVODEX.0-E1079,"EVODEX.0-P17006,EVODEX.0-P17015",[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:49](=[O:50])[C:51])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1>>[H]O[C:49](=[O:50])[C:51]
EVODEX.0-E1081,"EVODEX.0-P17011,EVODEX.0-P19825",[H]O[C:81](=[O:80])[C:83]>>[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:81](=[O:80])[C:83])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1
EVODEX.0-E1384,EVODEX.0-P20235,[H]OC([H])([H])[C@@]1([H])O[C@]([H])([O:7][C:8])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]>>[H][O:7][C:8]
EVODEX.0-E1391,EVODEX.0-P20319,[O:13][C@:14]([O:15])([C:36])[C:39].[H][O:94][C:93]>>[O:13][C@:14]([C:36])([C:39])[O:94][C:93].[H][O:15]
EVODEX.0-E16,EVODEX.0-P294,[H][C:47](=[O:46])[C:48]>>[H]O[C:47](=[O:46])[C:48]
EVODEX.0-E1601,EVODEX.0-P24485,[C:4][C:5]([O:6])([H:42])[H:43].[H][C:28](:[C:27]):[C:29]>>[C:4][C:5]([C:28](:[C:27]):[C:29])([H:42])[H:43].[H][O:6]
EVODEX.0-E2,"EVODEX.0-P16,EVODEX.0-P5",[H][C:4]([C:2])([O:5][H])[H:61]>>[C:2][C:4](=[O:5])[H:61]
EVODEX.0-E2008,"EVODEX.0-P31348,EVODEX.0-P31354",[O:19][S:20](=[O:21])(=[O:22])[O:23].[H][O:32][C:33]>>[H][O:19].[S:20](=[O:21])(=[O:22])([O:23])[O:32][C:33]
EVODEX.0-E2150,EVODEX.0-P33718,[H]OP(=O)(O[H])O[C@:12]([C:10])([C:18])[H:57]>>[H]O[C@:12]([C:10])([C:18])[H:57]
EVODEX.0-E257,EVODEX.0-P4508,[H]N([H])[C:2]([H])([C:3])[H:14]>>O=[C:2]([C:3])[H:14]
EVODEX.0-E2847,"EVODEX.0-P46793,EVODEX.0-P46802",[H][O:5][C@@:4]([C:3])([C:6])[H:17]>>[C:4](=[O:5])([C:6])[H:17].[H][C:3]
EVODEX.0-E3294,EVODEX.0-P51692,[H][N:1]([C:2])[H:81].[C:43][C:44](=[O:45])[O:46]>>[N:1]([C:2])([C:44]([C:43])=[O:45])[H:81].[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2:C([H]):N:C3:C(N([H])[H]):N:C([H]):N:C:3:2)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])[O:46]
EVODEX.0-E366,"EVODEX.0-P6101,EVODEX.0-P6701",[H][C:6](:[C:5]):[C:7]>>[H]O[C:6](:[C:5]):[C:7]
EVODEX.0-E436,"EVODEX.0-P6820,EVODEX.0-P6822",[H][C:6]([C:5])([C:7])[H:34]>>[H]O[C@@:6]([C:5])([C:7])[H:34]
EVODEX.0-E5,"EVODEX.0-P28,EVODEX.0-P38",[H][C:2]([C:1])([O:3][H])[C:4]>>[C:1][C:2](=[O:3])[C:4]
EVODEX.0-E519,"EVODEX.0-P7720,EVODEX.0-P7738",[H][C:6]([C:5])([C:7])[H:34].[H]OC(=O)[C:16]([C:15])=[O:17]>>[H]O[C@@:6]([C:5])([C:7])[H:34].[H]O[C:16]([C:15])=[O:17]
EVODEX.0-E6,"EVODEX.0-P30,EVODEX.0-P40",[C:1][C:2](=[O:3])[C:4]>>[H][C@@:2]([C:1])([O:3][H])[C:4]
EVODEX.0-E7,"EVODEX.0-P141,EVODEX.0-P32",[O:45]=[C:46][C:48](=[O:49])[C:50]>>[H][C:48]([C:46]=[O:45])([O:49][H])[C:50]
EVODEX.0-E75,EVODEX.0-P1676,[H]OC(=O)[C@@:2]([N:1])([C:3])[H:12]>>[H][C:2]([N:1])([C:3])[H:12]
EVODEX.0-E8,"EVODEX.0-P143,EVODEX.0-P34",[H][C:48]([C:46]=[O:45])([O:49][H])[C:50]>>[O:45]=[C:46][C:48](=[O:49])[C:50]
