id,smirks,sources
EVODEX.0-Em1,[O:45]=[C:46]([C:47])[H:86]>>[H][O:45][C:46]([H])([C:47])[H:86],"EVODEX.0-P2,EVODEX.0-P13"
EVODEX.0-Em2,[H][C:4]([C:2])([O:5][H])[H:61]>>[C:2][C:4](=[O:5])[H:61],"EVODEX.0-P5,EVODEX.0-P16"
EVODEX.0-Em5,[H][C:2]([C:1])([O:3][H])[C:4]>>[C:1][C:2](=[O:3])[C:4],"EVODEX.0-P28,EVODEX.0-P38"
EVODEX.0-Em6,[C:1][C:2](=[O:3])[C:4]>>[H][C:2]([C:1])([O:3][H])[C:4],"EVODEX.0-P30,EVODEX.0-P40"
EVODEX.0-Em7,[O:45]=[C:46][C:48](=[O:49])[C:50]>>[H][C:48]([C:46]=[O:45])([O:49][H])[C:50],"EVODEX.0-P32,EVODEX.0-P141"
EVODEX.0-Em8,[H][C:48]([C:46]=[O:45])([O:49][H])[C:50]>>[O:45]=[C:46][C:48](=[O:49])[C:50],"EVODEX.0-P34,EVODEX.0-P143"
EVODEX.0-Em17,[H][C:47](=[O:46])[C:48].[H][O:45][H:88]>>[O:45]([C:47](=[O:46])[C:48])[H:88],"EVODEX.0-P113,EVODEX.0-P292"
EVODEX.0-Em18,[H][C:47](=[O:46])[C:48]>>O[C:47](=[O:46])[C:48],"EVODEX.0-P115,EVODEX.0-P294"
EVODEX.0-Em31,[H][O:3][C:2](=[O:1])[C:4]>>[C:4].[O:1]=[C:2]=[O:3],"EVODEX.0-P210,EVODEX.0-P252"
EVODEX.0-Em76,C[O:7][C:8]>>[H][O:7][C:8],"EVODEX.0-P8764,EVODEX.0-P8787,EVODEX.0-P20213,EVODEX.0-P20235"
EVODEX.0-Em80,[H][O:18][C:17]>>C[O:18][C:17],"EVODEX.0-P10950,EVODEX.0-P14035,EVODEX.0-P16860,EVODEX.0-P16875,EVODEX.0-P18662,EVODEX.0-P20209,EVODEX.0-P20408,EVODEX.0-P20594"
EVODEX.0-Em82,[H][C:1]([C:2])([H:73])[H:74]>>O[C:1]([C:2])([H:73])[H:74],"EVODEX.0-P7863,EVODEX.0-P7928"
EVODEX.0-Em85,C[C:2]([N:1])([C:3])[H:12]>>[H][C:2]([N:1])([C:3])[H:12],"EVODEX.0-P1676,EVODEX.0-P25713"
EVODEX.0-Em173,[O:63][P:64](=[O:65])([O:66])[O:67].[C:81][O:82][H:142]>>[C:81].[O:63][P:64](=[O:65])([O:66])[O:82][H:142].[O:67],"EVODEX.0-P49533,EVODEX.0-P49562"
EVODEX.0-Em175,O[P:64]([O:63])(=[O:65])[O:66].[C:81][O:82][H:142]>>[C:81].[O:63][P:64](=[O:65])([O:66])[O:82][H:142],"EVODEX.0-P49536,EVODEX.0-P49565"
EVODEX.0-Em252,[H][C:5](N)([C:4])[C:7]=[O:8]>>O=[C:5]([C:4])[C:7]=[O:8],"EVODEX.0-P4198,EVODEX.0-P4246"
EVODEX.0-Em255,[H][C:5]([C:4])([N:6])[C:7]=[O:8].[H][O:10][H]>>[C:4][C:5]([C:7]=[O:8])=[O:10].[N:6],"EVODEX.0-P4202,EVODEX.0-P4247"
EVODEX.0-Em256,[H][C:2]([N:1])([C:3])[C:8]=[O:9]>>O=[C:2]([C:3])[C:8]=[O:9].[N:1],"EVODEX.0-P4206,EVODEX.0-P4243"
EVODEX.0-Em278,N[C:11](=[O:12])[C:13]>>O[C:11](=[O:12])[C:13],"EVODEX.0-P4481,EVODEX.0-P26782,EVODEX.0-P37508,EVODEX.0-P37601"
EVODEX.0-Em280,[H][C:2]([N:1])([C:3])[H:19]>>O=[C:2]([C:3])[H:19].[N:1],"EVODEX.0-P4493,EVODEX.0-P4505"
EVODEX.0-Em282,[H][C:2](N)([C:3])[H:14]>>O=[C:2]([C:3])[H:14],"EVODEX.0-P4496,EVODEX.0-P4508"
EVODEX.0-Em283,[H][C:2]([N:1])([C:3])[H:14].[H][O:9][H]>>[C:2]([C:3])(=[O:9])[H:14].[N:1],"EVODEX.0-P4497,EVODEX.0-P4509"
EVODEX.0-Em286,[H][N:28]([C:29])[H:61]>>C[N:28]([C:29])[H:61],"EVODEX.0-P16778,EVODEX.0-P16794"
EVODEX.0-Em287,C[N:4]([C:5])[H:17]>>[H][N:4]([C:5])[H:17],"EVODEX.0-P17311,EVODEX.0-P17316"
EVODEX.0-Em317,[C:4][C:5](=[O:6])[N:7].[H][O:35][H:81]>>[C:4][C:5](=[O:6])[O:35][H:81].[N:7],"EVODEX.0-P5281,EVODEX.0-P17326"
EVODEX.0-Em318,N[C:3](=[O:2])[C:4].[H][O:1][H:48]>>[O:1]([C:3](=[O:2])[C:4])[H:48],"EVODEX.0-P5282,EVODEX.0-P37507,EVODEX.0-P37600,EVODEX.0-P37645"
EVODEX.0-Em351,[H][C:6](:[C:5]):[C:7]>>O[C:6](:[C:5]):[C:7],"EVODEX.0-P6101,EVODEX.0-P6701"
EVODEX.0-Em353,[O:23][P:24](=[O:25])([O:26])[O:27].[H][O:32][C:33]>>[O:23].[P:24](=[O:25])([O:26])([O:27])[O:32][C:33],"EVODEX.0-P6119,EVODEX.0-P6124"
EVODEX.0-Em354,O[P:24](=[O:25])([O:26])[O:27].[H][O:32][C:33]>>[P:24](=[O:25])([O:26])([O:27])[O:32][C:33],"EVODEX.0-P7620,EVODEX.0-P7626,EVODEX.0-P7632,EVODEX.0-P23596,EVODEX.0-P27245,EVODEX.0-P27422"
EVODEX.0-Em355,[H][O:32][C:33]>>P[O:32][C:33],"EVODEX.0-P6121,EVODEX.0-P6127"
EVODEX.0-Em356,P[O:10][C:9]>>[H][O:10][C:9],"EVODEX.0-P6122,EVODEX.0-P6125"
EVODEX.0-Em357,[O:15][P:16](=[O:17])([O:18])[O:19].[H][O:34][P:33]>>[O:15][P:16](=[O:17])([O:18])[O:34][P:33].[O:19],"EVODEX.0-P6145,EVODEX.0-P7636"
EVODEX.0-Em358,O[P:16]([O:15])(=[O:17])[O:18].[H][O:34][P:33]>>[O:15][P:16](=[O:17])([O:18])[O:34][P:33],"EVODEX.0-P18713,EVODEX.0-P29516"
EVODEX.0-Em425,[O:49]=[O:50].[H][C:53](:[C:52]):[C:54]>>[H][O:50][H].[H][O:49][C:53](:[C:52]):[C:54],"EVODEX.0-P6698,EVODEX.0-P6703"
