id,mass,sources
EVODEX.0-M2,2.01566,"EVODEX.0-P30,EVODEX.0-P40"
EVODEX.0-M4,-2.01566,"EVODEX.0-P28,EVODEX.0-P113,EVODEX.0-P38,EVODEX.0-P16,EVODEX.0-P5,EVODEX.0-P292"
EVODEX.0-M14,15.9949,"EVODEX.0-P6822,EVODEX.0-P4206,EVODEX.0-P6101,EVODEX.0-P6820,EVODEX.0-P4493,EVODEX.0-P6701,EVODEX.0-P115,EVODEX.0-P294"
EVODEX.0-M23,0.0,"EVODEX.0-P210,EVODEX.0-P252"
EVODEX.0-M25,-767.11548,"EVODEX.0-P16777,EVODEX.0-P16874,EVODEX.0-P16782,EVODEX.0-P16859"
EVODEX.0-M26,42.01056,"EVODEX.0-P16778,EVODEX.0-P16794"
EVODEX.0-M55,162.0528,"EVODEX.0-P18662,EVODEX.0-P20209"
EVODEX.0-M111,-18.010559999999998,"EVODEX.0-P6699,EVODEX.0-P6818"
EVODEX.0-M351,-1.0316900000000002,"EVODEX.0-P4198,EVODEX.0-P4496"
EVODEX.0-M428,-17.02659,EVODEX.0-P5282
EVODEX.0-M444,-157.05281,"EVODEX.0-P37508,EVODEX.0-P37601"
EVODEX.0-M511,-97.97689,"EVODEX.0-P33631,EVODEX.0-P33626"
EVODEX.0-M513,-79.96633,"EVODEX.0-P33628,EVODEX.0-P33655"
EVODEX.0-M514,-427.02955,"EVODEX.0-P23596,EVODEX.0-P27245"
EVODEX.0-M520,79.96633,"EVODEX.0-P6127,EVODEX.0-P6121"
EVODEX.0-M567,14.01566,"EVODEX.0-P10950,EVODEX.0-P14035"
EVODEX.0-M831,-177.94322,"EVODEX.0-P29516,EVODEX.0-P18713"
EVODEX.0-M936,203.07939,"EVODEX.0-P20594,EVODEX.0-P20408"
EVODEX.0-M1412,-385.12963,"EVODEX.0-P14033,EVODEX.0-P14038"
EVODEX.0-M1658,749.10492,"EVODEX.0-P19825,EVODEX.0-P17011"
EVODEX.0-M1811,-404.00222,"EVODEX.0-P20354,EVODEX.0-P18660"
EVODEX.0-M2095,-175.06337,"EVODEX.0-P37600,EVODEX.0-P37507"
