id,formula,sources,mass
EVODEX.0-M2,{'H': 2},"EVODEX.0-P2,EVODEX.0-P13,EVODEX.0-P30,EVODEX.0-P32,EVODEX.0-P40,EVODEX.0-P141",2.01566
EVODEX.0-M3,{'H': -1},"EVODEX.0-P14031,EVODEX.0-P14036",-1.00783
EVODEX.0-M4,{'H': -2},"EVODEX.0-P5,EVODEX.0-P16,EVODEX.0-P28,EVODEX.0-P34,EVODEX.0-P38,EVODEX.0-P113,EVODEX.0-P143,EVODEX.0-P292,EVODEX.0-P4202,EVODEX.0-P4247,EVODEX.0-P4497,EVODEX.0-P4509",-2.01566
EVODEX.0-M14,{'O': 1},"EVODEX.0-P115,EVODEX.0-P294,EVODEX.0-P4206,EVODEX.0-P4243,EVODEX.0-P4493,EVODEX.0-P4505,EVODEX.0-P6101,EVODEX.0-P6701,EVODEX.0-P6820,EVODEX.0-P6822,EVODEX.0-P7863,EVODEX.0-P7928",15.9949
EVODEX.0-M23,{},"EVODEX.0-P210,EVODEX.0-P252,EVODEX.0-P5281,EVODEX.0-P6119,EVODEX.0-P6124,EVODEX.0-P6145,EVODEX.0-P6698,EVODEX.0-P6703,EVODEX.0-P6817,EVODEX.0-P6825,EVODEX.0-P7636,EVODEX.0-P7707,EVODEX.0-P7726,EVODEX.0-P16776,EVODEX.0-P16781,EVODEX.0-P16858,EVODEX.0-P16873,EVODEX.0-P17004,EVODEX.0-P17013,EVODEX.0-P17326,EVODEX.0-P18658,EVODEX.0-P19710,EVODEX.0-P20206,EVODEX.0-P20212,EVODEX.0-P20228,EVODEX.0-P20284,EVODEX.0-P20313,EVODEX.0-P20319,EVODEX.0-P20325,EVODEX.0-P20432,EVODEX.0-P20444,EVODEX.0-P20507,EVODEX.0-P23631,EVODEX.0-P24213,EVODEX.0-P24475,EVODEX.0-P24485,EVODEX.0-P25337,EVODEX.0-P25348,EVODEX.0-P25353,EVODEX.0-P25360,EVODEX.0-P25550,EVODEX.0-P25558,EVODEX.0-P27701,EVODEX.0-P31348,EVODEX.0-P31354,EVODEX.0-P32262,EVODEX.0-P32454,EVODEX.0-P39159,EVODEX.0-P41326,EVODEX.0-P46793,EVODEX.0-P46802,EVODEX.0-P49526,EVODEX.0-P49531,EVODEX.0-P49560",0.0
EVODEX.0-M24,"{'O': -1, 'C': -2, 'H': -2}","EVODEX.0-P17311,EVODEX.0-P17316",-42.01056
EVODEX.0-M25,"{'P': -3, 'O': -16, 'C': -21, 'N': -7, 'S': -1, 'H': -36}","EVODEX.0-P16777,EVODEX.0-P16782,EVODEX.0-P16859,EVODEX.0-P16874",-767.1154799999999
EVODEX.0-M26,"{'O': 1, 'C': 2, 'H': 2}","EVODEX.0-P16778,EVODEX.0-P16794,EVODEX.0-P16860,EVODEX.0-P16875",42.01056
EVODEX.0-M28,"{'O': -2, 'C': -1}","EVODEX.0-P1676,EVODEX.0-P7710,EVODEX.0-P7729,EVODEX.0-P25713",-43.9898
EVODEX.0-M53,"{'O': -5, 'C': -6, 'H': -10}","EVODEX.0-P20213,EVODEX.0-P20235",-162.0528
EVODEX.0-M54,"{'O': 5, 'C': 6, 'H': 10}","EVODEX.0-P18662,EVODEX.0-P20209",162.0528
EVODEX.0-M106,{'O': 2},"EVODEX.0-P7713,EVODEX.0-P7732",31.9898
EVODEX.0-M109,"{'O': -1, 'H': -2}","EVODEX.0-P6699,EVODEX.0-P6704,EVODEX.0-P6818,EVODEX.0-P6833,EVODEX.0-P17010,EVODEX.0-P19824,EVODEX.0-P27710,EVODEX.0-P37758",-18.010559999999998
EVODEX.0-M112,"{'O': 1, 'H': 2}",EVODEX.0-P42365,18.010559999999998
EVODEX.0-M309,"{'O': 3, 'C': 4, 'H': 6}","EVODEX.0-P7712,EVODEX.0-P7731",102.03168
EVODEX.0-M349,"{'O': 1, 'N': -1, 'H': -3}","EVODEX.0-P4198,EVODEX.0-P4246,EVODEX.0-P4496,EVODEX.0-P4508",-1.0316900000000002
EVODEX.0-M393,"{'O': 1, 'N': -1, 'H': -1}","EVODEX.0-P4481,EVODEX.0-P26782,EVODEX.0-P42351",0.9839699999999996
EVODEX.0-M416,"{'O': -2, 'C': -4, 'H': -6}","EVODEX.0-P7714,EVODEX.0-P7733",-86.03678000000001
EVODEX.0-M425,"{'N': -1, 'H': -3}","EVODEX.0-P5282,EVODEX.0-P37645,EVODEX.0-P42350,EVODEX.0-P42360",-17.02659
EVODEX.0-M442,"{'O': -1, 'N': -1, 'C': -10, 'H': -7}","EVODEX.0-P37508,EVODEX.0-P37601",-157.05281
EVODEX.0-M508,"{'P': -1, 'O': -4, 'H': -3}","EVODEX.0-P23632,EVODEX.0-P31092,EVODEX.0-P33626,EVODEX.0-P33631,EVODEX.0-P33659,EVODEX.0-P33717,EVODEX.0-P49529,EVODEX.0-P51654",-97.97689
EVODEX.0-M510,"{'P': -1, 'O': -3, 'H': -1}","EVODEX.0-P6122,EVODEX.0-P6125,EVODEX.0-P33628,EVODEX.0-P33655,EVODEX.0-P33661,EVODEX.0-P33718",-79.96633
EVODEX.0-M511,"{'P': -2, 'O': -10, 'N': -5, 'C': -10, 'H': -15}","EVODEX.0-P23596,EVODEX.0-P27245,EVODEX.0-P31349,EVODEX.0-P31355,EVODEX.0-P49527,EVODEX.0-P51657",-427.02955
EVODEX.0-M517,"{'P': 1, 'O': 3, 'H': 1}","EVODEX.0-P6121,EVODEX.0-P6127",79.96633
EVODEX.0-M561,"{'C': -1, 'H': -2}","EVODEX.0-P8764,EVODEX.0-P8787",-14.01566
EVODEX.0-M562,{'C': -1},"EVODEX.0-P7720,EVODEX.0-P7738",-12.0
EVODEX.0-M563,"{'C': 1, 'H': 2}","EVODEX.0-P10950,EVODEX.0-P14035",14.01566
EVODEX.0-M612,"{'P': 1, 'O': 6, 'N': 5, 'C': 10, 'H': 12}","EVODEX.0-P49539,EVODEX.0-P49597",329.05266
EVODEX.0-M638,"{'O': 3, 'S': 1}","EVODEX.0-P31350,EVODEX.0-P31356",79.9568
EVODEX.0-M661,"{'P': 3, 'O': 16, 'N': 7, 'C': 21, 'S': 1, 'H': 36}","EVODEX.0-P49533,EVODEX.0-P49562",767.1154799999999
EVODEX.0-M825,"{'P': -2, 'O': -7, 'H': -4}","EVODEX.0-P7620,EVODEX.0-P7632,EVODEX.0-P18713,EVODEX.0-P24476,EVODEX.0-P24486,EVODEX.0-P29516,EVODEX.0-P49532,EVODEX.0-P49561",-177.94322
EVODEX.0-M826,"{'P': 2, 'O': 9, 'C': 10, 'N': 5, 'H': 13}","EVODEX.0-P51658,EVODEX.0-P51692",409.01899
EVODEX.0-M830,"{'P': -1, 'O': -7, 'N': -5, 'C': -10, 'H': -14}","EVODEX.0-P7626,EVODEX.0-P27422,EVODEX.0-P49534,EVODEX.0-P49595",-347.06322
EVODEX.0-M845,"{'O': -4, 'C': -4, 'H': -6}","EVODEX.0-P7709,EVODEX.0-P7728",-118.02658
EVODEX.0-M931,"{'O': 5, 'C': 8, 'N': 1, 'H': 13}","EVODEX.0-P20408,EVODEX.0-P20594",203.07939
EVODEX.0-M1416,"{'S': -1, 'O': -5, 'N': -6, 'C': -14, 'H': -21}","EVODEX.0-P14033,EVODEX.0-P14038",-385.12963
EVODEX.0-M1651,"{'P': 1, 'O': 9, 'N': 7, 'C': 21, 'S': 1, 'H': 32}","EVODEX.0-P49536,EVODEX.0-P49565",589.1722599999998
EVODEX.0-M1665,"{'P': -3, 'O': -15, 'C': -21, 'N': -7, 'S': -1, 'H': -34}","EVODEX.0-P17006,EVODEX.0-P17015",-749.10492
EVODEX.0-M1666,"{'P': 3, 'O': 15, 'C': 21, 'N': 7, 'S': 1, 'H': 34}","EVODEX.0-P17011,EVODEX.0-P19825",749.10492
EVODEX.0-M1820,"{'P': -2, 'O': -12, 'C': -9, 'N': -2, 'H': -14}","EVODEX.0-P18660,EVODEX.0-P20354",-404.00222
EVODEX.0-M1992,"{'P': -2, 'O': -11, 'N': -5, 'C': -10, 'H': -15}","EVODEX.0-P20379,EVODEX.0-P20402",-443.02445
EVODEX.0-M2103,"{'O': -2, 'C': -10, 'N': -1, 'H': -9}","EVODEX.0-P37507,EVODEX.0-P37600",-175.06337
EVODEX.0-M3547,"{'P': 2, 'O': 9, 'N': 2, 'C': 11, 'S': 1, 'H': 22}","EVODEX.0-P49537,EVODEX.0-P49603",420.05226
