id,smirks,sources
EVODEX.0-N1,[O:45]=[C:46]([C:47])[H:86]>>[H][O:45][C:46]([H])([C:47])[H:86],"EVODEX.0-P2,EVODEX.0-P13"
EVODEX.0-N2,[H][C:3]([C:2])([O:4][H])[H:56]>>[C:2][C:3](=[O:4])[H:56],"EVODEX.0-P5,EVODEX.0-P16"
EVODEX.0-N3,[H][C@@:6]([C:5])([O:7][H])[C:8]>>[C:5][C:6](=[O:7])[C:8],"EVODEX.0-P28,EVODEX.0-P34,EVODEX.0-P38,EVODEX.0-P143"
EVODEX.0-N4,[C:1][C:2](=[O:3])[C:4]>>[H][C@@:2]([C:1])([O:3][H])[C:4],"EVODEX.0-P30,EVODEX.0-P32,EVODEX.0-P40,EVODEX.0-P141"
EVODEX.0-N11,[H][C:47](=[O:46])[C:48].[H][O:45][H:90]>>[O:45]([C:47](=[O:46])[C:48])[H:90],"EVODEX.0-P113,EVODEX.0-P292"
EVODEX.0-N12,[H][C:47](=[O:46])[C:48]>>[H]O[C:47](=[O:46])[C:48],"EVODEX.0-P115,EVODEX.0-P294"
EVODEX.0-N22,[H][O:3][C:2](=[O:1])[C:4]>>[O:1]=[C:2]=[O:3].[H][C:4],"EVODEX.0-P210,EVODEX.0-P252"
EVODEX.0-N59,[H]OC(=O)[C@@:2]([N:1])([C:3])[H:12]>>[H][C:2]([N:1])([C:3])[H:12],"EVODEX.0-P1676,EVODEX.0-P25713"
EVODEX.0-N190,[H]N([H])[C@@:5]([H])([C:4])[C:7]>>O=[C:5]([C:4])[C:7],"EVODEX.0-P4198,EVODEX.0-P4246"
EVODEX.0-N192,[H][C@@:5]([C:4])([N:6])[C:7].[H][O:54][H]>>[C:4][C:5]([C:7])=[O:54].[H][N:6],"EVODEX.0-P4202,EVODEX.0-P4247"
EVODEX.0-N193,[H][C@@:5]([C:4])([N:6])[C:7]>>O=[C:5]([C:4])[C:7].[H][N:6],"EVODEX.0-P4206,EVODEX.0-P4243"
EVODEX.0-N198,[H][C:2]([N:1])([C:3])[H:14]>>O=[C:2]([C:3])[H:14].[H][N:1],"EVODEX.0-P4493,EVODEX.0-P4505"
EVODEX.0-N200,[H]N([H])[C:2]([H])([C:3])[H:14]>>O=[C:2]([C:3])[H:14],"EVODEX.0-P4496,EVODEX.0-P4508"
EVODEX.0-N201,[H][C:2]([N:1])([C:3])[H:14].[H][O:9][H]>>[C:2]([C:3])(=[O:9])[H:14].[H][N:1],"EVODEX.0-P4497,EVODEX.0-P4509"
EVODEX.0-N206,[H]N([H])[C:2](=[O:3])[C:4]>>[H]O[C:2](=[O:3])[C:4],"EVODEX.0-P4481,EVODEX.0-P26782"
EVODEX.0-N244,[C:4][C:5](=[O:6])[N:7].[H][O:35][H:81]>>[C:4][C:5](=[O:6])[O:35][H:81].[H][N:7],"EVODEX.0-P5281,EVODEX.0-P17326"
EVODEX.0-N245,[H]N([H])[C:2](=[O:3])[C:4].[H][O:10][H:16]>>[C:2](=[O:3])([C:4])[O:10][H:16],"EVODEX.0-P5282,EVODEX.0-P37645"
EVODEX.0-N307,[H][C:6](:[C:5]):[C:7]>>[H]O[C:6](:[C:5]):[C:7],"EVODEX.0-P6101,EVODEX.0-P6701"
EVODEX.0-N309,[O:23][P:24](=[O:25])([O:26])[O:27].[H][O:32][C:33]>>[H][O:23].[P:24](=[O:25])([O:26])([O:27])[O:32][C:33],"EVODEX.0-P6119,EVODEX.0-P6124"
