id,smirks,sources
EVODEX.0-Nm2,[H][C:10]([C:9])[O:11][H]>>[C:9][C:10]=[O:11],"EVODEX.0-P5,EVODEX.0-P16"
EVODEX.0-Nm3,[H][C:2]([C:1])([O:3][H])[C:4]>>[C:1][C:2](=[O:3])[C:4],"EVODEX.0-P28,EVODEX.0-P38"
EVODEX.0-Nm4,[C:1][C:2](=[O:3])[C:4]>>[H][C:2]([C:1])([O:3][H])[C:4],"EVODEX.0-P30,EVODEX.0-P40"
EVODEX.0-Nm13,[H][C:47](=[O:46])[C:48].[H][O:45]>>[O:45][C:47](=[O:46])[C:48],"EVODEX.0-P113,EVODEX.0-P292"
EVODEX.0-Nm14,[H][C:47](=[O:46])[C:48]>>[H]O[C:47](=[O:46])[C:48],"EVODEX.0-P115,EVODEX.0-P294"
EVODEX.0-Nm25,[H][O:3][C:2](=[O:1])[C:4]>>.[O:1]=[C:2]=[O:3],"EVODEX.0-P210,EVODEX.0-P252"
EVODEX.0-Nm155,[O:63][P:64](=[O:65])([O:66])[O:67].[C:81][O:82]>>.[O:63][P:64](=[O:65])([O:66])[O:82],"EVODEX.0-P49533,EVODEX.0-P49562"
EVODEX.0-Nm157,PO[P:64]([O:63])(=[O:65])[O:66].[C:81][O:82]>>.[O:63][P:64](=[O:65])([O:66])[O:82],"EVODEX.0-P49536,EVODEX.0-P49565"
EVODEX.0-Nm215,[H][C:2]([N:1])([C:3])[C:8]>>O=[C:2]([C:3])[C:8],"EVODEX.0-P4198,EVODEX.0-P4206"
EVODEX.0-Nm224,[H][C:2]([N:1])[C:3]>>O=[C:2][C:3],"EVODEX.0-P4493,EVODEX.0-P4496"
EVODEX.0-Nm269,[C:1][C:2](=[O:3])[N:4].[H][O:13]>>[C:1][C:2](=[O:3])[O:13],"EVODEX.0-P5281,EVODEX.0-P5282"
EVODEX.0-Nm316,[H][C:6](:[C:5]):[C:7]>>[H]O[C:6](:[C:5]):[C:7],"EVODEX.0-P6101,EVODEX.0-P6701"
EVODEX.0-Nm319,[O:23][P:24](=[O:25])([O:26])[O:27].[H][O:32][C:33]>>.[P:24](=[O:25])([O:26])([O:27])[O:32][C:33],"EVODEX.0-P6119,EVODEX.0-P6124"
EVODEX.0-Nm321,[H][O:32][C:33]>>OP(O)(=O)[O:32][C:33],"EVODEX.0-P6121,EVODEX.0-P6127"
EVODEX.0-Nm324,PO[P:24](=[O:25])([O:26])[O:27].[H][O:32][C:33]>>[P:24](=[O:25])([O:26])([O:27])[O:32][C:33],"EVODEX.0-P23596,EVODEX.0-P27245"
