id,smirks,sources
EVODEX.0-P1,[C:1]([C:2](=[O:3])[H:51])([H:48])([H:49])[H:50].[H][C:47]1([H:79])[C:7]([C:5]([N:4]([H:52])[H:53])=[O:6])=[C:8]([H:54])[N:9]([C@:10]2([H:55])[O:11][C@@:12]([C:13]([O:14][P:15](=[O:16])([O:17][H:59])[O:18][P:19](=[O:20])([O:21][H:60])[O:22][C:23]([C@@:24]3([H:63])[O:25][C@:26]([N:27]4:[C:28]([H:65]):[N:29]:[C:30]5:[C:31]([N:32]([H:66])[H:67]):[N:33]:[C:34]([H:68]):[N:35]:[C:36]:4:5)([H:64])[C@@:37]([O:38][H:70])([H:69])[C@@:39]3([O:40][H:72])[H:71])([H:61])[H:62])([H:57])[H:58])([H:56])[C@:41]([O:42][H:74])([H:73])[C@:43]2([O:44][H:76])[H:75])[C:45]([H:77])=[C:46]1[H:78]>>[H][C:2]([C:1]([H:48])([H:49])[H:50])([O:3][H])[H:51].[N:4]([C:5](=[O:6])[C:7]1:[C:8]([H:54]):[N+:9]([C@:10]2([H:55])[O:11][C@@:12]([C:13]([O:14][P:15](=[O:16])([O:17][H:59])[O:18][P:19](=[O:20])([O:21][H:60])[O:22][C:23]([C@@:24]3([H:63])[O:25][C@:26]([N:27]4:[C:28]([H:65]):[N:29]:[C:30]5:[C:31]([N:32]([H:66])[H:67]):[N:33]:[C:34]([H:68]):[N:35]:[C:36]:4:5)([H:64])[C@@:37]([O:38][H:70])([H:69])[C@@:39]3([O:40][H:72])[H:71])([H:61])[H:62])([H:57])[H:58])([H:56])[C@:41]([O:42][H:74])([H:73])[C@:43]2([O:44][H:76])[H:75]):[C:45]([H:77]):[C:46]([H:78]):[C:47]:1[H:79])([H:52])[H:53],EVODEX.0-R1
EVODEX.0-P2,[C:1]([C:2](=[O:3])[H:51])([H:48])([H:49])[H:50]>>[H][C:2]([C:1]([H:48])([H:49])[H:50])([O:3][H])[H:51],EVODEX.0-R1
EVODEX.0-P3,[H][C:47]1([H:79])[C:7]([C:5]([N:4]([H:52])[H:53])=[O:6])=[C:8]([H:54])[N:9]([C@:10]2([H:55])[O:11][C@@:12]([C:13]([O:14][P:15](=[O:16])([O:17][H:59])[O:18][P:19](=[O:20])([O:21][H:60])[O:22][C:23]([C@@:24]3([H:63])[O:25][C@:26]([N:27]4:[C:28]([H:65]):[N:29]:[C:30]5:[C:31]([N:32]([H:66])[H:67]):[N:33]:[C:34]([H:68]):[N:35]:[C:36]:4:5)([H:64])[C@@:37]([O:38][H:70])([H:69])[C@@:39]3([O:40][H:72])[H:71])([H:61])[H:62])([H:57])[H:58])([H:56])[C@:41]([O:42][H:74])([H:73])[C@:43]2([O:44][H:76])[H:75])[C:45]([H:77])=[C:46]1[H:78]>>[N:4]([C:5](=[O:6])[C:7]1:[C:8]([H:54]):[N+:9]([C@:10]2([H:55])[O:11][C@@:12]([C:13]([O:14][P:15](=[O:16])([O:17][H:59])[O:18][P:19](=[O:20])([O:21][H:60])[O:22][C:23]([C@@:24]3([H:63])[O:25][C@:26]([N:27]4:[C:28]([H:65]):[N:29]:[C:30]5:[C:31]([N:32]([H:66])[H:67]):[N:33]:[C:34]([H:68]):[N:35]:[C:36]:4:5)([H:64])[C@@:37]([O:38][H:70])([H:69])[C@@:39]3([O:40][H:72])[H:71])([H:61])[H:62])([H:57])[H:58])([H:56])[C@:41]([O:42][H:74])([H:73])[C@:43]2([O:44][H:76])[H:75]):[C:45]([H:77]):[C:46]([H:78]):[C:47]:1[H:79])([H:52])[H:53],"EVODEX.0-R2,EVODEX.0-R1"
EVODEX.0-P4,[C:1]([C:2](=[O:3])[C:4](=[O:5])[H:53])([H:50])([H:51])[H:52].[H][C:49]1([H:81])[C:9]([C:7]([N:6]([H:54])[H:55])=[O:8])=[C:10]([H:56])[N:11]([C@:12]2([H:57])[O:13][C@@:14]([C:15]([O:16][P:17](=[O:18])([O:19][H:61])[O:20][P:21](=[O:22])([O:23][H:62])[O:24][C:25]([C@@:26]3([H:65])[O:27][C@:28]([N:29]4:[C:30]([H:67]):[N:31]:[C:32]5:[C:33]([N:34]([H:68])[H:69]):[N:35]:[C:36]([H:70]):[N:37]:[C:38]:4:5)([H:66])[C@@:39]([O:40][H:72])([H:71])[C@@:41]3([O:42][H:74])[H:73])([H:63])[H:64])([H:59])[H:60])([H:58])[C@:43]([O:44][H:76])([H:75])[C@:45]2([O:46][H:78])[H:77])[C:47]([H:79])=[C:48]1[H:80]>>[H][C:4]([C:2]([C:1]([H:50])([H:51])[H:52])=[O:3])([O:5][H])[H:53].[N:6]([C:7](=[O:8])[C:9]1:[C:10]([H:56]):[N+:11]([C@:12]2([H:57])[O:13][C@@:14]([C:15]([O:16][P:17](=[O:18])([O:19][H:61])[O:20][P:21](=[O:22])([O:23][H:62])[O:24][C:25]([C@@:26]3([H:65])[O:27][C@:28]([N:29]4:[C:30]([H:67]):[N:31]:[C:32]5:[C:33]([N:34]([H:68])[H:69]):[N:35]:[C:36]([H:70]):[N:37]:[C:38]:4:5)([H:66])[C@@:39]([O:40][H:72])([H:71])[C@@:41]3([O:42][H:74])[H:73])([H:63])[H:64])([H:59])[H:60])([H:58])[C@:43]([O:44][H:76])([H:75])[C@:45]2([O:46][H:78])[H:77]):[C:47]([H:79]):[C:48]([H:80]):[C:49]:1[H:81])([H:54])[H:55],EVODEX.0-R2
EVODEX.0-P5,[C:1]([C:2](=[O:3])[C:4](=[O:5])[H:53])([H:50])([H:51])[H:52]>>[H][C:4]([C:2]([C:1]([H:50])([H:51])[H:52])=[O:3])([O:5][H])[H:53],EVODEX.0-R2
EVODEX.0-P6,[N:1]([C:2](=[O:3])[C:4]1:[C:5]([H:59]):[C:6]([H:60]):[C:7]([H:61]):[N+:8]([C@:9]2([H:62])[O:10][C@@:11]([C:12]([O:13][P:14](=[O:15])([O:16][H:66])[O:17][P:18](=[O:19])([O:20][H:67])[O:21][C:22]([C@@:23]3([H:70])[O:24][C@:25]([N:26]4:[C:27]([H:72]):[N:28]:[C:29]5:[C:30]([N:31]([H:73])[H:74]):[N:32]:[C:33]([H:75]):[N:34]:[C:35]:4:5)([H:71])[C@@:36]([O:37][H:77])([H:76])[C@@:38]3([O:39][H:79])[H:78])([H:68])[H:69])([H:64])[H:65])([H:63])[C@:40]([O:41][H:81])([H:80])[C@:42]2([O:43][H:83])[H:82]):[C:44]:1[H:84])([H:57])[H:58]>>[H][C:5]1([H:59])[C:4]([C:2]([N:1]([H:57])[H:58])=[O:3])=[C:44]([H:84])[N:8]([C@:9]2([H:62])[O:10][C@@:11]([C:12]([O:13][P:14](=[O:15])([O:16][H:66])[O:17][P:18](=[O:19])([O:20][H:67])[O:21][C:22]([C@@:23]3([H:70])[O:24][C@:25]([N:26]4:[C:27]([H:72]):[N:28]:[C:29]5:[C:30]([N:31]([H:73])[H:74]):[N:32]:[C:33]([H:75]):[N:34]:[C:35]:4:5)([H:71])[C@@:36]([O:37][H:77])([H:76])[C@@:38]3([O:39][H:79])[H:78])([H:68])[H:69])([H:64])[H:65])([H:63])[C@:40]([O:41][H:81])([H:80])[C@:42]2([O:43][H:83])[H:82])[C:7]([H:61])=[C:6]1[H:60],"EVODEX.0-R3,EVODEX.0-R4"
EVODEX.0-P7,[N:1]([C:2](=[O:3])[C:4]1:[C:5]([H:59]):[C:6]([H:60]):[C:7]([H:61]):[N+:8]([C@:9]2([H:62])[O:10][C@@:11]([C:12]([O:13][P:14](=[O:15])([O:16][H:66])[O:17][P:18](=[O:19])([O:20][H:67])[O:21][C:22]([C@@:23]3([H:70])[O:24][C@:25]([N:26]4:[C:27]([H:72]):[N:28]:[C:29]5:[C:30]([N:31]([H:73])[H:74]):[N:32]:[C:33]([H:75]):[N:34]:[C:35]:4:5)([H:71])[C@@:36]([O:37][H:77])([H:76])[C@@:38]3([O:39][H:79])[H:78])([H:68])[H:69])([H:64])[H:65])([H:63])[C@:40]([O:41][H:81])([H:80])[C@:42]2([O:43][H:83])[H:82]):[C:44]:1[H:84])([H:57])[H:58].[H][C:55]([C@:53]([C@:51]([C:50]([C:48]([C:46](=[O:45])[O:47][H:85])=[O:49])([H:86])[H:87])([O:52][H:89])[H:88])([O:54][H:91])[H:90])([O:56][H])[H:92]>>[H][C:5]1([H:59])[C:4]([C:2]([N:1]([H:57])[H:58])=[O:3])=[C:44]([H:84])[N:8]([C@:9]2([H:62])[O:10][C@@:11]([C:12]([O:13][P:14](=[O:15])([O:16][H:66])[O:17][P:18](=[O:19])([O:20][H:67])[O:21][C:22]([C@@:23]3([H:70])[O:24][C@:25]([N:26]4:[C:27]([H:72]):[N:28]:[C:29]5:[C:30]([N:31]([H:73])[H:74]):[N:32]:[C:33]([H:75]):[N:34]:[C:35]:4:5)([H:71])[C@@:36]([O:37][H:77])([H:76])[C@@:38]3([O:39][H:79])[H:78])([H:68])[H:69])([H:64])[H:65])([H:63])[C@:40]([O:41][H:81])([H:80])[C@:42]2([O:43][H:83])[H:82])[C:7]([H:61])=[C:6]1[H:60].[O:45]=[C:46]([O:47][H:85])[C:48](=[O:49])[C:50]([C@:51]([O:52][H:89])([C@:53]([O:54][H:91])([C:55](=[O:56])[H:92])[H:90])[H:88])([H:86])[H:87],EVODEX.0-R3
EVODEX.0-P8,[H][C:55]([C@:53]([C@:51]([C:50]([C:48]([C:46](=[O:45])[O:47][H:85])=[O:49])([H:86])[H:87])([O:52][H:89])[H:88])([O:54][H:91])[H:90])([O:56][H])[H:92]>>[O:45]=[C:46]([O:47][H:85])[C:48](=[O:49])[C:50]([C@:51]([O:52][H:89])([C@:53]([O:54][H:91])([C:55](=[O:56])[H:92])[H:90])[H:88])([H:86])[H:87],EVODEX.0-R3
EVODEX.0-P9,[N:1]([C:2](=[O:3])[C:4]1:[C:5]([H:56]):[C:6]([H:57]):[C:7]([H:58]):[N+:8]([C@:9]2([H:59])[O:10][C@@:11]([C:12]([O:13][P:14](=[O:15])([O:16][H:63])[O:17][P:18](=[O:19])([O:20][H:64])[O:21][C:22]([C@@:23]3([H:67])[O:24][C@:25]([N:26]4:[C:27]([H:69]):[N:28]:[C:29]5:[C:30]([N:31]([H:70])[H:71]):[N:32]:[C:33]([H:72]):[N:34]:[C:35]:4:5)([H:68])[C@@:36]([O:37][H:74])([H:73])[C@@:38]3([O:39][H:76])[H:75])([H:65])[H:66])([H:61])[H:62])([H:60])[C@:40]([O:41][H:78])([H:77])[C@:42]2([O:43][H:80])[H:79]):[C:44]:1[H:81])([H:54])[H:55].[H][O:45][C:46]([H])([C:47]([C:48]1:[C:49]([H:87]):[C:50]([H:88]):[C:51]([H:89]):[C:52]([H:90]):[C:53]:1[H:91])([H:85])[H:86])[H:83]>>[H][C:5]1([H:56])[C:4]([C:2]([N:1]([H:54])[H:55])=[O:3])=[C:44]([H:81])[N:8]([C@:9]2([H:59])[O:10][C@@:11]([C:12]([O:13][P:14](=[O:15])([O:16][H:63])[O:17][P:18](=[O:19])([O:20][H:64])[O:21][C:22]([C@@:23]3([H:67])[O:24][C@:25]([N:26]4:[C:27]([H:69]):[N:28]:[C:29]5:[C:30]([N:31]([H:70])[H:71]):[N:32]:[C:33]([H:72]):[N:34]:[C:35]:4:5)([H:68])[C@@:36]([O:37][H:74])([H:73])[C@@:38]3([O:39][H:76])[H:75])([H:65])[H:66])([H:61])[H:62])([H:60])[C@:40]([O:41][H:78])([H:77])[C@:42]2([O:43][H:80])[H:79])[C:7]([H:58])=[C:6]1[H:57].[O:45]=[C:46]([C:47]([C:48]1:[C:49]([H:87]):[C:50]([H:88]):[C:51]([H:89]):[C:52]([H:90]):[C:53]:1[H:91])([H:85])[H:86])[H:83],EVODEX.0-R4
EVODEX.0-P10,[H][O:45][C:46]([H])([C:47]([C:48]1:[C:49]([H:87]):[C:50]([H:88]):[C:51]([H:89]):[C:52]([H:90]):[C:53]:1[H:91])([H:85])[H:86])[H:83]>>[O:45]=[C:46]([C:47]([C:48]1:[C:49]([H:87]):[C:50]([H:88]):[C:51]([H:89]):[C:52]([H:90]):[C:53]:1[H:91])([H:85])[H:86])[H:83],EVODEX.0-R4
